14281541eba3d6638873836024b4c11bb389b9b09a47f8ad9701c393875e779d,b34c94f2379a630f3b79068969e4cc203432fbfa79f9c280f181f2be5214e64c,e233bc8965fbc0e29758de54b61ed81f510c7bd2f83cefea05aa8ce65319b193,6efd06f1fd59a0a7cb3a92fbafd2fa044fe102bd7cf63f1f65d1ac278f6f0790,199dc0d63bbf915f1577a653976432e5fafe1e951d0756f400f74f45dde13d3c
"8","91002","100","30109001","1"
"2","20002","10","30109001","2"
"8","91002","100","30109002","3"
"12","94002","40000","30109002","4"
"8","91002","300","30109003","5"
"8","91002","500","30109004","6"
"8","91002","500","30109005","7"
"12","94002","1000000","30109005","8"
"8","91002","500","30109006","9"
"12","94002","500000","30109006","10"
"8","91002","600","30110001","11"
"12","94002","200000","30110006","12"
