336a65036fa1f55a659ee1d12add7903c030519778afdad9e87132fb2c380458,3c992d4d74e8d62e0f5d3b16af54279cfa8aea7130e2fa36b9204286880ac67b,d72347cb87340c5a47ee787fd99bf75094eb1de24ce312a859beb9d4e9cfdf39,a2e9a828735c0a475f9d4876037e8d7f52f714f0504a9304c567ddd91db0a5ba,8bcc0d4090494f85bbdc70c6a6a39fe72a352dd948e3d1f5a15834615509e1a0,e619dda5fbe98ea342a25f9ea128dd78397c790f18eb1acdd717c40a81d7970f
"","1","1","おまかせ","2020-02-15 15:00:00","1"
"","2","2","デフォルト","2020-02-15 15:00:00","2"
"","3","3","アニバーサリー","2020-02-15 15:00:00","3"
"","4","1","ピンク","2020-02-15 15:00:00","4"
"","5","1","レッド","2020-02-15 15:00:00","5"
"","6","1","イエロー","2020-02-15 15:00:00","6"
"","7","1","グリーン","2020-02-15 15:00:00","7"
"","8","1","ライトブルー","2020-02-15 15:00:00","8"
"","9","1","ブルー","2020-02-15 15:00:00","9"
"","10","1","パープル","2020-02-15 15:00:00","10"
"","11","1","グレー","2020-02-15 15:00:00","11"
