71ee96934beff286987df090c92c92f0abe654f944433f9202f9df42c90f8e8c,58c7b5cb48f6a1c793ab60f787e8af67bbfcf8b206479b64da12da263e5cf926,2abd43a48588189d12083a4e2da269b9855841bb9d1e49e83bb77447d4287d72,6b2de9f37b04ae1dbee9404b0be7b3e5b7b0badef739a3a16ddf6e63c584a276,cb414a3c1a6af2ec7a12f64d5bd12aa8bbbda84f3a0f37db1cce399ffa880a39,05e62460a236c11a1e27cfe8bd42796fe5b8adb38fa2d987478e7a91e91d5153,f7f5de55ab0b9f7abdc27f65f77ef9bfb3abcf52ce5c6ff8a4320874ccbe1712,48b29c00f8b9182d13c98d04e1edc836f971f7f230e75888bda935f6a233b9d0,d5a86ca00e014b49282a92ebae7cadae572e2c9bb429eaed19cb4fe922b78bfa,1840b22615680e889faa5b95100b995d1c4494953eef5ca1502b4d136ec8dff8,96cb7f0830aa5fc7a3390e76566b1b5c9608f9babfcb02e83771e52c758374bd
"2.2","1","12","5","-250","52","talk_sad","1","0","30","12001"
"0","1","12","6","0","1","","1","0","1","12002"
"1","0","12","5","0","29","black","0","0","50","12003"
"0","0","12","6","0","1","","1","0","1","12004"
"","0","12","91","","","","","","","12005"
"0.2","1","12","6","1","1","","1","0","1","12006"
"0.2","0","12","6","1","1","","1","0","1","12007"
"","1","12","2","2","-250","","-20","","0.3","12008"
"","0","12","2","2","0","","0","","0.3","12009"
"","0.6","12","93","","","","0","","","12010"
"","vo_asb","12","21","","0","","vo_asb_0121","","0","12011"
"0","1","12","11","1","10","0","思えば手土産すらも、\n持参できず仕舞いでした……","0","1","12012"
"","0","12","91","","0","","","","0","12013"
"0.2","1","12","3","","1","","guts2_talk_shy","","","12014"
"","vo_asb","12","21","","0","","vo_asb_0122","","0","12015"
"0","1","12","11","1","10","0","次に伺う時は必ず……！","0","1","12016"
"","0","12","91","","0","","","","0","12017"
"0.2","1","12","3","","1","","sad_talk_surprise","","","12018"
"","vo_asb","12","21","","0","","vo_asb_0123","","0","12019"
"0","1","12","11","1","10","0","……でも、なにがよいのでしょう。\n的外れなものを選んで、かえって\nお気を遣わせてもいけませんし……","0","1","12020"
"","0","12","91","","0","","","","0","12021"
"0.3","1","12","3","","1","","surprise_talk_dere","","","12022"
"","vo_asb","12","21","","0","","vo_asb_0124","","0","12023"
"0","1","12","11","1","10","0","やはり、兄様ゆかりの場所ですから……\n兄様とご相談して、一緒に選ばせて\nいただくのが一番、でしょうか……","0","1","12024"
"","0","12","91","","0","","","","0","12025"
"0.4","1","12","3","1","0","","sad_talk_riri_in","0","sad_idle_red_riri","12026"
"","vo_asb","12","21","","0","","vo_asb_0125","","0","12027"
"0","1","12","11","1","10","0","……一緒に……手土産を……\n……ぽっ。","0","1","12028"
"","0","12","91","","0","","","","0","12029"
"","12031","12","101","","","","","","","12030"
"0.3","1","12","6","0","1","","1","0","1","12031"
"0.3","0","12","6","0","1","","1","0","1","12032"
"","1","12","2","1","-250","","-120","","0.3","12033"
"","0","12","2","1","0","","-100","","0.3","12034"
"","0","12","22","","","","0","","","12035"
"","0.4","12","93","","","","0","","","12036"
"2.2","1","13","5","-230","17","riri_idle_look_shy","1","0","20","13001"
"2.2","2","13","5","-255","19","clear_idle_look_shy","2","0","-140","13002"
"2.2","3","13","5","-245","18","idle_look_precia","3","1","270","13003"
"0","1","13","6","0","1","","1","0","1","13004"
"0","2","13","6","0","1","","1","0","1","13005"
"0","3","13","6","0","1","","1","0","1","13006"
"0","1","13","31","1","0","","100","","0","13007"
"","100","13","35","","","","0","","","13008"
"1","0","13","5","0","16","black","0","0","50","13009"
"0","0","13","6","0","1","","1","0","1","13010"
"","0","13","91","","","","","","","13011"
"","0.1","13","93","","","","0","","","13012"
"0.2","1","13","6","1","1","","1","0","1","13013"
"0.2","2","13","6","1","1","","1","0","1","13014"
"0.2","3","13","6","1","1","","1","0","1","13015"
"0.2","0","13","6","1","1","","1","0","1","13016"
"","1","13","2","2","-230","","-30","","0.3","13017"
"","2","13","2","2","-255","","-190","","0.3","13018"
"","3","13","2","2","-245","","220","","0.3","13019"
"","0","13","2","2","0","","0","","0.3","13020"
"","100","13","32","","","","1","","","13021"
"","0.6","13","93","","","","0","","","13022"
"0.2","1","13","3","","1","","sad_talk_look_shy_riri","","","13023"
"","vo_asb","13","21","","0","","vo_asb_1521","","0","13024"
"0","1","13","11","1","10","0","実はわたくしたち……\nこの、学びのスクラップブックを\n兄様にご覧いただくのが、\n少し、恥ずかしかったのです。","0","1","13025"
"","0","13","91","","0","","","","0","13026"
"0.2","1","13","3","","1","","sad_idle_normal_look_shy_riri","","","13027"
"0.2","2","13","3","","1","","clear_talk_look_shy","","","13028"
"","vo_asb","13","21","","0","","vo_asb_1522","","0","13029"
"0","2","13","11","1","10","0","だって、楽しい思い出と同じくらい、\nヘマしたり、力及ばずなこともあって。\nそれを改めてお兄さんに見てもらうのは\n勇気がいるっていうか……","0","1","13030"
"","0","13","91","","0","","","","0","13031"
"0.3","2","13","3","","1","","clear_idle_look_shy","","","13032"
"0.2","3","13","3","","1","","sad_talk_look_precia","","","13033"
