b0b8ce8eeeefde947875df7b91fc76f216a1eea7a40259fff7111f943d9bb258,61f37c274e9da25f3fb0de5ff4c90034337c2af869d402ff72a7fab7e4ac24bc
"ＨＰ強化","1"
"物理攻撃力強化","2"
"物理防御力強化","3"
"魔法攻撃力強化","4"
"魔法防御力強化","5"
"物理クリティカル強化","6"
"魔法クリティカル強化","7"
"回避強化","8"
"ＨＰ吸収強化","9"
"ＨＰ自動回復強化","10"
"ＴＰ自動回復強化","11"
"物理貫通ダメージ強化","12"
"魔法貫通ダメージ強化","13"
"ＴＰ上昇強化","14"
"回復量上昇強化","15"
"ＴＰ消費軽減強化","16"
"命中強化","17"
"物理・魔法攻撃力強化","50"
"物理・魔法防御力強化","51"
"物理・魔法クリティカル強化","52"
"物理クリティカルダメージ強化","100"
"魔法クリティカルダメージ強化","101"
"物理与ダメージ強化","102"
"魔法与ダメージ強化","103"
"属性ボーナス強化","104"
