eecc5cf54d5805cc9e158e282e7fdf7dccbf29d810ec89d87a9194f041026b17,5e9420cd213f2faefbb2597910d563818a6ec80e88d7208154c98fffc6cbcad7,c2d618e3e6d09b82ddd05bf9b4db887c84281812f89668f49e34a99b709592d2,31f454b9235c3f0089e3f7b577a0df7798a452c289badcc0b0eaa868fb4f5455,750f74a0c8acf53cab3e0c3f1768f94821e8089c288632ad66ea8030008b7fad,34df11c490b687e71addd1801b9aee41b6a438e1645253bcbfe63904bc9db851,19850d03a9510aab93fe63b56995969b23db3cafab3289954b4404b4c082d79a,fcb37a72a35e8315963a2c44fa9bb586db21e8334e20f6c063029e3f89b1434c,095a28ea09ed362ab26743f35a92ab6d6040d2a09177fc54bd197735eac0dd07,8456873090e0a141b320c07925cfc6a97773f2f3749fcead68f810d281a0f1dd,31f74e18c42714519fdc580af430bede9b08e862840986db6eaaebefac9cc160,bf84b8abb7dab2a315705a8f8a6c42e26edf4a9da693ab85db5f27cb29f0aebe,fbf003238cf407e7499e6eff580740bb5911e154a3aca06365a4ce29bae87b78,8647b023e57dfee526d6770acf60aebdc75b75c94c6729bea7a42033d64e36a7,0c7b797931152ca71968a346dc360629469555033198cc1183330bde18d60ad3
"113","0","11","1","2022/02/15 5:00:00","0","2816","1","100","540","0","0","0","111","112"
"213","0","21","2","2022/02/16 5:00:00","0","2816","1","100","493","0","0","0","211","212"
"313","0","31","3","2022/02/17 5:00:00","0","2816","1","100","458","0","0","0","311","312"
"413","0","41","4","2022/02/18 5:00:00","0","2816","1","100","420","0","0","0","411","412"
"513","0","51","5","2022/02/19 5:00:00","0","2816","1","100","380","0","0","0","511","512"
"613","0","61","6","2022/02/20 5:00:00","0","2816","1","100","340","0","0","0","611","612"
"713","0","71","7","2022/02/21 5:00:00","0","2816","1","100","430","1","0","0","711","712"
"813","0","81","8","2022/02/22 5:00:00","0","2816","1","100","402","1","0","0","811","812"
"913","0","91","9","2022/02/23 5:00:00","0","2816","1","100","302","1","0","0","911","912"
"1013","0","101","10","2022/02/24 5:00:00","0","2816","1","100","264","1","0","0","1011","1012"
"1113","0","111","11","2022/02/25 5:00:00","0","2816","1","100","225","1","0","0","1111","1112"
"1213","0","121","12","2022/02/26 5:00:00","0","2816","1","100","328","1","0","0","1211","1212"
"1313","0","131","13","2022/02/27 5:00:00","0","2816","1","100","280","1","0","0","1311","1312"
"1413","0","141","14","2022/02/28 5:00:00","0","2816","1","100","269","1","0","0","1411","1412"
"1513","0","151","15","2022/03/01 5:00:00","0","2816","1","100","180","1","0","0","1511","1512"
