851e69498d5f2630500b92b28ece275a31eb69a5f6e1f06804e2fa4edd0de72a,311bb66ef2c5021e9401691cec953d571a2e0c06d63b857e7c59f3b550e862d8,ae27b704381fb7f698b08b4ea2eab94ab26a06600413510f61e42f54c752f0c4,56cc67783fbf855ab520a8deb8d3353ab77dd3924c02af418bafb6e1f256b878,45092d02cc10389aefa736cdb905d8adcc834fe764140ecb924099366bf5c3fb,f0dd8a8fb1fe94b90355fd6e74ded83e991ea31dbe4af0b7728452f0a110b48c,2a28e0f5594d70b82d80b5e68ddfff9c886d3ef9721def248cfd0dd5618969f0,aa85fc4da65fac5eb5c9abdfc49c6c6443f0d4adbaeb3e56745b8554a019444f,e9cd06eb7d9aa626ba90a94eb224857e6ae6889505f8601c168300fd97ed2bfc,398fafae6b1f8ab6ca375ce94a2071ebf2ab795f394ba763077bae7350992467,8b7d5d0606cdfaebe56dbb93ecc9a06779b52c45b373d1040227cf3865fab779
"1","5","0","0","1","1","1","10011","1","0","1000"
"2","2","0","0","0","2","2","10012","2","1","2000"
"3","5","0","0","0","3","2","10013","3","1","2000"
"4","8","0","0","0","4","2","10014","4","1","2000"
"5","2","0","0","0","5","3","10015","5","2","3000"
"6","5","0","0","0","6","3","10016","6","3","3000"
"7","8","0","0","0","7","3","10017","7","4","3000"
"8","2","0","0","0","8","4","10018","8","5","4000"
"9","5","0","0","0","9","4","10019","9","6","4000"
"10","8","0","0","0","10","4","10020","10","7","4000"
"11","5","10","9","1","11","5","10021","11","8","10000"
"12","2","0","0","0","12","6","10022","12","11","8000"
"13","5","0","0","0","13","6","10023","13","11","8000"
"14","8","0","0","0","14","6","10024","14","11","8000"
"15","2","0","0","0","15","7","10025","15","12","10000"
"16","5","0","0","0","16","7","10026","16","13","10000"
"17","8","0","0","0","17","7","10027","17","14","10000"
"18","2","0","0","0","18","8","10028","18","15","12000"
"19","5","0","0","0","19","8","10029","19","16","12000"
"20","8","0","0","0","20","8","10028","20","17","12000"
"21","5","20","19","1","21","9","10030","21","18","20000"
"22","2","0","0","0","22","10","10012","22","21","10000"
"23","5","0","0","0","23","10","10013","23","21","10000"
"24","8","0","0","0","24","10","10014","24","21","10000"
"25","2","0","0","0","25","11","10015","25","22","12000"
"26","5","0","0","0","26","11","10016","26","23","12000"
"27","8","0","0","0","27","11","10017","27","24","12000"
"28","2","0","0","0","28","12","10018","28","25","14000"
"29","5","0","0","0","29","12","10019","29","26","14000"
"30","8","0","0","0","30","12","10020","30","27","14000"
"31","5","30","29","1","31","13","10032","31","28","20000"
"32","2","0","0","0","32","14","10022","32","31","12000"
"33","5","0","0","0","33","14","10023","33","31","12000"
"34","8","0","0","0","34","14","10024","34","31","12000"
"35","2","0","0","0","35","15","10025","35","32","14000"
"36","5","0","0","0","36","15","10026","36","33","14000"
"37","8","0","0","0","37","15","10027","37","34","14000"
"38","2","0","0","0","38","16","10028","38","35","16000"
"39","5","0","0","0","39","16","10029","39","36","16000"
"40","8","0","0","0","40","16","10028","40","37","16000"
"41","5","40","39","1","41","17","10033","41","38","30000"
"42","2","0","0","0","42","18","10012","42","41","17000"
"43","5","0","0","0","43","18","10013","43","41","17000"
"44","8","0","0","0","44","18","10014","44","41","17000"
"45","2","0","0","0","45","19","10015","45","42","20000"
"46","5","0","0","0","46","19","10016","46","43","20000"
"47","8","0","0","0","47","19","10017","47","44","20000"
"48","2","0","0","0","48","20","10018","48","45","23000"
"49","5","0","0","0","49","20","10019","49","46","23000"
"50","8","0","0","0","50","20","10020","50","47","23000"
"51","5","50","49","1","51","21","10011","51","48","50000"
"52","2","0","0","0","52","22","10022","52","51","23000"
"53","5","0","0","0","53","22","10023","53","51","23000"
"54","8","0","0","0","54","22","10024","54","51","23000"
"55","2","0","0","0","55","23","10025","55","52","27000"
"56","5","0","0","0","56","23","10026","56","53","27000"
"57","8","0","0","0","57","23","10027","57","54","27000"
"58","2","0","0","0","58","24","10028","58","55","30000"
"59","5","0","0","0","59","24","10029","59","56","30000"
"60","8","0","0","0","60","24","10028","60","57","30000"
"61","5","60","59","1","61","25","10034","61","58","70000"
"62","2","0","0","0","62","26","10012","62","61","31000"
"63","5","0","0","0","63","26","10013","63","61","31000"
"64","8","0","0","0","64","26","10014","64","61","31000"
"65","2","0","0","0","65","27","10015","65","62","35000"
"66","5","0","0","0","66","27","10016","66","63","35000"
"67","8","0","0","0","67","27","10017","67","64","35000"
"68","2","0","0","0","68","28","10018","68","65","39000"
"69","5","0","0","0","69","28","10019","69","66","39000"
"70","8","0","0","0","70","28","10020","70","67","39000"
"71","5","70","69","1","71","29","10035","71","68","100000"
"72","2","0","0","0","72","30","10022","72","71","39000"
"73","5","0","0","0","73","30","10023","73","71","39000"
"74","8","0","0","0","74","30","10024","74","71","39000"
"75","2","0","0","0","75","31","10025","75","72","43000"
"76","5","0","0","0","76","31","10026","76","73","43000"
"77","8","0","0","0","77","31","10027","77","74","43000"
"78","2","0","0","0","78","32","10028","78","75","47000"
"79","5","0","0","0","79","32","10029","79","76","47000"
"80","8","0","0","0","80","32","10028","80","77","47000"
"81","5","80","79","1","81","33","10021","81","78","130000"
