9ae0ccf8472d94cca05ed2a15b88119fd7479e9597ab685400f155ca47d348b2,cc42e96f8222c4f62805bc9de7837f434b6e70267a17cf928bc8f191a81bee07,945f5a26f5489f1caf8220cbe99226fe00376fc612ec4e590c4cc93bbd0d5a03,9c62ced7011eb3212a9f65cb307941f36fb7b5a2fd32c7f9ebd9646def421242,26f631ad5b9adfb6c6bbd86376aa244c0af26e6b1c46c87c522cb83ef82ff666,b4591338bf89636a601f69979f4f0eb58bc00c9c552e2d73d2cd98c8efaf1a33,92cbd3ecdcd18e53304144e2ba4a557dd70e24f5d1a091a36497b5e6132acdf5
"0","2","10101","1","0","0","300"
"1","2","10101","1","0","0","360"
"2","2","10101","1","0","0","420"
"3","2","10101","1","0","0","480"
"4","2","10101","1","0","0","540"
"5","2","10101","1","0","0","600"
"0","2","10101","2","0","0","900"
"1","2","10101","2","0","0","960"
"2","2","10101","2","0","0","1020"
"3","2","10101","2","0","0","1080"
"4","2","10101","2","0","0","1140"
"5","2","10101","2","0","0","1200"
"0","2","10101","3","0","0","1500"
"1","2","10101","3","0","0","1560"
"2","2","10101","3","0","0","1620"
"3","2","10101","3","0","0","1680"
"4","2","10101","3","0","0","1740"
"5","2","10101","3","0","0","1800"
"0","2","10101","4","0","0","2100"
"1","2","10101","4","0","0","2160"
"2","2","10101","4","0","0","2220"
"3","2","10101","4","0","0","2280"
"4","2","10101","4","0","0","2340"
"5","2","10101","4","0","0","2400"
"0","2","10101","5","0","0","2700"
"1","2","10101","5","0","0","2760"
"2","2","10101","5","0","0","2820"
"3","2","10101","5","0","0","2880"
"4","2","10101","5","0","0","2940"
"5","2","10101","5","0","0","3000"
"0","2","10101","6","0","0","3150"
"1","2","10101","6","0","0","3180"
"2","2","10101","6","0","0","3210"
"3","2","10101","6","0","0","3240"
"4","2","10101","6","0","0","3270"
"5","2","10101","6","0","0","3300"
"0","2","10101","7","0","0","3450"
"1","2","10101","7","0","0","3480"
"2","2","10101","7","0","0","3510"
"3","2","10101","7","0","0","3540"
"4","2","10101","7","0","0","3570"
"5","2","10101","7","0","0","3600"
"0","2","10101","8","0","0","3750"
"1","2","10101","8","0","0","3780"
"2","2","10101","8","0","0","3810"
"3","2","10101","8","0","0","3840"
"4","2","10101","8","0","0","3870"
"5","2","10101","8","0","0","3900"
"0","2","10101","9","0","0","4050"
"1","2","10101","9","0","0","4080"
"2","2","10101","9","0","0","4110"
"3","2","10101","9","0","0","4140"
"4","2","10101","9","0","0","4170"
"5","2","10101","9","0","0","4200"
"0","2","10101","10","0","0","4350"
"1","2","10101","10","0","0","4380"
"2","2","10101","10","0","0","4410"
"3","2","10101","10","0","0","4440"
"4","2","10101","10","0","0","4470"
"5","2","10101","10","0","0","4500"
"0","5","10102","1","0","0","150"
"1","5","10102","1","0","0","180"
"2","5","10102","1","0","0","210"
"3","5","10102","1","0","0","240"
"4","5","10102","1","0","0","270"
"5","5","10102","1","0","0","300"
"0","5","10102","2","0","0","450"
"1","5","10102","2","0","0","480"
"2","5","10102","2","0","0","510"
"3","5","10102","2","0","0","540"
"4","5","10102","2","0","0","570"
"5","5","10102","2","0","0","600"
"0","5","10102","3","0","0","750"
"1","5","10102","3","0","0","780"
"2","5","10102","3","0","0","810"
"3","5","10102","3","0","0","840"
"4","5","10102","3","0","0","870"
"5","5","10102","3","0","0","900"
"0","5","10102","4","0","0","1050"
"1","5","10102","4","0","0","1080"
"2","5","10102","4","0","0","1110"
"3","5","10102","4","0","0","1140"
"4","5","10102","4","0","0","1170"
"5","5","10102","4","0","0","1200"
"0","5","10102","5","0","0","1350"
"1","5","10102","5","0","0","1380"
"2","5","10102","5","0","0","1410"
"3","5","10102","5","0","0","1440"
"4","5","10102","5","0","0","1470"
"5","5","10102","5","0","0","1500"
"0","5","10102","6","0","0","1575"
"1","5","10102","6","0","0","1590"
"2","5","10102","6","0","0","1605"
"3","5","10102","6","0","0","1620"
"4","5","10102","6","0","0","1635"
"5","5","10102","6","0","0","1650"
"0","5","10102","7","0","0","1725"
"1","5","10102","7","0","0","1740"
"2","5","10102","7","0","0","1755"
"3","5","10102","7","0","0","1770"
"4","5","10102","7","0","0","1785"
"5","5","10102","7","0","0","1800"
"0","5","10102","8","0","0","1875"
"1","5","10102","8","0","0","1890"
"2","5","10102","8","0","0","1905"
"3","5","10102","8","0","0","1920"
"4","5","10102","8","0","0","1935"
"5","5","10102","8","0","0","1950"
"0","5","10102","9","0","0","2025"
"1","5","10102","9","0","0","2040"
"2","5","10102","9","0","0","2055"
"3","5","10102","9","0","0","2070"
"4","5","10102","9","0","0","2085"
"5","5","10102","9","0","0","2100"
"0","5","10102","10","0","0","2175"
"1","5","10102","10","0","0","2190"
"2","5","10102","10","0","0","2205"
"3","5","10102","10","0","0","2220"
"4","5","10102","10","0","0","2235"
"5","5","10102","10","0","0","2250"
"0","7","10103","1","0","0","150"
"1","7","10103","1","0","0","180"
"2","7","10103","1","0","0","210"
"3","7","10103","1","0","0","240"
"4","7","10103","1","0","0","270"
"5","7","10103","1","0","0","300"
"0","7","10103","2","0","0","450"
"1","7","10103","2","0","0","480"
"2","7","10103","2","0","0","510"
"3","7","10103","2","0","0","540"
"4","7","10103","2","0","0","570"
"5","7","10103","2","0","0","600"
"0","7","10103","3","0","0","750"
"1","7","10103","3","0","0","780"
"2","7","10103","3","0","0","810"
"3","7","10103","3","0","0","840"
"4","7","10103","3","0","0","870"
"5","7","10103","3","0","0","900"
"0","7","10103","4","0","0","1050"
"1","7","10103","4","0","0","1080"
"2","7","10103","4","0","0","1110"
"3","7","10103","4","0","0","1140"
"4","7","10103","4","0","0","1170"
"5","7","10103","4","0","0","1200"
"0","7","10103","5","0","0","1350"
"1","7","10103","5","0","0","1380"
"2","7","10103","5","0","0","1410"
"3","7","10103","5","0","0","1440"
"4","7","10103","5","0","0","1470"
"5","7","10103","5","0","0","1500"
"0","7","10103","6","0","0","1575"
"1","7","10103","6","0","0","1590"
"2","7","10103","6","0","0","1605"
"3","7","10103","6","0","0","1620"
"4","7","10103","6","0","0","1635"
"5","7","10103","6","0","0","1650"
"0","7","10103","7","0","0","1725"
"1","7","10103","7","0","0","1740"
"2","7","10103","7","0","0","1755"
"3","7","10103","7","0","0","1770"
"4","7","10103","7","0","0","1785"
"5","7","10103","7","0","0","1800"
"0","7","10103","8","0","0","1875"
"1","7","10103","8","0","0","1890"
"2","7","10103","8","0","0","1905"
"3","7","10103","8","0","0","1920"
"4","7","10103","8","0","0","1935"
"5","7","10103","8","0","0","1950"
"0","7","10103","9","0","0","2025"
"1","7","10103","9","0","0","2040"
"2","7","10103","9","0","0","2055"
"3","7","10103","9","0","0","2070"
"4","7","10103","9","0","0","2085"
"5","7","10103","9","0","0","2100"
"0","7","10103","10","0","0","2175"
"1","7","10103","10","0","0","2190"
"2","7","10103","10","0","0","2205"
"3","7","10103","10","0","0","2220"
"4","7","10103","10","0","0","2235"
"5","7","10103","10","0","0","2250"
"0","10","10104","1","0","0","300"
"1","10","10104","1","0","0","360"
"2","10","10104","1","0","0","420"
"3","10","10104","1","0","0","480"
"4","10","10104","1","0","0","540"
"5","10","10104","1","0","0","600"
"0","10","10104","2","0","0","900"
"1","10","10104","2","0","0","960"
"2","10","10104","2","0","0","1020"
"3","10","10104","2","0","0","1080"
"4","10","10104","2","0","0","1140"
"5","10","10104","2","0","0","1200"
"0","10","10104","3","0","0","1500"
"1","10","10104","3","0","0","1560"
"2","10","10104","3","0","0","1620"
"3","10","10104","3","0","0","1680"
"4","10","10104","3","0","0","1740"
"5","10","10104","3","0","0","1800"
"0","10","10104","4","0","0","2100"
"1","10","10104","4","0","0","2160"
"2","10","10104","4","0","0","2220"
"3","10","10104","4","0","0","2280"
