57addb538e6a43b7eebbbee4c5b747d79b314dec77a66f3d38c1ac4726c6a561,ded50d1fdf3a50e1db87d7f48512c37a36bf34bd2c9457540aacd98eead0d127,5de91a183240b33ca6d1b2210a48c07b2b1350ce9f21b2d6a455061a0b70a737,d0f3a26ccc4d42a3b99ec241b2bfe3af721d4c1f49505c7aca997839b0f7d902,8775a12dde3d4a3f39d71a87e7e0d91be95b2fef6e45b16700638be3003f49e2,80feae4c2600c3e7e26f47aaee1161e2479d9b3c109062beb8615e273cbbd01d,52153dab5a893b3e0b7e734ad8cf95aef6272c1d5370b4b14d822264ffa3bb0a,d0be6dd282b68035a87534aa8f9479e8673912b944f5bd281d38e4da282e9d33
"1","0","3050100","10101020","1","24","0","1"
"2","0","4010200","0","2","24","0","1"
"3","0","3030200","10401020","3","24","0","1"
"4","0","3050200","10401020","4","24","0","1"
"5","0","3040200","10401020","5","24","0","1"
"6","0","3020200","10401020","6","24","0","1"
"7","0","4010300","0","7","24","0","1"
"101","0","3030100","10101020","8","24","0","1"
"102","0","3010201","0","9","24","0","1"
"103","0","3020201","0","10","24","0","1"
"104","0","3010301","0","11","24","0","1"
"105","0","3030301","0","12","24","0","1"
"106","0","3040301","0","13","24","0","1"
"107","0","3050301","0","14","24","0","1"
"108","0","3020301","0","15","24","0","1"
"109","0","3030300","10401050","16","24","0","1"
"110","0","3040300","10401050","17","24","0","1"
"111","0","3050300","10401050","18","24","0","1"
"112","0","3020300","10401050","19","24","0","1"
"201","0","3010100","10101020","20","24","0","1"
"202","0","3020100","10101020","21","24","0","1"
"203","0","3030100","10101020","22","24","0","1"
"204","0","3040100","10101020","23","24","0","1"
"205","0","3050100","10101020","24","24","0","1"
"206","0","3010200","10101020","25","24","0","1"
"207","0","3020200","10101020","26","24","0","1"
"208","0","3030200","10101020","27","24","0","1"
"209","0","3040200","10101020","28","24","0","1"
"210","0","3050200","10101020","29","24","0","1"
"401","112","1010301","0","30","24","0","1"
"402","203","1020301","0","31","24","0","1"
"403","306","1030301","0","32","24","0","1"
"404","401","1040301","0","33","24","0","1"
"405","508","1050301","0","34","24","0","1"
"406","209","1020301","20101050","35","24","0","1"
"407","306","1030301","20101050","36","24","0","1"
"408","407","1040301","20101050","37","24","0","1"
"409","501","1050301","20101050","38","24","0","1"
"600","0","0","0","39","15","11001337","1"
"600","0","0","0","40","8","91002","150"
"700","0","0","0","41","15","11001338","1"
"799","0","0","0","42","8","91002","150"
"800","0","0","0","43","15","11001339","1"
"999","0","0","0","44","24","0","1"
