b5ef02ae827cf77c39cf5d25b7ad331eaf0fd73752e3fee739f9c2bceee482bd,9b3ffd85b59fb1bb93bbff93d28e10d85906eb21be7bd7c7516cf16a22e55d31,ed44f1157ee346c0971aa31a37720f2e941d2f67b7e3755bd9b474b43e2f2555,0a12fdcd73d3519d218eff2b97c3f2045c4165a9c7d5619c9ef16cf453966091,266b628d201904c7ca736a34fd87158cb9767fc55b7805594f50f1b4c25c5498,7cad2464b2a8d348e3fd9c9e4e5bd018ecd6472940487929fc19eeaff7dd7cac,8db8102d30ae241cf7c71d1ae139cd77ff2f1196c31096e70a24a935928b2308,4d0de01ffe777b3c4b883892a837e3aa66f00f1024a6c363c80dfe169a6112a0,6fdba1178c11afbe0d41659c4026f40bd56f29fbe0b9f31cf5bce24cc45de79e,d5ee07d18291d9b63d41730a535222f624b2a25dd13e1bb0b37c428ff25aa96e,d70019371890706f08a6c8e0965d86dbf880c4856b546051ec00c8f5badd93c3
"","","1","8","100","0","20000","91002","0","0","1"
"","","2","2","20","0","20000","23001","0","0","1"
"","","3","8","100","0","20000","91002","0","0","2"
"","","4","2","20","0","20000","23001","0","0","2"
"","","5","8","100","0","20000","91002","0","0","3"
"","","6","2","20","0","20000","23001","0","0","3"
"","","7","8","100","0","20000","91002","0","0","4"
"","","8","2","20","0","20000","23001","0","0","4"
"","","9","8","200","0","20000","91002","0","0","5"
"","","10","2","20","0","20000","23001","0","0","5"
"","","11","8","100","0","20000","91002","0","0","6"
"","","12","2","20","0","20000","23001","0","0","6"
"","","13","8","100","0","20000","91002","0","0","7"
"","","14","2","20","0","20000","23001","0","0","7"
"","","15","8","100","0","20000","91002","0","0","8"
"","","16","2","20","0","20000","23001","0","0","8"
"","","17","8","100","0","20000","91002","0","0","9"
"","","18","2","20","0","20000","23001","0","0","9"
"","","19","8","300","0","20000","91002","0","0","10"
"","","20","2","20","0","20000","23001","0","0","10"
"","","21","2","10000","0","30000","25011","0","0","1"
"","","22","2","10000","0","30000","25012","0","0","2"
"","","23","2","5000","0","30000","25021","0","0","3"
"","","24","8","50","0","30000","91002","0","0","4"
"","","25","2","10000","0","30000","25013","0","0","5"
"","","26","8","50","0","30000","91002","0","0","6"
"","","27","2","10000","0","30000","25014","0","0","7"
"","","28","2","5000","0","30000","25021","0","0","8"
"","","29","8","80","0","30000","91002","0","0","9"
