2d1a86be338281ee5af89ec3944096298ed9eecd0343ee0b881b7e92db87dba7,807cd138458a977b88d847e22640c7975758686e194ae03c9cfc9dce3b130850,267a6928936dc0eaf06c90861100b056db330915620915618d0d10c364ab9a4d,c1e2d9513b632451d309d0080e897e55134f493d982a9438a95e6f1047398b56,1c11e5990bbc93cd30e0e8f4dcbaf66ccdcad99c5a0a9e700abb19756bcb5f38,ae82173f6ac0cbc29a00a118e9f91960290a6cb44d4e5585f2bb5ffefdff45f1,bfbc51d1bba8f63eb226621adaf55839e62737a8c24d5c29a0bbeb50d85aa91a,bd4c6301bfc0e66710dcd3262eb03e81013b54cb7691c4475b0f0f2e90e16b9c,da5c808185d25136ae2e0da5086faf632a2979e1caf54905f70fdf4a3c841d48,59a2a12b8eb490f69e7a078dca4fb72b67eaf15f213e311062903ec306699f7d,e290fdfb711491dceaf490bf41f295bf6adb3cbe8d13499c570d8c6587a21d3b,b542ba47ec27c0b987b988cebf954494c094081196d4c22c35becc6b0e13825c
"201","0","0","200","0","0","110111","1","0","4","0","110111"
"201","0","0","200","0","0","110121","1","0","4","0","110121"
"201","0","0","200","0","0","110211","1","0","4","0","110211"
"201","0","0","200","0","0","110221","1","0","4","0","110221"
"201","0","0","200","0","0","110311","1","0","4","0","110311"
"201","0","0","200","0","0","110321","1","0","4","0","110321"
"201","0","0","200","0","0","110411","1","0","4","0","110411"
"201","0","0","200","0","0","110421","1","0","4","0","110421"
"411","0","0","200","0","0","110511","1","0","6","0","110511"
"421","0","0","300","0","0","110521","1","0","6","0","110521"
"711","0","0","0","0","0","110711","0","0","3","0","110711"
"712","0","0","0","0","0","110712","0","0","3","0","110712"
"721","0","0","0","0","0","110721","0","0","4","0","110721"
"722","0","0","0","0","0","110722","0","0","4","0","110722"
"731","0","0","0","0","0","1500","0","0","1","0","110731"
"732","0","0","0","0","0","2000","0","0","1","0","110732"
"821","0","0","0","0","0","110811","0","0","3","0","110811"
"823","0","0","0","0","0","110812","0","0","4","0","110812"
"822","0","0","0","0","0","110813","0","0","3","0","110813"
"811","0","0","0","0","0","1000","0","0","1","0","110821"
"411","0","0","300","0","0","110911","1","0","6","0","110911"
"421","0","0","450","0","0","110921","1","0","6","0","110921"
"311","0","0","0","0","0","3000","0","0","1","0","111011"
"312","0","0","0","0","0","1000","0","0","1","0","111012"
"321","0","0","0","0","0","3000","0","0","1","0","111021"
"322","0","0","0","0","0","1000","0","0","1","0","111022"
"331","0","0","0","0","0","3000","0","0","1","0","111031"
"332","0","0","0","0","0","1000","0","0","1","0","111032"
"1011","0","0","0","0","0","2000","0","0","1","0","111111"
"1023","0","0","0","0","0","111121","0","0","3","0","111121"
"1022","0","0","0","0","0","111122","0","0","3","0","111122"
"1021","0","0","0","0","0","111123","0","0","3","0","111123"
"1111","0","0","0","0","0","2000","0","0","1","0","111211"
"1121","0","0","111221","0","0","111220","4","0","4","0","111221"
"1122","0","0","111222","0","0","111220","4","0","4","0","111222"
"1123","0","0","111223","0","0","111220","4","0","4","0","111223"
"411","0","0","400","0","0","111311","1","0","6","0","111311"
"421","0","0","600","0","0","111321","1","0","6","0","111321"
"411","0","0","500","0","0","111711","1","0","6","0","111711"
"421","0","0","750","0","0","111721","1","0","6","0","111721"
"511","0","0","131411","0","0","131411","7","0","3","0","131411"
"513","0","0","0","0","0","500","0","0","1","0","131412"
"911","0","0","0","0","0","131511","0","0","7","0","131511"
"912","0","0","0","0","0","500","0","0","1","0","131512"
"611","0","0","131611","0","0","2000","7","0","1","0","131611"
"612","0","0","0","0","0","500","0","0","1","0","131612"
"512","0","0","231411","0","0","231411","7","0","3","0","231411"
"513","0","0","0","0","0","500","0","0","1","0","231412"
"921","0","0","0","0","0","231511","0","0","7","0","231511"
"922","0","0","0","0","0","500","0","0","1","0","231512"
"0","0","0","0","0","0","231521","0","0","4","0","231521"
"621","0","0","231611","0","0","4000","7","0","1","0","231611"
"622","0","0","0","0","0","500","0","0","1","0","231612"
"0","0","0","0","0","0","0","0","0","8","0","231621"
"514","0","0","0","0","0","331411","0","0","3","0","331411"
"513","0","0","0","0","0","500","0","0","1","0","331412"
"931","0","0","0","0","0","331511","0","0","4","0","331511"
"932","0","0","0","0","0","500","0","0","1","0","331512"
"0","0","0","0","0","0","331521","0","0","4","0","331521"
"631","0","0","0","0","0","8000","0","0","1","0","331611"
"632","0","0","0","0","0","500","0","0","1","0","331612"
"0","0","0","0","0","0","0","0","0","8","0","331621"
