e23b78e85e3f4e58b12b36904bd4efdbd15221077948bd569d1cf50829f125e3,c26732a69e7f8949439e7a2acbc2c0e9aef8e82015809aca0b23158a29a3a692,90bcd08f42125c050cefd141987e4cee88b3225a6d332efdb3ad35030fc09afd,233e7e6eda98480215be1d4503f601826a523665103b86db3a365774765aff70,2572375537fa8d83abf0296cf8a6cbdf16204f8702436ec153fa2b5075d28185
"10010101","風属性ボーナス特大アップ","14","風属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。風属性以外の属性ボーナスを無効化する。","4100101"
"10010102","ダメージ減衰","38","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","4100101"
"10010103","物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100101"
"10010104","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100101"
"10010201","光属性ボーナス特大アップ","15","光属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。光属性以外の属性ボーナスを無効化する。","4100102"
"10010202","ダメージ減衰","38","すべてのモンスターが一度の行動で受けるダメージの値が「2000000」以上の場合、ダメージの値に応じてダメージ量を減少させる。","4100102"
"10010203","物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を中アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100102"
"10010204","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を中アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100102"
"10010301","闇属性ボーナス特大アップ","16","闇属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。闇属性以外の属性ボーナスを無効化する。","4100103"
"10010302","ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4100103"
"10010303","物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を特大アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100103"
"10010304","魔法防御力（ダウン不可）アップ","boss_magic_def_lower_limit","バトル開始時、すべてのモンスターの魔法防御力を特大アップさせる。この効果は魔法防御力ダウンの影響を受けない。","4100103"
"10010305","ＴＰダウンカット","boss_tp_down_cut","バトル開始時、すべてのモンスターがＴＰダウン\n100％カット状態になる。","4100103"
"10010306","ＴＰ上昇ダウン","3","バトル開始時、すべてのキャラのＴＰ上昇を小ダウンさせる。","4100103"
"10010307","ＨＰ吸収ダウン","9","バトル開始時、すべてのキャラのＨＰ吸収を特大ダウンさせる。","4100103"
"10010401","水属性ボーナス特大アップ","13","水属性のキャラが４体以上編成されているとき、キャラの属性ボーナスが強化される。水属性以外の属性ボーナスを無効化する。","4100104"
"10010402","ダメージ減衰","18","すべてのモンスターが一度の行動で受けるダメージ値を減衰させる。ダメージ値が上昇するほど減衰率も上昇する。","4100104"
"10010403","物理防御力（ダウン不可）アップ","boss_def_lower_limit","バトル開始時、すべてのモンスターの物理防御力を大アップさせる。この効果は物理防御力ダウンの影響を受けない。","4100104"
