97996262c1be4160999a3d6e5c06f81f045c8d5af93f7eee75aaf956f48b59ae,8911258360a767333228e1c03abd4ed7398affb02a3903d1686aa6e4eb541514,19f151ee5e1465679360f4705f0b82288ae8aa3b1f9209e01b4993973a0bad21,3fc8eb7de3bb2e257477f74384de47b0d12551ad47706c95fc104e858860a2b1,c34e2df9632ab09d8000cc2ce66df53d86249b60e9a11e97b652e2ea978c4990,d66a6f486d15876c0772c630ec8aaa87906b51a3110e16a527fac64ca523fe53,ea8b2933772eb3405520d3f2abf5712cd39445139352af49ebd2c041d9afd3e0,5a5330f140a1e2cfced5453f181c31fd869c2175794c7554011add8913c032f6,47f9fbbbbf11cbfc7cfbeba7e168794c6fcf3ebe68b7c7e042f962fe4fc3ea64,3d0110afb6f87446c5873ef05abf5af0a2c060bb94ef5e97aa3ff0cb845e8ac5,5e2c82fb8191c7517eb9e6405c455e1103bd8558158da2883d6862feaa17e41a,962e7161a67125b6cbd267f234eece39fefa757c67bb7f287291c7bfd21a7bb6
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","1","0","1回バトルしよう","31000101","31000101"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","5","0","5回バトルしよう","31000102","31000102"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","10","0","10回バトルしよう","31000103","31000103"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","15","0","15回バトルしよう","31000104","31000104"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","20","0","20回バトルしよう","31000105","31000105"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","25","0","25回バトルしよう","31000106","31000106"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","30","0","30回バトルしよう","31000107","31000107"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","35","0","35回バトルしよう","31000108","31000108"
"1000","10","2022/12/23 11:59:59","0","3","2022/12/16 12:00:00","7003","40","0","40回バトルしよう","31000109","31000109"
"1001","10","2022/12/23 11:59:59","3001","3","2022/12/16 12:00:00","7004","5000000","0","黒の王ジャバウォックに累積500万ダメージ与えよう","31001101","31001101"
"1001","10","2022/12/23 11:59:59","3001","3","2022/12/16 12:00:00","7004","7500000","0","黒の王ジャバウォックに累積750万ダメージ与えよう","31001102","31001102"
"1001","10","2022/12/23 11:59:59","3001","3","2022/12/16 12:00:00","7004","10000000","0","黒の王ジャバウォックに累積1000万ダメージ与えよう","31001103","31001103"
"1001","11","2022/12/23 11:59:59","3001","3","2022/12/16 12:00:00","7005","1","2500000","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","31001111","31001111"
"1001","11","2022/12/23 11:59:59","3001","3","2022/12/16 12:00:00","7005","1","5000000","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","31001112","31001112"
"1001","20","2022/12/23 11:59:59","3002","3","2022/12/16 12:00:00","7004","5000000","0","暴走のイノセントボウに累積500万ダメージ与えよう","31001201","31001201"
"1001","20","2022/12/23 11:59:59","3002","3","2022/12/16 12:00:00","7004","7500000","0","暴走のイノセントボウに累積750万ダメージ与えよう","31001202","31001202"
"1001","20","2022/12/23 11:59:59","3002","3","2022/12/16 12:00:00","7004","10000000","0","暴走のイノセントボウに累積1000万ダメージ与えよう","31001203","31001203"
"1001","21","2022/12/23 11:59:59","3002","3","2022/12/16 12:00:00","7005","1","2500000","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","31001211","31001211"
"1001","21","2022/12/23 11:59:59","3002","3","2022/12/16 12:00:00","7005","1","5000000","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","31001212","31001212"
"1001","30","2022/12/23 11:59:59","3003","3","2022/12/16 12:00:00","7004","5000000","0","ファントムバロンに累積500万ダメージ与えよう","31001301","31001301"
"1001","30","2022/12/23 11:59:59","3003","3","2022/12/16 12:00:00","7004","7500000","0","ファントムバロンに累積750万ダメージ与えよう","31001302","31001302"
"1001","30","2022/12/23 11:59:59","3003","3","2022/12/16 12:00:00","7004","10000000","0","ファントムバロンに累積1000万ダメージ与えよう","31001303","31001303"
"1001","31","2022/12/23 11:59:59","3003","3","2022/12/16 12:00:00","7005","1","2500000","ファントムバロンに1度のバトルで250万ダメージ与えよう","31001311","31001311"
"1001","31","2022/12/23 11:59:59","3003","3","2022/12/16 12:00:00","7005","1","5000000","ファントムバロンに1度のバトルで500万ダメージ与えよう","31001312","31001312"
"1001","40","2022/12/23 11:59:59","3004","3","2022/12/16 12:00:00","7004","5000000","0","テンタパスに累積500万ダメージ与えよう","31001401","31001401"
"1001","40","2022/12/23 11:59:59","3004","3","2022/12/16 12:00:00","7004","7500000","0","テンタパスに累積750万ダメージ与えよう","31001402","31001402"
"1001","40","2022/12/23 11:59:59","3004","3","2022/12/16 12:00:00","7004","10000000","0","テンタパスに累積1000万ダメージ与えよう","31001403","31001403"
"1001","41","2022/12/23 11:59:59","3004","3","2022/12/16 12:00:00","7005","1","2500000","テンタパスに1度のバトルで250万ダメージ与えよう","31001411","31001411"
"1001","41","2022/12/23 11:59:59","3004","3","2022/12/16 12:00:00","7005","1","5000000","テンタパスに1度のバトルで500万ダメージ与えよう","31001412","31001412"
"1002","10","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7004","5000000","0","ゴウシンに累積500万ダメージ与えよう","31002101","31002101"
"1002","10","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7004","7500000","0","ゴウシンに累積750万ダメージ与えよう","31002102","31002102"
"1002","10","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7004","10000000","0","ゴウシンに累積1000万ダメージ与えよう","31002103","31002103"
"1002","10","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7004","110000000","0","ゴウシンに累積1億1000万ダメージ与えよう","31002104","31002104"
"1002","11","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7005","1","2500000","ゴウシンに1度のバトルで250万ダメージ与えよう","31002111","31002111"
"1002","11","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7005","1","5000000","ゴウシンに1度のバトルで500万ダメージ与えよう","31002112","31002112"
"1002","11","2022/12/23 11:59:59","3005","3","2022/12/16 12:00:00","7005","1","22000000","ゴウシンに1度のバトルで2200万ダメージ与えよう","31002113","31002113"
"1003","10","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7004","5000000","0","アルマ＆オラムに累積500万ダメージ与えよう","31003101","31003101"
"1003","10","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7004","7500000","0","アルマ＆オラムに累積750万ダメージ与えよう","31003102","31003102"
"1003","10","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7004","10000000","0","アルマ＆オラムに累積1000万ダメージ与えよう","31003103","31003103"
"1003","10","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7004","100000000","0","アルマ＆オラムに累積1億ダメージ与えよう","31003104","31003104"
"1003","11","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7005","1","2500000","アルマ＆オラムに1度のバトルで250万ダメージ与えよう","31003111","31003111"
"1003","11","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7005","1","5000000","アルマ＆オラムに1度のバトルで500万ダメージ与えよう","31003112","31003112"
"1003","11","2022/12/23 11:59:59","3006","3","2022/12/16 12:00:00","7005","1","20000000","アルマ＆オラムに1度のバトルで2000万ダメージ与えよう","31003113","31003113"
"1003","20","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7004","5000000","0","なかよしX＆名もなき芸術に累積500万ダメージ与えよう","31003201","31003201"
"1003","20","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7004","7500000","0","なかよしX＆名もなき芸術に累積750万ダメージ与えよう","31003202","31003202"
"1003","20","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7004","10000000","0","なかよしX＆名もなき芸術に累積1000万ダメージ与えよう","31003203","31003203"
"1003","20","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7004","120000000","0","なかよしX＆名もなき芸術に累積1億2000万ダメージ与えよう","31003204","31003204"
"1003","21","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7005","1","2500000","なかよしX＆名もなき芸術に1度のバトルで250万ダメージ与えよう","31003211","31003211"
"1003","21","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7005","1","5000000","なかよしX＆名もなき芸術に1度のバトルで500万ダメージ与えよう","31003212","31003212"
"1003","21","2022/12/23 11:59:59","3007","3","2022/12/16 12:00:00","7005","1","24000000","なかよしX＆名もなき芸術に1度のバトルで2400万ダメージ与えよう","31003213","31003213"
