3acc4d017ed4fb613fa97eb30900f04cf35c8648256c0afc413a0b407860ecc5,f385de1aa7b21a8e032dad2eac3936083bf5c44f367daaaa37230e1359992bc5,5956a1ce27a0e3c3dde206defb5c955bd1e41a38c3b1a712061d9be73b621824,7a66151e1f1aa208ead16d1082b58ff2ec2eea96dff72cc321a9b47110e98ccd,f258a5c9b67f6acaab989f6aa1a65884365496e623a4952b04585d558f41c0c2,9302b50709889f4c1ebed59ece6fb0805cfea219dd6de6b8d8f954e4983926ae,b5756d56763a7738eb3417fe6c947b8796de1d43f271396aa0c84a157cb0dcd9,a79c5713158e9879ee51c7230808f24a118e6f9d69e989d0b59af38e4762c775,86fa1e5f71c4a48c45011b33e0a9c4a2cb8374598067b6cda2405003b2e8ebdb,049b21933e3debb4feba1613fe7bee2583e4feb29eea111ed3c1a270d9da29b3,2dc486e55e95267e9495bed044be466cb114eb68de48e2709b3b34c398d21040
"281001001","10","1","8","25021","25011","8","91002","2","2","31"
"281001002","10","2","8","25021","25011","8","91002","2","2","31"
"281001003","10","3","8","25021","25011","8","91002","2","2","32"
"281001004","10","4","8","25021","25011","8","91002","2","2","32"
"281001005","10","5","8","25021","25011","8","91002","2","2","33"
"281001006","10","6","8","25021","25011","9","91002","2","2","33"
"281001007","10","7","8","25021","25011","9","91002","2","2","34"
"281001008","10","8","8","25021","25011","9","91002","2","2","35"
"281001009","10","9","8","25021","25011","9","91002","2","2","35"
"281001010","30","10","8","25021","25011","10","91002","2","2","37"
"281001011","10","11","8","25021","25011","10","91002","2","2","41"
"281001012","10","12","8","25021","25011","11","91002","2","2","43"
"281001013","10","13","8","25021","25011","11","91002","2","2","46"
"281001014","10","14","8","25021","25011","12","91002","2","2","48"
"281001015","10","15","8","25021","25011","12","91002","2","2","50"
"281001016","10","16","8","25021","25011","13","91002","2","2","53"
"281001017","10","17","8","25021","25011","14","91002","2","2","55"
"281001018","10","18","8","25021","25011","14","91002","2","2","58"
"281001019","10","19","8","25021","25011","15","91002","2","2","60"
"281001020","30","20","8","25021","25011","15","91002","2","2","62"
"281001021","10","21","8","25021","25011","16","91002","2","2","68"
"281001022","10","22","8","25021","25011","16","91002","2","2","70"
"281001023","10","23","8","25021","25011","16","91002","2","2","72"
"281001024","10","24","8","25021","25011","17","91002","2","2","75"
"281001025","10","25","8","25021","25011","18","91002","2","2","77"
"281001026","10","26","8","25021","25011","18","91002","2","2","79"
"281001027","10","27","8","25021","25011","19","91002","2","2","82"
"281001028","10","28","8","25021","25011","19","91002","2","2","84"
"281001029","10","29","8","25021","25011","19","91002","2","2","86"
"281001030","30","30","8","25021","25011","20","91002","2","2","89"
"281001031","10","31","8","25021","25011","20","91002","2","2","94"
"281001032","10","32","8","25021","25011","21","91002","2","2","96"
"281001033","10","33","8","25021","25011","21","91002","2","2","99"
"281001034","10","34","8","25021","25011","22","91002","2","2","101"
"281001035","10","35","8","25021","25011","22","91002","2","2","103"
"281001036","10","36","8","25021","25011","23","91002","2","2","106"
"281001037","10","37","8","25021","25011","23","91002","2","2","108"
"281001038","10","38","8","25021","25011","24","91002","2","2","111"
"281001039","10","39","8","25021","25011","25","91002","2","2","113"
"281001040","30","40","8","25021","25011","25","91002","2","2","115"
"281001041","10","41","8","25021","25011","26","91002","2","2","121"
"281001042","10","42","8","25021","25011","27","91002","2","2","123"
"281001043","10","43","8","25021","25011","28","91002","2","2","125"
"281001044","10","44","8","25021","25011","28","91002","2","2","128"
"281001045","10","45","8","25021","25011","29","91002","2","2","130"
"281001046","10","46","8","25021","25011","30","91002","2","2","132"
"281001047","10","47","8","25021","25011","30","91002","2","2","135"
"281001048","10","48","8","25021","25011","31","91002","2","2","137"
"281001049","10","49","8","25021","25011","31","91002","2","2","139"
"281001050","30","50","8","25021","25011","31","91002","2","2","142"
"281001051","10","51","8","25021","25011","32","91002","2","2","144"
"281001052","10","52","8","25021","25011","32","91002","2","2","146"
"281001053","10","53","8","25021","25011","32","91002","2","2","149"
"281001054","10","54","8","25021","25011","33","91002","2","2","152"
"281001055","10","55","8","25021","25011","33","91002","2","2","155"
"281001056","10","56","8","25021","25011","33","91002","2","2","157"
"281001057","10","57","8","25021","25011","34","91002","2","2","160"
"281001058","10","58","8","25021","25011","34","91002","2","2","163"
"281001059","10","59","8","25021","25011","34","91002","2","2","166"
"281001060","30","60","8","25021","25011","35","91002","2","2","169"
"281001061","10","61","8","25021","25011","35","91002","2","2","171"
"281001062","10","62","8","25021","25011","35","91002","2","2","174"
"281001063","10","63","8","25021","25011","36","91002","2","2","177"
"281001064","10","64","8","25021","25011","36","91002","2","2","180"
"281001065","10","65","8","25021","25011","36","91002","2","2","182"
"281001066","10","66","8","25021","25011","37","91002","2","2","185"
"281001067","10","67","8","25021","25011","37","91002","2","2","187"
"281001068","10","68","8","25021","25011","37","91002","2","2","190"
"281001069","10","69","8","25021","25011","38","91002","2","2","193"
"281001070","30","70","8","25021","25011","38","91002","2","2","196"
