5e4b53112e1cf7c5e91e1f51c17453a11875aac15d4a5a3b46fb2cd89dd34020,a0dba219f34d522fab7cb46514ebf8231d1b885df56f6ce471772cc040ea29a9,770b1c6178222212b6ce1fc80b8a5f739b9d5f4055bdaa0c1019a903509d207a,eae56cf11c143d3f65a91045937053d250e833b8c9e88ebbb4f071cdc81a0940,a4fe230cbe7cc33d8449aa176c5b16c77f06318559055ed23e4ba0f0835dea6f,df960b3a590cb25a6e20cbdb67c5471ea2431a918be6994374f34b9f277a635d,a3715c4e2e53daef043e7f57b50b158fd5def36c6edc569a3530be42e8b1d5c8,65162c55d2496622717f3972f7bd57746d3c1e5ca909b8adf10986afb2c910b9,f4ef39ab305ea93344468badbd4f757571af9aeab891d8ba4e9cb341c0193ae9,b2b3715afa261a7a7e8a0a444c85f47ca4495f7a5a78c199304da2bb84042aed,b2c491f03e4d04977af158ebb9007b42c100c4cf8b7c12a297f1806ebafb3abf
"122611","40","100","1001","1","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_wish_look","","1","1002","1","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_1_001","0","0","1003","1","","21","","","","vo_minigame_1010"
"騎士クン…見ててね\nわたし、頑張って\n走るから…！","1","10","1004","1","1","11","0","0","0","122611"
"","","","1005","1","","91","","","","0"
"sjr_talk_idle","","1","1006","1","","3","","","0.2","122611"
"122611","40","100","2001","2","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_mouth_hidden_shy","","1","2002","2","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_1_002","0","0","2003","2","","21","","","","vo_minigame_1010"
"水着のまま走るの…？\nうぅ…恥ずかしい…\nもし、外れたりしたら\nどうしよう…","1","7","2004","2","1","11","0","0","0","122611"
"","","","2005","2","","91","","","","0"
"sjr_talk_idle","","1","2006","2","","3","","","0.2","122611"
"122611","40","100","3001","3","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_stepback_surprise_worry","sjr_talk_stepback_worry","0","3002","3","","3","1","0","0.2","122611"
"vo_minigame_1010_top_talk_1_003","0","0","3003","3","","21","","","","vo_minigame_1010"
"あ、あの人すごく\n速そう…！\nわたし、勝てるかな…","1","8","3004","3","1","11","0","0","0","122611"
"","","","3005","3","","91","","","","0"
"sjr_talk_idle","","1","3006","3","","3","","","0.2","122611"
"122611","40","100","4001","4","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_thinking_surprise","","1","4002","4","","3","","","0.2","122611"
"vo_minigame_1010_top_talk_1_004","0","0","4003","4","","21","","","","vo_minigame_1010"
"変わったコースが\nいっぱいあるね\nどれに出ようかな…","1","6","4004","4","1","11","0","0","0","122611"
"","","","4005","4","","91","","","","0"
"sjr_talk_idle","","1","4006","4","","3","","","0.2","122611"
"122611","40","100","5001","5","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_guts2_anger","sjr_talk_guts2_anger_loop","0","5002","5","","3","1","0","0.2","122611"
"vo_minigame_1010_top_talk_1_005","0","0","5003","5","","21","","","","vo_minigame_1010"
"レイちゃんと\nヒヨリちゃん…\n二人に負けないよう\nわたしも全力で…！","1","7","5004","5","1","11","0","0","0","122611"
"","","","5005","5","","91","","","","0"
"sjr_talk_idle","","1","5006","5","","3","","","0.2","122611"
"122511","40","100","6001","6","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_arm_crossed_joy_look","sjr_talk_arm_crossed_look_loop","0","6002","6","","3","1","0","0.2","122511"
"vo_minigame_1010_top_talk_1_006","0","0","6003","6","","21","","","","vo_minigame_1010"
"こうして競い合うのも\nいいものだね\nキミも応援\nよろしく頼むよ","1","6","6004","6","1","11","0","0","0","122511"
"","","","6005","6","","91","","","","0"
"sjr_talk_idle","","1","6006","6","","3","","","0.2","122511"
"122511","40","100","7001","7","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_mouth_hidden2_shy","","1","7002","7","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_1_007","0","0","7003","7","","21","","","","vo_minigame_1010"
"この格好で走るのは\n気恥ずかしいな…\nあまり見ないでくれ…","1","6","7004","7","1","11","0","0","0","122511"
"","","","7005","7","","91","","","","0"
"sjr_talk_idle","","1","7006","7","","3","","","0.2","122511"
"122511","40","100","8001","8","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_mouth_hidden","","1","8002","8","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_1_008","0","0","8003","8","","21","","","","vo_minigame_1010"
"へぇ、強者が揃って\nいるようだね\nこれは私も全力で\n挑まないと…！","1","6","8004","8","1","11","0","0","0","122511"
"","","","8005","8","","91","","","","0"
"sjr_talk_idle","","1","8006","8","","3","","","0.2","122511"
"122511","40","100","9001","9","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_stepback_surprise","","1","9002","9","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_1_009","0","0","9003","9","","21","","","","vo_minigame_1010"
"コースには障害物や\n魔物が…？\nビーチフラッグスとは\nこんな競技だったかな","1","6","9004","9","1","11","0","0","0","122511"
"","","","9005","9","","91","","","","0"
"sjr_talk_idle","","1","9006","9","","3","","","0.2","122511"
"122511","40","100","10001","10","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_thinking_blink","","1","10002","10","","3","","","0.2","122511"
"vo_minigame_1010_top_talk_1_010","0","0","10003","10","","21","","","","vo_minigame_1010"
"ユイは大丈夫だろうか\nヒヨリは喜んでそう\nだけど…\nいや、信じるのみ、か","1","5","10004","10","1","11","0","0","0","122511"
"","","","10005","10","","91","","","","0"
"sjr_talk_idle","","1","10006","10","","3","","","0.2","122511"
"122411","40","100","11001","11","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_eieio","sjr_talk_eieio_loop","0","11002","11","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_1_011","0","0","11003","11","","21","","","","vo_minigame_1010"
"準備運動も完璧っ！\nあたしが一番\nとっちゃうからねー！","1","6","11004","11","1","11","0","0","0","122411"
"","","","11005","11","","91","","","","0"
"sjr_talk_idle","","1","11006","11","","3","","","0.2","122411"
"122411","40","100","12001","12","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_arm_opened_wink","","1","12002","12","","3","","","0.2","122411"
"vo_minigame_1010_top_talk_1_012","0","0","12003","12","","21","","","","vo_minigame_1010"
"えっへへー！\n水着って動きやすくて\nいいよねー！\n調子出てきたー！","1","6","12004","12","1","11","0","0","0","122411"
"","","","12005","12","","91","","","","0"
"sjr_talk_idle","","1","12006","12","","3","","","0.2","122411"
"122411","40","100","13001","13","sjr_talk_idle","1","-194","1","1.65","1"
"sjr_talk_doya","sjr_talk_doya_loop","0","13002","13","","3","1","0","0.2","122411"
"vo_minigame_1010_top_talk_1_013","0","0","13003","13","","21","","","","vo_minigame_1010"
