6802510e910553c357e3f07c3d6cac4fd9f66e8aa6c6fc7efbf344baf6b23f51,c8e565ff8a3c8718468e5ebde527415083094f0eea8e259f6a1e49a6be44c12c,ca9e553f73ba32caa61d1b722977ea74f62cd7cca9822002fb9459732e49d20d,9bb7ac3564690a36de91dc3c5be2e74651bc0d945a62b807356c28928207fd57,32a9f233f1849fd998fb23d1acffc38c0dede3e7a23668a4c614f03922f084e2
"1","30","200","1","8500"
"2","30","5","1","1500"
"3","60","220","2","8500"
"4","60","5","2","1500"
"5","60","200","3","8500"
"6","15","200","3","1500"
"7","60","200","4","8500"
"8","10","200","4","1500"
"9","40","150","5","8500"
"10","40","5","5","1500"
"11","60","150","6","8500"
"12","10","200","6","1500"
"13","40","150","7","8500"
"14","40","5","7","1500"
"15","50","150","8","8500"
"16","15","200","8","1500"
"17","45","150","9","8500"
"18","10","200","9","1500"
"19","40","145","10","8500"
"20","10","5","10","1500"
"21","40","300","11","8500"
"22","10","5","11","1500"
"23","65","200","12","8500"
"24","10","200","12","1500"
"25","40","150","13","8500"
"26","10","5","13","1500"
"27","40","100","14","8500"
"28","10","5","14","1500"
"29","50","200","15","8500"
"30","10","5","15","1500"
"31","60","250","16","8500"
"32","30","200","16","1500"
"33","45","120","17","8500"
"34","90","300","17","1500"
"35","90","120","18","8500"
"36","30","200","18","1500"
"37","50","190","19","8500"
"38","60","350","19","1500"
"39","90","95","20","8500"
"40","90","95","20","1500"
"41","20","200","21","8500"
"42","5","5","21","1500"
"43","30","450","22","8500"
"44","5","5","22","1500"
"45","20","200","23","8500"
"46","5","5","23","1500"
"47","30","130","1001","8500"
"48","5","5","1001","1500"
"49","30","140","1002","8500"
"50","5","5","1002","1500"
"51","40","150","1003","8500"
"52","5","5","1003","1500"
"53","45","155","1004","8500"
"54","5","200","1004","1500"
"55","60","155","1005","8500"
"56","10","200","1005","1500"
"57","60","150","1006","8500"
"58","15","200","1006","1500"
"59","60","150","1007","8500"
"60","15","200","1007","1500"
"61","50","160","1008","8500"
"62","15","200","1008","1500"
"63","70","140","1009","8500"
"64","30","200","1009","1500"
"65","35","180","1010","8500"
"66","120","200","1010","1500"
"67","65","140","1011","8500"
"68","30","200","1011","1500"
"69","35","200","1012","8500"
"70","5","5","1012","1500"
"71","70","150","1013","8500"
"72","15","200","1013","1500"
"73","60","150","1014","8500"
"74","15","200","1014","1500"
"75","60","150","1015","8500"
"76","15","200","1015","1500"
"77","60","150","1016","8500"
"78","15","200","1016","1500"
"79","60","150","1017","8500"
"80","15","200","1017","1500"
"81","50","120","1018","8500"
"82","60","200","1018","1500"
"83","67","102","1019","8500"
"84","60","200","1019","1500"
"85","35","120","1020","8500"
"86","60","250","1020","1500"
"87","30","200","10001","7000"
"88","30","5","10001","3000"
"89","60","220","10002","7000"
"90","60","5","10002","3000"
"91","60","200","10003","7000"
"92","15","200","10003","3000"
"93","60","200","10004","7000"
"94","10","200","10004","3000"
"95","40","150","10005","7000"
"96","40","5","10005","3000"
"97","60","150","10006","7000"
"98","10","200","10006","3000"
"99","40","150","10007","7000"
"100","40","5","10007","3000"
"101","50","150","10008","7000"
"102","15","200","10008","3000"
"103","45","150","10009","7000"
"104","10","200","10009","3000"
"105","40","145","10010","7000"
"106","10","5","10010","3000"
"107","40","300","10011","7000"
"108","10","5","10011","3000"
"109","65","200","10012","7000"
"110","10","200","10012","3000"
"111","40","150","10013","7000"
"112","10","5","10013","3000"
"113","40","100","10014","7000"
"114","10","5","10014","3000"
"115","50","200","10015","7000"
"116","10","5","10015","3000"
"117","60","250","10016","7000"
"118","30","200","10016","3000"
"119","45","120","10017","7000"
"120","90","300","10017","3000"
"121","90","120","10018","7000"
"122","30","200","10018","3000"
"123","50","190","10019","7000"
"124","60","350","10019","3000"
"125","90","95","10020","7000"
"126","90","95","10020","3000"
"127","60","200","10021","7000"
"128","60","200","10021","3000"
"129","60","200","10022","7000"
"130","60","200","10022","3000"
"131","60","200","10023","7000"
"132","60","200","10023","3000"
"133","30","130","11001","7000"
"134","5","5","11001","3000"
"135","30","140","11002","7000"
"136","5","5","11002","3000"
"137","40","150","11003","7000"
"138","5","5","11003","3000"
"139","45","155","11004","7000"
"140","5","200","11004","3000"
"141","60","155","11005","7000"
"142","10","200","11005","3000"
"143","60","150","11006","7000"
"144","15","200","11006","3000"
"145","60","150","11007","7000"
"146","15","200","11007","3000"
"147","50","160","11008","7000"
"148","15","200","11008","3000"
"149","70","140","11009","7000"
"150","30","200","11009","3000"
"151","35","180","11010","7000"
"152","120","200","11010","3000"
"153","65","140","11011","7000"
"154","30","200","11011","3000"
"155","35","200","11012","7000"
"156","5","5","11012","3000"
"157","70","150","11013","7000"
"158","15","200","11013","3000"
"159","60","150","11014","7000"
"160","15","200","11014","3000"
"161","60","150","11015","7000"
"162","15","200","11015","3000"
"163","60","150","11016","7000"
"164","15","200","11016","3000"
"165","60","150","11017","7000"
"166","15","200","11017","3000"
"167","50","120","11018","7000"
"168","60","200","11018","3000"
"169","67","102","11019","7000"
"170","60","200","11019","3000"
"171","35","120","11020","7000"
"172","60","250","11020","3000"
"173","30","200","20001","5000"
"174","30","5","20001","5000"
"175","60","220","20002","5000"
"176","60","5","20002","5000"
"177","60","200","20003","5000"
"178","15","200","20003","5000"
"179","60","200","20004","5000"
"180","10","200","20004","5000"
"181","40","150","20005","5000"
"182","40","5","20005","5000"
"183","60","150","20006","5000"
"184","10","200","20006","5000"
"185","40","150","20007","5000"
"186","40","5","20007","5000"
"187","50","150","20008","5000"
"188","15","200","20008","5000"
"189","45","150","20009","5000"
"190","10","200","20009","5000"
"191","40","145","20010","5000"
"192","10","5","20010","5000"
"193","40","300","20011","5000"
"194","10","5","20011","5000"
"195","65","200","20012","5000"
