011563a554b6ecbc39e2b6112089f748596ad0bbf570fa680bcf47b43c351a32,f74eda1419cfd6ce2e303ba3eada63ff6df486faba405bcf608c4ad6bd5efdc5,236bb4b7b4521abf376b7b4070c0d8e77f6985e7e8f47d5e7b944686057882b1,982d4ded0c6d8007e60409b9a1614f9ff73baa455f6c4258c95c4aff459662c0,9a859633e9aa08554d7bfe3e3da8e085d0dab48190a43e17f9b60fe3a745b964,37e9dca6c6bbea3b363f0ac60210477518bcca58e3c48c2329c883e92b5b5197,034c1310c2c7096eebaead66cd1d0076fe408e538e92e753561feb181e03a75a,42202f9efa6388ca52efab72799e751ad886f3f136cfacede53e90971777f06d,4a6f9124f628dbc7195037a9ea4a86ea520d87265624b637e6fa2e2b13e5b24f,638264a78777c36a2f2c711b3990a7fbf76cae3ca63935b4ff9a9e5a1b734832,4c275fd3c22d7cc31d68ee24aeb0772b8d1dfd9b7a904d4736ebebc9fa415c48
"1","25014","2","31","2","284001001","25021","8","10","8","91002"
"2","25014","2","31","2","284001002","25021","8","10","8","91002"
"3","25014","2","32","2","284001003","25021","8","10","8","91002"
"4","25014","2","32","2","284001004","25021","8","10","8","91002"
"5","25014","2","33","2","284001005","25021","8","10","8","91002"
"6","25014","2","33","2","284001006","25021","8","10","9","91002"
"7","25014","2","34","2","284001007","25021","8","10","9","91002"
"8","25014","2","35","2","284001008","25021","8","10","9","91002"
"9","25014","2","35","2","284001009","25021","8","10","9","91002"
"10","25014","2","37","2","284001010","25021","8","30","10","91002"
"11","25014","2","41","2","284001011","25021","8","10","10","91002"
"12","25014","2","43","2","284001012","25021","8","10","11","91002"
"13","25014","2","46","2","284001013","25021","8","10","11","91002"
"14","25014","2","48","2","284001014","25021","8","10","12","91002"
"15","25014","2","50","2","284001015","25021","8","10","12","91002"
"16","25014","2","53","2","284001016","25021","8","10","13","91002"
"17","25014","2","55","2","284001017","25021","8","10","14","91002"
"18","25014","2","58","2","284001018","25021","8","10","14","91002"
"19","25014","2","60","2","284001019","25021","8","10","15","91002"
"20","25014","2","62","2","284001020","25021","8","30","15","91002"
"21","25014","2","68","2","284001021","25021","8","10","16","91002"
"22","25014","2","70","2","284001022","25021","8","10","16","91002"
"23","25014","2","72","2","284001023","25021","8","10","16","91002"
"24","25014","2","75","2","284001024","25021","8","10","17","91002"
"25","25014","2","77","2","284001025","25021","8","10","18","91002"
"26","25014","2","79","2","284001026","25021","8","10","18","91002"
"27","25014","2","82","2","284001027","25021","8","10","19","91002"
"28","25014","2","84","2","284001028","25021","8","10","19","91002"
"29","25014","2","86","2","284001029","25021","8","10","19","91002"
"30","25014","2","89","2","284001030","25021","8","30","20","91002"
"31","25014","2","94","2","284001031","25021","8","10","20","91002"
"32","25014","2","96","2","284001032","25021","8","10","21","91002"
"33","25014","2","99","2","284001033","25021","8","10","21","91002"
"34","25014","2","101","2","284001034","25021","8","10","22","91002"
"35","25014","2","103","2","284001035","25021","8","10","22","91002"
"36","25014","2","106","2","284001036","25021","8","10","23","91002"
"37","25014","2","108","2","284001037","25021","8","10","23","91002"
"38","25014","2","111","2","284001038","25021","8","10","24","91002"
"39","25014","2","113","2","284001039","25021","8","10","25","91002"
"40","25014","2","115","2","284001040","25021","8","30","25","91002"
"41","25014","2","121","2","284001041","25021","8","10","26","91002"
"42","25014","2","123","2","284001042","25021","8","10","27","91002"
"43","25014","2","125","2","284001043","25021","8","10","28","91002"
"44","25014","2","128","2","284001044","25021","8","10","28","91002"
"45","25014","2","130","2","284001045","25021","8","10","29","91002"
"46","25014","2","132","2","284001046","25021","8","10","30","91002"
"47","25014","2","135","2","284001047","25021","8","10","30","91002"
"48","25014","2","137","2","284001048","25021","8","10","31","91002"
"49","25014","2","139","2","284001049","25021","8","10","31","91002"
"50","25014","2","142","2","284001050","25021","8","30","31","91002"
"51","25014","2","144","2","284001051","25021","8","10","32","91002"
"52","25014","2","146","2","284001052","25021","8","10","32","91002"
"53","25014","2","149","2","284001053","25021","8","10","32","91002"
"54","25014","2","152","2","284001054","25021","8","10","33","91002"
"55","25014","2","155","2","284001055","25021","8","10","33","91002"
"56","25014","2","157","2","284001056","25021","8","10","33","91002"
"57","25014","2","160","2","284001057","25021","8","10","34","91002"
"58","25014","2","163","2","284001058","25021","8","10","34","91002"
"59","25014","2","166","2","284001059","25021","8","10","34","91002"
"60","25014","2","169","2","284001060","25021","8","30","35","91002"
"61","25014","2","171","2","284001061","25021","8","10","35","91002"
"62","25014","2","174","2","284001062","25021","8","10","35","91002"
"63","25014","2","177","2","284001063","25021","8","10","36","91002"
"64","25014","2","180","2","284001064","25021","8","10","36","91002"
"65","25014","2","182","2","284001065","25021","8","10","36","91002"
"66","25014","2","185","2","284001066","25021","8","10","37","91002"
"67","25014","2","187","2","284001067","25021","8","10","37","91002"
"68","25014","2","190","2","284001068","25021","8","10","37","91002"
"69","25014","2","193","2","284001069","25021","8","10","38","91002"
"70","25014","2","196","2","284001070","25021","8","30","38","91002"
"71","25014","2","200","2","284001071","25021","8","10","39","91002"
"72","25014","2","204","2","284001072","25021","8","10","39","91002"
"73","25014","2","208","2","284001073","25021","8","10","40","91002"
"74","25014","2","212","2","284001074","25021","8","10","40","91002"
"75","25014","2","216","2","284001075","25021","8","10","41","91002"
"76","25014","2","220","2","284001076","25021","8","10","41","91002"
