1bc8340e46acb1006902c975bb258b674d1a100370e6f556d91fc1615f8c772f,e3988afbbb1e4e28fb7a7ddd5141cadab9de763de4b0f12ebd4678f16b42b676,0197bd7c6088b7ae518f119b48248fad4146db154af5efe4fb907110719e8e06,a35e12800da00651174dd24479dc66889bc0dbaccefd716afcfe315d2a6faa2f,3e0b57526089584c9d9c68269a42aed5ce23df290b7c9eede65744b90347af55,8c1b24db8de1d3ef47f4d58262963f5d5d15272daae36b0e5fee940d1deb7699,38212c08e62b6fb00a7d42c78dbe7b9eb0ca0f7a54959b13c6f547cc627a38dc,b4d7b12ee2fd0270fc708764fca4aa2323e1d8afdd20c98cf0e1534410be6514,7f170e6124f0811f985db7ce32c42764c6f024e5872153795b3ef4582555e08d,2c0532e3c11288c88e0ba6df929243ac744ef43882be8ad4b7208f82c6412640,982f394303b4e66a0f6ade5a40fd56982a33ce48e8bcc65a7d5b643115bccc57,af3337a4060a3e86c60e7ec85a2a185c44b9689a659a3f480fe3b1daa8495b07
"3001","3","0","バトル開始時、味方のＴＰが250アップ","0","TP250アップ","0","2","1","3001","-1","3001"
"3002","3","0","バトル開始時、味方のＴＰが250アップ","0","TP250アップ","0","2","1","3002","-1","3002"
"3003","3","0","バトル開始時、味方のＴＰが250アップ","0","TP250アップ","0","2","1","3003","-1","3003"
"3004","3","0","バトル開始時、味方のＴＰが250アップ","0","TP250アップ","0","2","1","3004","-1","3004"
"3006","3","0","バトル開始時、味方のＴＰが1000アップ","0","TP1000アップ","0","2","3","3006","-1","3006"
"3007","3","0","バトル開始時、味方のＴＰが1000アップ","0","TP1000アップ","0","2","3","3007","-1","3007"
"30011","3","0","バトル開始から90秒間、味方の物理攻撃力がアップ","9006503","物理攻撃アップ90秒","13125000000000","3","1","3001","25200","30011"
"30012","3","0","バトル開始から90秒間、敵の物理防御力がダウン","9006504","物理防御ダウン90秒","9000000000000","3","1","3001","72000","30012"
"30021","3","0","バトル開始から90秒間、味方のＨＰが毎秒回復","9006506","毎秒ＨＰ回復90秒","9000000000000","3","1","3002","39600","30021"
"30022","3","0","バトル開始から90秒間、味方のＴＰが毎秒アップ","9006507","毎秒ＴＰアップ90秒","4500000000000","3","1","3002","72000","30022"
"30031","3","0","バトル開始から15秒間、味方が無敵状態になる","9006509","無敵15秒","8700000000000","3","1","3003","43200","30031"
"30032","3","0","バトル開始から90秒間、敵の魔法攻撃力がダウン","9006510","魔法攻撃ダウン90秒","6000000000000","3","1","3003","72000","30032"
"30041","3","0","バトル開始から15秒間、敵がスタン状態になる","9006512","スタン15秒","12600000000000","3","1","3004","32400","30041"
"30042","3","0","バトル開始から90秒間、敵の物理防御力がダウン","9006513","物理防御ダウン90秒","9000000000000","3","1","3004","43200","30042"
"30051","3","0","バトル開始から90秒間、味方の魔法攻撃力がアップ","9006516","魔法攻撃アップ90秒","38280000000000","3","2","3005","43200","30051"
"30061","3","0","バトル開始から90秒間、味方のＴＰが毎秒アップ","9006519","毎秒ＴＰアップ90秒","26250000000000","3","3","3006","21600","30061"
"30062","3","0","バトル開始から90秒間、敵の魔法防御力がダウン","9006520","魔法防御ダウン90秒","15000000000000","3","3","3006","43200","30062"
"30071","3","0","バトル開始から90秒間、味方の物理攻撃力がアップ","9006522","物理攻撃アップ90秒","31500000000000","3","3","3007","43200","30071"
"30072","3","0","バトル開始から15秒間、味方が無敵状態になる","9006523","無敵15秒","9000000000000","3","3","3007","64800","30072"
"300101","3","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","0","物理攻撃ダウン90秒","14550000000000","1","1","3001","-1","300101"
"300102","3","36000","バトル開始から90秒間、敵の物理攻撃力がダウン","0","物理攻撃ダウン90秒","13950000000000","1","1","3001","-1","300102"
"300103","3","36000","バトル開始から90秒間、敵の物理防御力がダウン","0","物理防御ダウン90秒","13500000000000","1","1","3001","-1","300103"
