867ffd65f42107fb4826269a4184f87a215f94c44a36fb99b3cc81e8f03d85d2,5b9508e2558c441a32c3546e3383a5939570f23b7160ec91121bc08a0950620d,0ace0b99fe9416b3591f5dad737138a05f1dd10fa910d005b882bbfb177c41d0,b0a618d10701554e7b263e11ec6f7d5c7b71698dcffdc7842236be8118047a37,3a528e5ea5b6aaef61063312e3683672bfd67a724eec1f886c71b0e396805d32,8f2a97d6eab5b3becf4d90098ed579a4fa9320e080636acff60f7060a963ea5a
"802100290","212","2114001","211","1005","1"
"802100290","212","2114002","211","1006","1"
"802100290","212","2114003","211","1007","1"
"802100290","212","2114004","211","1008","1"
"802100266","100","2113061","104","100501","0"
"802100266","100","2113062","104","100502","0"
"802100266","102","2113063","105","100503","0"
"802100266","103","2113064","106","100504","0"
"802100266","100","2113065","104","100505","0"
"802100266","100","2113066","104","100506","0"
"802100266","102","2113067","105","100507","0"
"802100266","103","2113068","106","100508","0"
"802100266","100","2113069","104","100509","0"
"802100266","100","2113070","104","100510","0"
"802100267","100","2113071","104","100511","0"
"802100267","100","2113072","104","100512","0"
"802100267","102","2113073","105","100513","0"
"802100267","103","2113074","106","100514","0"
"802100267","100","2113075","104","100515","0"
"802100267","100","2113076","104","100516","0"
"802100267","102","2113077","105","100517","0"
"802100267","103","2113078","106","100518","0"
"802100267","100","2113079","104","100519","0"
"802100267","100","2113080","104","100520","0"
"802100268","100","2113081","104","100521","0"
"802100268","100","2113082","104","100522","0"
"802100268","102","2113083","105","100523","0"
"802100268","103","2113084","106","100524","0"
"802100268","100","2113085","104","100525","0"
"802100268","112","2113086","208","100526","1"
"802100268","110","2113087","201","100527","1"
"802100268","100","2113088","104","100528","0"
"802100268","102","2113089","105","100529","0"
"802100268","103","2113090","106","100530","0"
"802100263","114","2113031","203","100601","1"
"802100263","113","2113032","202","100602","1"
"802100263","102","2113033","105","100603","0"
"802100263","103","2113034","106","100604","0"
"802100263","114","2113035","203","100605","1"
"802100263","113","2113036","202","100606","1"
"802100263","111","2113037","204","100607","1"
"802100263","113","2113038","202","100608","1"
"802100263","113","2113039","202","100609","1"
"802100263","103","2113040","106","100610","0"
"802100264","114","2113041","203","100611","1"
"802100264","113","2113042","202","100612","1"
"802100264","102","2113043","105","100613","0"
"802100264","103","2113044","106","100614","0"
"802100264","114","2113045","203","100615","1"
"802100264","113","2113046","202","100616","1"
"802100264","111","2113047","204","100617","1"
"802100264","113","2113048","202","100618","1"
"802100264","113","2113049","202","100619","1"
"802100264","103","2113050","106","100620","0"
"802100265","102","2113051","105","100621","0"
"802100265","114","2113052","203","100622","1"
"802100265","113","2113053","202","100623","1"
"802100265","111","2113054","204","100624","1"
"802100265","103","2113055","106","100625","0"
"802100265","112","2113056","208","100626","1"
"802100265","110","2113057","201","100627","1"
"802100265","114","2113058","203","100628","1"
"802100265","113","2113059","202","100629","1"
"802100265","103","2113060","106","100630","0"
"802100269","112","2113091","205","100701","1"
"802100269","112","2113092","206","100702","1"
"802100269","117","2113093","102","100703","0"
"802100269","102","2113094","105","100704","0"
"802100269","102","2113095","105","100705","0"
"802100269","113","2113096","202","100706","1"
"802100269","114","2113097","203","100707","1"
"802100269","117","2113098","102","100708","0"
"802100269","102","2113099","105","100709","0"
"802100269","113","2113100","202","100710","1"
"802100270","112","2115001","205","100711","1"
"802100270","117","2115002","102","100712","0"
"802100270","102","2115003","105","100713","0"
"802100270","103","2115004","106","100714","0"
"802100270","114","2115005","203","100715","1"
"802100270","113","2115006","202","100716","1"
"802100270","112","2115007","207","100717","1"
"802100270","102","2115008","105","100718","0"
"802100270","103","2115009","106","100719","0"
"802100270","113","2115010","202","100720","1"
"802100271","112","2115011","205","100721","1"
"802100271","112","2115012","208","100722","1"
"802100271","117","2115013","102","100723","0"
"802100271","102","2115014","105","100724","0"
"802100271","103","2115015","106","100725","0"
"802100271","112","2115016","208","100726","1"
"802100271","110","2115017","201","100727","1"
"802100271","117","2115018","102","100728","0"
"802100271","102","2115019","105","100729","0"
"802100271","103","2115020","106","100730","0"
"802100260","104","2113001","103","100801","0"
"802100260","100","2113002","104","100802","0"
"802100260","100","2113003","104","100803","0"
"802100260","102","2113004","105","100804","0"
"802100260","102","2113005","105","100805","0"
"802100260","100","2113006","104","100806","0"
"802100260","100","2113007","104","100807","0"
"802100260","102","2113008","105","100808","0"
"802100260","102","2113009","105","100809","0"
"802100260","101","2113010","107","100810","0"
"802100261","104","2113011","103","100811","0"
"802100261","100","2113012","104","100812","0"
"802100261","100","2113013","104","100813","0"
"802100261","102","2113014","105","100814","0"
"802100261","103","2113015","106","100815","0"
"802100261","100","2113016","104","100816","0"
"802100261","100","2113017","104","100817","0"
"802100261","102","2113018","105","100818","0"
"802100261","103","2113019","106","100819","0"
"802100261","100","2113020","104","100820","0"
"802100262","104","2113021","103","100821","0"
"802100262","100","2113022","104","100822","0"
"802100262","100","2113023","104","100823","0"
"802100262","102","2113024","105","100824","0"
"802100262","102","2113025","105","100825","0"
"802100262","112","2113026","208","100826","1"
"802100262","110","2113027","201","100827","1"
"802100262","102","2113028","105","100828","0"
"802100262","103","2113029","106","100829","0"
"802100262","104","2113030","103","100830","0"
