781e4cf860991bf6c21f5c9d89f420abf53edc3648ddcbea41d0e8abfb7ebe01,3b775f03ad1a44aab70218c1a4ab9c8e714ce9605061e7a69446cea6d255362b,4e4212c728ba293619610ced81615cd75619f356eefebeb50dc8ed4325ac7a7f,6758576743b1c1242c6d050e36c97c2ee7098c85689378af7fabdd66746a72a8,d5fd808d7a13b341a796fb18d224a9dacb8a6e0e2dc39e7a378bd15f65fcd3dc,92c750b441241fbecb1bec4e516883715f85847397e5ce32af9ab08d91d2d466,3ac38d56c1720f362d18f1c99565e1bdae334db5bf9fa72bbd1263d03d44d3d0,4468b76e1fc24e8cea36e282960bf568f4efb99dfd7925f17058d0ab9d7227fd,116429701f6bb14c5e15567509648a3d832525f469b04339fbec32c60daf0855,fbb3760e2c95e87eb06be921d7c7b6b2211e1ec6c42baad0bf1751b18aa7187a,6b1e28fdd081e58e3880e50287a85e247bc668d7c6b99615f802dfddfe99314c,e01bf821cd26dc91df4bf80186a4d04a36f36980f5f3489b63142e6d3607e787,42f8437a55e651e3a5032004cf2a67217a5bc85ec8836d31fc0d91bfc4dba245,871ba65ffb9d394e44c891cc0eac061d80510cec056022c234c0b17b60f8ec14,3af5afe478fa3e811695e91ed4786b4fe1f209a086904706a08a19c3056fa351,8d7f0ad53c9709d48a869c045811154dcf808181a298a191f0d03eadafbc5639,8219f97ebdf96cd0abbbb8ca7ce0bf99960e9b7c6bb833215e2a6ffdd8b56bf7,22ceae46804cc494ad41c819d5e39a030b23800d9fd2e6bead9580446726b4df,b1d8e1ac4329050d67634565cd3b07cf7e31f7063b7cad523654de100fc4d845,448ec165e7e588eb691ef258a2bac636b9cce990039570e99144deb00bbe21b1,4f7a82139a14888f987413522db6f62267fe770e758b4e08d63ccd18cbe8733e
"1","5000","0","0","2","90006","2","0","0","1001","1","31043","5000","0","30","8","0","91002","0","1","30"
"2","4500","0","0","2","90006","2","0","0","1001","1","31043","4500","0","100","8","0","91002","0","31","25"
"3","4000","0","0","2","90006","2","0","0","1001","1","31043","4000","0","300","8","0","91002","0","101","20"
"4","3500","0","0","2","90006","2","0","0","1001","1","31043","3500","0","1000","8","0","91002","0","301","18"
"5","3000","0","0","2","90006","2","0","0","1001","1","31043","3000","0","2000","8","0","91002","0","1001","16"
"6","2000","0","0","2","90006","2","0","0","1001","1","31043","2000","0","5000","8","0","91002","0","2001","14"
"7","1500","0","0","2","90006","2","0","0","1001","1","31043","1500","0","10000","8","0","91002","0","5001","12"
"8","1000","0","0","2","90006","2","0","0","1001","1","31043","1000","0","20000","8","0","91002","0","10001","10"
"9","500","0","0","2","90006","2","0","0","1001","1","31043","500","0","-1","8","0","91002","0","20001","5"
"10","5000","0","0","2","90006","2","0","0","1002","1","31022","5000","0","20","8","0","91002","0","1","30"
"11","4500","0","0","2","90006","2","0","0","1002","1","31022","4500","0","100","8","0","91002","0","21","25"
"12","4000","0","0","2","90006","2","0","0","1002","1","31022","4000","0","250","8","0","91002","0","101","20"
"13","3500","0","0","2","90006","2","0","0","1002","1","31022","3500","0","500","8","0","91002","0","251","18"
"14","3000","0","0","2","90006","2","0","0","1002","1","31022","3000","0","1000","8","0","91002","0","501","16"
"15","2500","0","0","2","90006","2","0","0","1002","1","31022","2500","0","2000","8","0","91002","0","1001","14"
"16","2000","0","0","2","90006","2","0","0","1002","1","31022","2000","0","3000","8","0","91002","0","2001","12"
"17","1500","0","0","2","90006","2","0","0","1002","1","31022","1500","0","5000","8","0","91002","0","3001","10"
"18","1000","0","0","2","90006","2","0","0","1002","1","31022","1000","0","10000","8","0","91002","0","5001","8"
"19","500","0","0","2","90006","2","0","0","1002","1","31022","500","0","-1","8","0","91002","0","10001","5"
"20","5000","0","0","2","90006","2","0","0","1003","1","31042","5000","0","20","8","0","91002","0","1","30"
"21","4500","0","0","2","90006","2","0","0","1003","1","31042","4500","0","100","8","0","91002","0","21","25"
"22","4000","0","0","2","90006","2","0","0","1003","1","31042","4000","0","250","8","0","91002","0","101","20"
"23","3500","0","0","2","90006","2","0","0","1003","1","31042","3500","0","500","8","0","91002","0","251","18"
"24","3000","0","0","2","90006","2","0","0","1003","1","31042","3000","0","1000","8","0","91002","0","501","16"
"25","2500","0","0","2","90006","2","0","0","1003","1","31042","2500","0","2000","8","0","91002","0","1001","14"
"26","2000","0","0","2","90006","2","0","0","1003","1","31042","2000","0","3000","8","0","91002","0","2001","12"
"27","1500","0","0","2","90006","2","0","0","1003","1","31042","1500","0","5000","8","0","91002","0","3001","10"
"28","1000","0","0","2","90006","2","0","0","1003","1","31042","1000","0","10000","8","0","91002","0","5001","8"
"29","500","0","0","2","90006","2","0","0","1003","1","31042","500","0","-1","8","0","91002","0","10001","5"
"30","5000","0","0","2","90006","2","0","0","1004","1","31018","5000","0","20","8","0","91002","0","1","30"
"31","4500","0","0","2","90006","2","0","0","1004","1","31018","4500","0","100","8","0","91002","0","21","25"
"32","4000","0","0","2","90006","2","0","0","1004","1","31018","4000","0","250","8","0","91002","0","101","20"
"33","3500","0","0","2","90006","2","0","0","1004","1","31018","3500","0","500","8","0","91002","0","251","18"
"34","3000","0","0","2","90006","2","0","0","1004","1","31018","3000","0","1000","8","0","91002","0","501","16"
"35","2500","0","0","2","90006","2","0","0","1004","1","31018","2500","0","2000","8","0","91002","0","1001","14"
"36","2000","0","0","2","90006","2","0","0","1004","1","31018","2000","0","3000","8","0","91002","0","2001","12"
"37","1500","0","0","2","90006","2","0","0","1004","1","31018","1500","0","5000","8","0","91002","0","3001","10"
"38","1000","0","0","2","90006","2","0","0","1004","1","31018","1000","0","10000","8","0","91002","0","5001","8"
"39","500","0","0","2","90006","2","0","0","1004","1","31018","500","0","-1","8","0","91002","0","10001","5"
