88c64bcaf9e7dea237feb43247eb5c9e5a5ca63395a2ffbb9152011435f66caf,f3d90b5cbc983491055e03e36201ba65880a1f3684aca0e03e636fb66f1f2462,e85e926126d9f4dba1d57ab9d95c96b3b53caf89069b2dbca952f926878fcf15,b8d3788c2c4d4bab1d667055ad3b079af6f3894bd8259cf86c7a2e3b4b8d8e0f,cde746771d77810e0c636f68decd3bca8ae15d72b77d2de1918b118392c72ca0,728b1c79c3c7d0530d786d701d8100d27ef6e6fb7ef500cfd5ade2b71309ac3b,619a4768eec9cbfaf3c2fa357b8129aca03b60f8505cecab31b2dd633dde6197,a082f9e15c64170a3c585ec227b9533aa6040a24b34fac27656ef819bfe86327,1f874a07dd86fa21f67677ded70eb55b73fb9d77f86e27bd50adb9b1e4911e5f,94246a223867e2a3b373262b9078ea1133274192896f70ed61c093da90dafdac,4c30886be32f065f2f01c603b798d7db2c539b890fcfea2e2fad5749bf82ebb7,81ffba03075f1409302d8db74bc43288ac579457467a0561bfc32aef1b9c4e94,7f89ae25dadc87dc9294c1039a213d3a65e2bb0dd56519c0b576051da111d914,7b53b8a08ae55ff2ac9fda94351d7c191802971ef4f3d5997421a9750a0bb9d4,60cd0cb5374d872875b49f231a53beb8ace8cf2b445a36bfd06a84b0200d0a0e,3d76b552fbbde7eba13066998c06ec410cefcb9c9f6d92f90b9dd3ef93fc10cf,58c088aafece35387abe1a26379e7894aa54fef8177ad72fd63ac909061a00aa,e3cbfe544eaad026ace5be4681c727bb269badb5229c7db0afa4a7790ee74ca0,342b50694447efd250888b5c35ed0ec07a9b3258050d2cc2c8bdd0ab6e4036fc,a2fad9ef4a80a097b357bd12b4ed52be97e207377669ebb9ca45621185f21224,aae5408e0fde3e0f33d95226ea7864bf974e56b9fc3789a9f7989ae7eff287f0,38aaa6316a0c0fe488b6519064f0703baf8c3487723cdd113441b796d33351cb,9b6e5eb4f877f75e08f0a3ca15e0c777356fcb5199e227c77de732cca4f3babf,c5450473a41deed46f988af2a4a36e72c4d1549502b0d4027815fdf488d9b027,6f836e6f19c4dc3245e20d185d4de4c3958a6e2a9b0a72d87ceeb7f2e0e65ace,230689cf4e6c85a94fa09bb41f3763d662b0fa795cce450153898234014a223d,d7df635029b1e26c78b39622f49ac2d51d2fe52a49c5b614f9d8b182bdbec9bb,71b3424b5c9c53367852828ab1536e4cfeb1c318cfad043ce6b0e2469b621a21,6e6edc389912c4f60d9384a7006485c9327ab91e953133998f35ff15f8bfd1fb,13ec1bb8707c1f0574388b6b68ddb90750f7380cd7abd30fe22b002854efc3a2,386283ad1b690dc31a00ac788b299fe3a9e290e667a4970a189d89590f76be4e,49925d0231b4e3ef3f172626be4d81d7e71ed6f95aebfe1e67a666531bd047b3,806c96730a1bf0c21e96a1e2d3528d01ed071baad21aa67979270994c16c8d54,1f3bfde444b8547c63b86dce7b00552d0ff427db6fd3221f49b1dac745a43103,f4abb86bf3b34fbfa93c458561db13d59972c6cfa05e30d036482f70b1614498,9b71c233597fbdb3ff2d7179fe29e8c49b6bd37d8b2c0144309d42a06cedad50,b5c913ab772748271c167c5aff6de02f45a0441d60a335ea7f83b893d09eeeda,10403ffb42e8d6f6bb135a644761a94d1325c1015cc3284ee6e79e678f6dd442,90728fbd512babc073ee1b4cd3e87ddf6b94bf4c0b7683024513e73671f8a50d,6a2e18080994690b75d372dcf76ef552ef0a56a99c52b4b347432ae1b9450a34,1b33d5d108e477aaf59cc7a7d677aa41b58e9227c1dac00ecf4deb886f8a3bed,81ef459744ee76f0de83690b6c7057e39ac65a173f676d64e75532bf1c773def,7b59005279a23be7b5cba93a354a463eabbbe35dbf018764f31eab19d4e7af48,250213271e7ff6429ef002915931bbcb7de8e62bce797f26f07bc2572e283250
"200100","200000006","11","0","11","0","0","11","ウキキー","0","9","11","82","0","11","11","0","11","11","11","0","11","10","1","1","10","0","11","30","0","11","11","0","11","1","0","598","11","11","0","11","0","11","600010011"
"200100","200000006","19","0","19","0","0","15","ウキキー","0","13","19","177","0","19","19","0","19","19","19","0","19","10","1","1","10","0","19","30","0","19","19","0","19","1","0","1482","19","19","0","19","0","19","600010019"
"200100","200000006","21","0","21","0","0","18","ウキキー","0","15","21","206","0","21","21","0","21","21","21","0","21","10","1","1","10","0","21","30","0","21","21","0","21","1","0","1784","21","21","0","21","0","21","600010021"
"200200","200000001","11","0","11","0","0","11","バルーンバード","0","13","11","138","0","11","11","0","11","11","11","0","11","10","1","1","10","0","11","30","0","11","11","0","11","1","0","954","11","11","0","11","0","11","600020011"
"200200","200000001","19","0","19","0","0","14","バルーンバード","0","16","19","215","0","19","19","0","19","19","19","0","19","10","1","1","10","0","19","30","0","19","19","0","19","1","0","2090","19","19","0","19","0","19","600020019"
"200200","200000001","20","0","20","0","0","14","バルーンバード","0","16","20","223","0","20","20","0","20","20","20","0","20","10","1","1","10","0","20","30","0","20","20","0","20","1","0","2296","20","20","0","20","0","20","600020020"
"200300","200000008","11","0","11","0","0","22","ゲートキーパー","0","13","11","0","0","11","11","0","11","11","11","0","11","10","1","1","10","0","11","30","0","11","11","0","11","1","123","1076","11","11","0","11","0","11","600030011"
"200300","200000008","19","0","19","0","0","27","ゲートキーパー","0","18","19","0","0","19","19","0","19","19","19","0","19","10","1","1","10","0","19","30","0","19","19","0","19","1","200","2828","19","19","0","19","0","19","600030019"
"200300","200000008","20","0","20","0","0","27","ゲートキーパー","0","18","20","0","0","20","20","0","20","20","20","0","20","10","1","1","10","0","20","30","0","20","20","0","20","1","203","2939","20","20","0","20","0","20","600030020"
"200400","200000001","10","0","10","0","0","8","ウェアウルフ","0","6","10","247","0","10","10","0","10","10","10","0","10","10","1","1","10","0","10","30","0","10","10","0","10","1","0","1702","10","10","0","10","0","10","600040010"
"200400","200000001","18","0","18","0","0","14","ウェアウルフ","0","11","18","426","0","18","18","0","18","18","18","0","18","10","1","1","10","0","18","30","0","18","18","0","18","1","0","3229","18","18","0","18","0","18","600040018"
"200400","200000001","20","0","20","0","0","16","ウェアウルフ","0","13","20","490","0","20","20","0","20","20","20","0","20","10","1","1","10","0","20","30","0","20","20","0","20","1","0","3804","20","20","0","20","0","20","600040020"
"200500","200000001","1","0","1","0","0","3","ワイルドホーン","0","2","1","40","0","1","1","0","1","1","1","0","1","10","1","1","10","0","1","30","0","1","1","0","1","1","0","320","1","1","0","1","0","1","600050001"
"200500","200000001","9","0","9","0","0","10","ワイルドホーン","0","8","9","194","0","9","9","0","9","9","9","0","9","10","1","1","10","0","9","30","0","9","9","0","9","1","0","1634","9","9","0","9","0","9","600050009"
"200500","200000001","12","0","12","0","0","13","ワイルドホーン","0","10","12","231","0","12","12","0","12","12","12","0","12","10","1","1","10","0","12","30","0","12","12","0","12","1","0","1711","12","12","0","12","0","12","600050012"
"200500","200000001","16","0","16","0","0","16","ワイルドホーン","0","12","16","301","0","16","16","0","16","16","16","0","16","10","1","1","10","0","16","30","0","16","16","0","16","1","0","2290","16","16","0","16","0","16","600050016"
"200500","200000001","20","0","20","0","0","18","ワイルドホーン","0","13","20","446","0","20","20","0","20","20","20","0","20","10","1","1","10","0","20","30","0","20","20","0","20","1","0","3871","20","20","0","20","0","20","600050020"
"200600","200000001","1","0","1","0","0","3","ラットン","0","2","1","28","0","1","1","0","1","1","1","0","1","10","1","1","10","0","1","30","0","1","1","0","1","1","0","154","1","1","0","1","0","1","600060001"
