a1db848f4599253b7fd82eb38b54995791ad236f295efff7e44685413d81b420,f526c0ec30015da1b495b29554a02980619a6325475a933281fc14ac7368f0e3,c94a134213b2148b0d76d2deca8ad7b97f8c86f3802adb416bd91200909a130e,cd4382cfb9f3a73b842c29edbddc49ad9bfded9273de6392dffe8e81ef66e5a9,db3b4e6864558053ff017688fa27bc7d0231c017ea11d4e047a7b00e572c2d7a,4362b6456b892e443d2412e7917519c102a951c399f4f318e1c2b0770bf5e409,ccc84eea0d30fb5dbd658daaf4ab59260289344890dd5a7f041629c4f03a615a,f3a45268b97be400f51eef850defae64edb45887af3a3d929841271b99391c3a,96d044c9afa19e19da6c61c83fd34535c6e9dfc1062d4ad0ae1c57774e561169,64a4cccdaa793bf8d53cef50e187c3c72aa1b4a1ff5a978c538691d3f412306c,35ea479777a069ba9d5900cba37c696eea78dca6f16914345982ca996452463c,91c3a869eeb2e3ed3245ee5274f423d13f2c7347989f14bf765be027fbf7f797,632c797f88ada90ef8e0339eb404534baf0dcdd913295ecda2e9b90db90cf521
"3001100","2024/10/31 12:00:00","100","130011","ヤマト","0","2.1","1","2030/01/01 14:59:59","2","-416.5","3001","ミッションねえ……\nちょうどいいや\nどこまで片付けられるか\n賭けをしようじゃないか"
"3001101","2024/10/31 12:00:00","101","130011","ヤマト","0","5.68","4","2030/01/01 14:59:59","2","-416.5","3001","他人から言われた任務を\n言われるままにやるなんざ\n性に合わないんだがね……\nま、報酬は貰っとこうか"
"3001102","2024/10/31 12:00:00","102","130011","ヤマト","0","0","1","2030/01/01 14:59:59","1","-416.5","3001","なんだい？　やれンなら\nとっとと済ませちまいな。\nフブキが早くやることやれ\nってボヤいてたよ。"
"3002100","2024/10/31 12:00:00","100","130211","フブキ","0","0","1","2030/01/01 14:59:59","1","-416.5","3002","え～？　ぼくに頼みごと～？\nどうしちゃおっかな～\nちゃんとお願いできたら\n考えてあげよっかな～？"
"3002101","2024/10/31 12:00:00","101","130211","フブキ","0","0","1","2030/01/01 14:59:59","1","-416.5","3002","ほらほらぁ、これが\n欲しいんでしょ～？\nほんと、しょうがないよね～\nザコおに～いさん♡"
"3002102","2024/10/31 12:00:00","102","130211","フブキ","0","8.53","5","2030/01/01 14:59:59","2","-416.5","3002","へえ～、欲しいんだ～？\nぼくのた・い・せ・つ・な・モ・ノ\nあははっ！　なに考えてんの？\nもうへんふしじゃ～んｗ"
"3002103","2024/10/31 12:00:00","103","130211","フブキ","0","5.67","7","2030/01/01 14:59:59","1","-416.5","3002","なになに～？　もしかしてまた\nおねだりするつもりなんだ？\nとか言って、ほんとはぼくに\n会いたいだけだったりして～？"
"3002104","2024/10/31 12:00:00","104","130211","フブキ","0","0","1","2030/01/01 14:59:59","1","-416.5","3002","ザコお兄さんってぇ\n頼み方もワンパなのぉ～？\nもっと必死にならないと\nぼくの心は動かせないよ～？"
"3002300","2024/10/31 12:00:00","300","130211","フブキ","0","0","3","2030/01/01 14:59:59","3","-416.5","3004","あのさーザコお兄さん、\nな～んか調子乗ってない？\nぼくのこと、なんでもくれる\nチョロいやつとか思ってたりー？"
"3002400","2024/10/31 12:00:00","301","130211","フブキ","0","0","7","2030/01/01 14:59:59","7","-416.5","3005","ざんね～ん♪\nうざいお兄さんには、もうな～んにもあげませ～ん♡\nほんとなっさけなーい♪\nばいば～い♡"
"3003200","2024/10/31 12:00:00","200","130211","フブキ","0","4.4","2","2030/01/01 14:59:59","1","-416.5","3003","きゃはは、ほんと必死～♡\nは～、面白かった。\n笑えたからいいよ～\nそれ、恵んだげる～♪"
"3003201","2024/10/31 12:00:00","201","130211","フブキ","0","0","7","2030/01/01 14:59:59","7","-416.5","3003","は～、しょうがないな～♡\nザコお兄さんってば\nほんとよわよわで\n情けないよね～ｗ"
"3003202","2024/10/31 12:00:00","202","130211","フブキ","0","5.6","1","2030/01/01 14:59:59","2","-416.5","3003","お兄さんってば、ぼくがいないと\nほんとザッコザコだよね～\nもっと感謝しろし～♪"
