2fa67fbf58807c48d61154bca3613d90df14432934d397fdf0f0641c8f96a426,d2f983f4fff96e6cf62058c8fcb61c21bdee13a387fa8ed02bef7f74ec4041dc,0dce8d5a3b6c96b63ef1f300630174fbb3ec5a4c0c6435fe297277004d93d31d,9156a0eb0a127e4cca8fbab9315dc87065e98923ed365bac5222adf226fab8f6,46a26f242e969aa8b9765c2c9845a06cc7bd80dd2733cd494f7ba94541534412,9d2de52f2b2bd7438876d8ef8bc7aa9f95c9086f27e3971a96225650cb074ca1,aea94d5f9a53200bad1f7ed1c43016484edba20f997fd8d2f65f427ed24eae73,790ace5a1f5278efe2492a0054baa83ef7ccc5c9ce3e3c8e8b6b3b09322e0398,b25394a7b15a92d76ee4817090621a306386c7d2ff35054ec6417faa4869e2f4,7235ddf70cbcd23c12c312ca47dce20b11a242a9daab2671f6c43409a30f07e9,36a065cae690d756c37e1deb2895e11e00f1ccdff2a52d53c6ab2de086e06c5d
"8","2","2","25021","31","10","91002","25012","282001001","1","8"
"8","2","2","25021","31","10","91002","25012","282001002","2","8"
"8","2","2","25021","32","10","91002","25012","282001003","3","8"
"8","2","2","25021","32","10","91002","25012","282001004","4","8"
"8","2","2","25021","33","10","91002","25012","282001005","5","8"
"9","2","2","25021","33","10","91002","25012","282001006","6","8"
"9","2","2","25021","34","10","91002","25012","282001007","7","8"
"9","2","2","25021","35","10","91002","25012","282001008","8","8"
"9","2","2","25021","35","10","91002","25012","282001009","9","8"
"10","2","2","25021","37","30","91002","25012","282001010","10","8"
"10","2","2","25021","41","10","91002","25012","282001011","11","8"
"11","2","2","25021","43","10","91002","25012","282001012","12","8"
"11","2","2","25021","46","10","91002","25012","282001013","13","8"
"12","2","2","25021","48","10","91002","25012","282001014","14","8"
"12","2","2","25021","50","10","91002","25012","282001015","15","8"
"13","2","2","25021","53","10","91002","25012","282001016","16","8"
"14","2","2","25021","55","10","91002","25012","282001017","17","8"
"14","2","2","25021","58","10","91002","25012","282001018","18","8"
"15","2","2","25021","60","10","91002","25012","282001019","19","8"
"15","2","2","25021","62","30","91002","25012","282001020","20","8"
"16","2","2","25021","68","10","91002","25012","282001021","21","8"
"16","2","2","25021","70","10","91002","25012","282001022","22","8"
"16","2","2","25021","72","10","91002","25012","282001023","23","8"
"17","2","2","25021","75","10","91002","25012","282001024","24","8"
"18","2","2","25021","77","10","91002","25012","282001025","25","8"
"18","2","2","25021","79","10","91002","25012","282001026","26","8"
"19","2","2","25021","82","10","91002","25012","282001027","27","8"
"19","2","2","25021","84","10","91002","25012","282001028","28","8"
"19","2","2","25021","86","10","91002","25012","282001029","29","8"
"20","2","2","25021","89","30","91002","25012","282001030","30","8"
"20","2","2","25021","94","10","91002","25012","282001031","31","8"
"21","2","2","25021","96","10","91002","25012","282001032","32","8"
"21","2","2","25021","99","10","91002","25012","282001033","33","8"
"22","2","2","25021","101","10","91002","25012","282001034","34","8"
"22","2","2","25021","103","10","91002","25012","282001035","35","8"
"23","2","2","25021","106","10","91002","25012","282001036","36","8"
"23","2","2","25021","108","10","91002","25012","282001037","37","8"
"24","2","2","25021","111","10","91002","25012","282001038","38","8"
"25","2","2","25021","113","10","91002","25012","282001039","39","8"
"25","2","2","25021","115","30","91002","25012","282001040","40","8"
"26","2","2","25021","121","10","91002","25012","282001041","41","8"
"27","2","2","25021","123","10","91002","25012","282001042","42","8"
"28","2","2","25021","125","10","91002","25012","282001043","43","8"
"28","2","2","25021","128","10","91002","25012","282001044","44","8"
"29","2","2","25021","130","10","91002","25012","282001045","45","8"
"30","2","2","25021","132","10","91002","25012","282001046","46","8"
"30","2","2","25021","135","10","91002","25012","282001047","47","8"
"31","2","2","25021","137","10","91002","25012","282001048","48","8"
"31","2","2","25021","139","10","91002","25012","282001049","49","8"
"31","2","2","25021","142","30","91002","25012","282001050","50","8"
"32","2","2","25021","144","10","91002","25012","282001051","51","8"
"32","2","2","25021","146","10","91002","25012","282001052","52","8"
"32","2","2","25021","149","10","91002","25012","282001053","53","8"
"33","2","2","25021","152","10","91002","25012","282001054","54","8"
"33","2","2","25021","155","10","91002","25012","282001055","55","8"
"33","2","2","25021","157","10","91002","25012","282001056","56","8"
"34","2","2","25021","160","10","91002","25012","282001057","57","8"
"34","2","2","25021","163","10","91002","25012","282001058","58","8"
"34","2","2","25021","166","10","91002","25012","282001059","59","8"
"35","2","2","25021","169","30","91002","25012","282001060","60","8"
"35","2","2","25021","171","10","91002","25012","282001061","61","8"
"35","2","2","25021","174","10","91002","25012","282001062","62","8"
"36","2","2","25021","177","10","91002","25012","282001063","63","8"
"36","2","2","25021","180","10","91002","25012","282001064","64","8"
"36","2","2","25021","182","10","91002","25012","282001065","65","8"
"37","2","2","25021","185","10","91002","25012","282001066","66","8"
"37","2","2","25021","187","10","91002","25012","282001067","67","8"
"37","2","2","25021","190","10","91002","25012","282001068","68","8"
"38","2","2","25021","193","10","91002","25012","282001069","69","8"
"38","2","2","25021","196","30","91002","25012","282001070","70","8"
