7dbf17f4beaa565e689dfb99b543fad9bf7e3a2a32a4e9a08495f24a9bcf1c73,dceec4eb3f221253310053adc50037e8d5fb98177ff8f6569993bbc52c956b76,4a3b4901f03b96f10a603452369c575f6ec7cd1e1c144287ec067dea762f85ec,b7408f39265cbbf56d3c8e462ef2a9e1eb1a2c0a5cc89a649dddc8179bb75c9a,3979c66176954a572c7c9b0d163ff90a46817af795b7e27392161391e8b92d80
"90009","#D23232","red","101","片手剣"
"90009","#D23232","red","102","両手剣"
"90009","#D23232","red","103","短剣"
"90009","#D23232","red","104","槍"
"90009","#D23232","red","105","斧"
"90009","#D23232","red","106","弓"
"90009","#D23232","red","107","拳"
"90009","#D23232","red","108","盾"
"90009","#D23232","red","109","杖"
"90009","#D23232","red","110","本"
"90010","#476FD8","blue","201","服"
"90010","#476FD8","blue","202","鎧"
"90010","#476FD8","blue","203","白ローブ"
"90010","#476FD8","blue","204","黒ローブ"
"90011","#E5681E","yellow","301","指輪"
"90011","#E5681E","yellow","302","腕輪"
"90011","#E5681E","yellow","303","ネックレス"
"90011","#E5681E","yellow","304","宝珠"
"90011","#E5681E","yellow","305","イヤリング"
