36e09084b569b0da9ce9865a3a9b0f3a31f85cb661b9dd66ac126eb7ab0f60b8,4e6a54078949cf55e2932976722ff8d73e0ea6f67d49d40dcdb1890cd987fa87,a804d976399fdc5e4530354088cae1d5b9d274b8843ec2cec56b89d482c5a846,efce5a85c5e0173da3faf950ea9ebeefe69c08010523c39802a256315346dc09,0efe80655e71cdd85b99ee039bd430d203dca10a84bd52cfb0937ec3aa9ed9fc,3c2567f77cf4ecab5dfcd65b472cd8976275fe280878fc46aa6477d86b0df3c4,1d55449d5ebaad04e9b2988cc05c0b32eca0932281adca8ca64d2a8bc3b82ba8,c834890dbb3e54c3e7ed404438fcbd9a9dd2abf362f69534648c668de194d3c3,e8b2bc5f25737f82ba5185fdeb38b88595f37bc6a60840995bc44891e672f449,7b92455dc2033f56ffc78901e348878604f09e388ffa696688b31c1c418086e1,358f0296f007a9d32df781c83279b19c100738a654b7afa3a6390dc929632b3f,d5d4e14e2f7ef6d0e5bb7cffe1907a920f371be33dc20f99309e491554344bdf,f9c3e6e09e34285757bfa980363da310d9fcf2a2f1167716716a1cca2d4e4d06
"1","1","bgm_M33","0","0","2030/03/26 14:59:00","0","380000","10001","0","2018/03/26 15:00:00","380000","bgm_M33"
"2","1","bgm_M99","0","0","2030/03/26 14:59:00","0","380000","10002","0","2018/04/26 15:00:00","380000","bgm_M99"
"3","1","bgm_M107","0","0","2030/03/26 14:59:00","0","380000","10003","0","2018/05/25 16:00:00","380000","bgm_M107"
"4","1","bgm_M113","0","0","2030/03/26 14:59:00","0","380000","10004","0","2018/06/26 15:00:00","380000","bgm_M113"
"5","1","bgm_M121","0","0","2030/03/26 14:59:00","0","380000","10005","0","2018/07/26 15:00:00","380000","bgm_M121"
"6","1","bgm_M128","0","0","2030/03/26 14:59:00","0","380000","10006","0","2018/08/27 15:00:00","380000","bgm_M128"
"7","1","bgm_M135","0","0","2030/03/26 14:59:00","0","380000","10007","0","2018/09/26 15:00:00","380000","bgm_M135"
"8","1","bgm_M162","0","0","2030/03/26 14:59:00","0","380000","10008","0","2018/10/26 15:00:00","380000","bgm_M162"
"9","1","bgm_M171","0","0","2030/03/26 14:59:00","0","380000","10009","0","2018/11/26 15:00:00","380000","bgm_M171"
"10","1","bgm_M182","0","0","2030/03/26 14:59:00","0","380000","10010","0","2018/12/26 15:00:00","380000","bgm_M182"
"11","1","bgm_M189","0","0","2030/03/26 14:59:00","0","380000","10011","0","2019/01/25 15:00:00","380000","bgm_M189"
"12","1","bgm_M206","0","0","2030/03/26 14:59:00","0","380000","10012","0","2019/02/22 15:00:00","380000","bgm_M206"
"13","1","bgm_M215","0","0","2030/03/26 14:59:00","0","380000","10013","0","2019/03/25 15:00:00","380000","bgm_M215"
"14","1","bgm_M33","0","0","2030/03/26 14:59:00","0","380000","10014","0","2019/04/11 15:00:00","380000","bgm_M33"
"15","1","bgm_M223","0","0","2030/03/26 14:59:00","0","380000","10015","0","2019/04/24 15:00:00","380000","bgm_M223"
"16","1","bgm_M99","0","0","2030/03/26 14:59:00","0","380000","10016","0","2019/05/09 15:00:00","380000","bgm_M99"
"17","1","","0","0","2030/03/26 14:59:00","0","380000","10017","0","2019/05/24 15:00:00","380000",""
"18","1","bgm_M107","0","0","2030/03/26 14:59:00","0","380000","10018","0","2019/06/10 15:00:00","380000","bgm_M107"
"19","1","bgm_M237","0","0","2030/03/26 14:59:00","0","380000","10019","0","2019/06/25 15:00:00","380000","bgm_M237"
"20","1","bgm_M113","0","0","2030/03/26 14:59:00","0","380000","10020","0","2019/07/08 15:00:00","380000","bgm_M113"
"21","1","bgm_M245","0","0","2030/03/26 14:59:00","0","380000","10021","0","2019/07/25 15:00:00","380000","bgm_M245"
"22","1","bgm_M121","0","0","2030/03/26 14:59:00","0","380000","10022","0","2019/08/08 15:00:00","380000","bgm_M121"
