a4157446c752ae0bf60297a23642e353a8c513fde7911efb64db48f8c95aa718,538b093e0113542e1c0767fa1046c5226d04a00f2a413572bfb7ebce144327b3,7f4b28734fdcc93e725ea64ec25cbe644f7e1d879c2592c84e6e3130297992e5,dfacade9a04260f53a9a8d9c4187d4dbdd0ab30bb5fe047375d345004f12f3e3,da759bea5ed2f1817b7ce4418ffaac734ee3e56c136d276b2d29a2715e48b060,6e98cc52fccc65dda3bdad6a030b6dc054fdaaa6a216492485f41978871020b1,fcd215dc11cf9f3fb3990d310e1ab3e15088b4fd7ff17a27076abb90404c04c4,d82e1e155fbada6bd21b66613ac8a5351642b770dfb55bf0e07744169207391f
"1","0","1","52001","1","0","1","【料理】ダイスが2個に増える"
"2","0","1","52002","1","0","1","【料理】ダイスの目が必ず「1」になる"
"3","0","2","52002","1","0","3","【料理】次のターン数のカウントをスキップする"
"4","0","1","52004","1","0","1","【料理】ダイスの目が必ず「4」になる"
"5","0","1","52006","1","0","1","【料理】ダイスの目が\n「4・5・6」のみになる"
"6","0","1","52007","1","0","1","【料理】ダイスの目が1ターン目は必ず「3」に、2ターン目は必ず「6」になる"
"7","0","1","52003","1","0","1","【料理】ダイスの目が必ず「5」になる"
"8","0","7","52008","1","0","2","【料理】マイルマスの獲得マイルが200%アップする"
"9","0","2","4","2","0","3","【イベント】次のターン数のカウントをスキップする"
"10","0","3","5","2","0","2","【イベント】マイルマスの獲得マイルが100%アップする"
"11","0","5","6","2","0","2","【イベント】ミニゲームの獲得マイルが100%アップする"
"12","0","4","7","2","0","3","【イベント】マイルショップの全商品が20%以上割引される"
"13","0","1","52009","1","0","1","【料理】ダイスの目が1ターン目は必ず「8」に、2ターン目は必ず「1」になる"
"14","0","6","52010","1","0","2","【料理】「マイルマス」「トレ\nジャーマス」「ショップマス」のRANKが1つ上がる"
"15","0","1","52011","1","0","1","【料理】ダイスの目が1ターン目は必ず「2」に、2ターン目は必ず「7」になる"
"16","0","1","52012","1","0","1","【料理】ダイスの目が\n「1・2・3」のみになる"
"17","0","2","52012","1","0","3","【料理】次のターン数のカウントをスキップする"
"18","0","8","52014","1","0","1","【料理】移動時にマイルマスをスキップできる"
"19","0","1","52005","1","0","1","【料理】次回移動時に1マス分多く進める"
"20","2","1","52014","1","2","1","【料理】次回移動時に1マス分多く進める"
"21","0","1","52015","1","0","1","【料理】ダイスが2個に増える"
"22","0","1","52015","1","0","1","【料理】次回移動時に1マス分多く進める"
"23","0","1","52016","1","0","1","【料理】ダイスの目が必ず「6」になる"
"24","0","9","52017","1","0","1","【料理】移動系カテゴリーの料理が食べられなくなる"
"25","0","1","52018","1","0","1","【料理】ダイスの目が必ず「3」になる"
"26","0","1","52019","1","0","1","【料理】ダイスの目が必ず「8」になる"
"27","0","2","98011","2","0","3","【イベント】次のターン数のカウントをスキップする"
"28","0","2","98012","2","0","3","【イベント】次のターン数のカウントをスキップする"
"29","0","10","52020","1","0","2","【料理】移動時にマイルマスをスキップできる"
"30","2","1","52020","1","2","1","【料理】次回移動時に1マス分多く進める"
"31","0","10","52021","1","0","2","【料理】移動時にトレジャーマスをスキップできる"
"32","0","1","52022","1","0","1","【料理】ダイスの「5と6」の\n目が出る確率が3倍になる"
"33","0","1","52023","1","0","1","【料理】ダイスの目が1ターン目は必ず「6」に、2ターン目は必ず「3」になる"
"34","0","1","52024","1","0","1","【料理】次回移動時に3マス分多く進める"
"35","0","10","52025","1","0","2","【料理】移動時に「マイルマス」「トレジャーマス」をスキップできる"
"36","0","1","52027","1","0","1","【料理】ダイスの目が必ず「5」になる"
"37","0","1","52028","1","0","1","【料理】ダイスの目が\n「1・2」のみになる"
"38","0","1","52029","1","0","1","【料理】ダイスの目が必ず「2」になる"
"39","0","2","52029","1","0","3","【料理】次のターン数のカウントをスキップする"
"40","0","4","8","2","0","3","【イベント】マイルショップの全商品が20%以上割引される"
"41","0","11","52030","1","0","3","【料理】「マイルマス」を「トレジャーマス」に変化させる"
"42","0","1","52031","1","0","1","【料理】ダイスの目が\n「1・6・6・6・8・8」になる"
"43","0","10","52032","1","0","2","【料理】移動時に料理マスをスキップできる"
"44","0","8","52034","1","0","1","【料理】移動時にマイルマスをスキップできる"
"45","0","1","52036","1","0","1","【料理】ダイスの目が1ターン目は必ず「12」に、2・3ターン目は必ず「1」になる"
"1001","0","99","1","3","0","1","最大ｎマイルを入手する"
"1002","0","99","2","3","0","1","ダイスを1回振りなおせる"
"1003","0","99","3","3","0","1","ダイスを1回振りなおせる_有効ターン2"
"11001","0","126501","1001","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11002","0","105301","1002","3","0","1","【仲間】最大1000マイルを入手する"
"11003","0","126401","1003","3","0","1","【仲間】料理を1つ入手する"
"11004","0","100501","1004","3","0","1","【仲間】ダイスの目を1回振りなおせる"
"11005","0","101301","1005","3","0","1","【仲間】ダイスの目を2回振りなおせる"
"11006","0","104301","1006","3","0","1","【仲間】出目が4のダイスを同時に振ってどちらか選択できる"
"11007","0","102701","1007","3","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"11008","0","100901","1008","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11009","0","105101","1009","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11010","0","101801","1010","3","0","1","【仲間】最大1000マイルを入手する"
"11011","0","129701","1011","3","0","1","【仲間】ダイスの表と裏どちらを適用するか選択できる"
"11012","0","101601","1012","3","0","1","【仲間】ダイスの目を1回振りなおせる"
"11013","0","105601","1013","3","0","1","【仲間】ダイスの目を2回振りなおせる"
"11014","0","102001","1014","3","0","1","【仲間】出目が3のダイスを同時に振ってどちらか選択できる"
"11015","0","129601","1015","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11016","0","100401","1016","3","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"11017","0","127701","1017","3","0","1","【仲間】出たダイスの目が偶数だった場合、1マス分多く進める"
"11018","0","127801","1018","3","0","1","【仲間】出たダイスの目が奇数だった場合、ライバルを1ターン休みにできる"
"11019","0","104801","1019","3","0","1","【仲間】最大50％割引確定の\nショップを開く\n（1品100％割引あり）"
"11020","0","104701","1020","3","0","1","【仲間】ダイスの目を2回振りなおせる"
"11021","0","105001","1021","3","0","1","【仲間】出目の合計が7以上になるまでダイスを追加で振れる"
"11022","0","103201","1022","3","0","1","【仲間】最大2000マイルを入手する"
