95a0376a0d6c46b0e31cb33b843641d84a55d17dd77bd343cf6b7d2268c28fc0,f6c09f191b2d40af0f8cdb973c6bccae3075c79fd7a1d50bb0e8f4d9d9564c73,36db4943d6c29165d67c3b7187e75ee8855e650afcc4d7da6c9ee0a88b52c4ed,72d7d35f07064c4f622e7200c2cf3c28893c9560d4b7462b43cdb5ab1b1f4645,20d7b948036d0f6e6417398a24b1d74f5f8e5ec20bfb55e6bc5ff26738f8acc8,1cfb811d6b74d2a173a0b66ff97bbc95e553043781527e33656a5e4347d7dbb7,154354229d04bf59a72268748366e78ac1c237f98c1c648e77a103e3437ee12f,c4854c86fd55bab1bc08c9ebceb9239d9633b5dfa7d5b86290d70ba1d6ce2f8b,a63e66f2e785d7682d3e80f180770f3b77d6a38811e2252afdf145a9667ed216,173b7af2f6dd8f69348891330e58d3777fba066bbd50b0d429001e705325f9d8,1c6669c67080ba4d9e68d7750b5dee00901b1a40bd0cd30754470a0f48f056b8
"25","bgm_M321_2C","","","","4514","","bgm_M321","","","4514001"
"1","105811","-1000","-70","250","4514","wac_birthday_idle_normal","1","2","0","4514002"
"1","106011","200","-270","256","4514","wac_birthday_idle_doya","1","2","1","4514003"
"1","105911","320","-310","258","4514","wac_birthday_idle_wish","1","2","1","4514004"
"1","106431","440","-290","257","4514","wac_birthday_idle_smile","1","2","1","4514005"
"13","300","","","","4514","","105811","","","4514006"
"13","300","","","","4514","","106011","","","4514007"
"31","600","0","1","0","4514","","600","1","","4514008"
"31","602","0","1","0","4514","","602","0","","4514009"
"31","603","0","1","0","4514","","603","0","","4514010"
"31","604","60","1","30","4514","","604","1","","4514011"
"31","611","0","1","0","4514","","611","1","","4514012"
"31","700","0","1","0","4514","","700","0","","4514013"
"31","701","0","1","0","4514","","701","0","","4514014"
"31","702","0","1","0","4514","","702","0","","4514015"
"31","800","0","1","0","4514","","800","0","","4514016"
"31","900","60","1","30","4514","","900","1","","4514017"
"93","","","","","4514","","1","","","4514018"
"3","wac_birthday_reaction_01","wac_birthday_reaction_03","1","0","4514","","105911","0.2","0.2","4514019"
"93","","","","","4514","","0.1","","","4514020"
"3","wac_birthday_reaction_05","wac_birthday_reaction_04","1","0","4514","","106011","0.2","0.2","4514021"
"3","wac_birthday_reaction_02","wac_birthday_reaction_03","1","0","4514","","106431","0.2","0.2","4514022"
"93","","","","","4514","","0.3","","","4514023"
"3","wac_birthday_run_01","","","1","4514","","105811","0.2","","4514024"
"2","0","3","","-70","4514","","105811","","","4514025"
"93","","","","","4514","","2.5","","","4514026"
"32","1","","","","4514","","602","","","4514027"
"93","","","","","4514","","0.6","","","4514028"
"32","0","","","","4514","","600","","","4514029"
"32","0","","","","4514","","611","","","4514030"
"32","0","","","","4514","","604","","","4514031"
"32","1","","","","4514","","701","","","4514032"
"33","0","0.01","","0","4514","","900","","","4514033"
"3","wac_birthday_blowout_02","wac_birthday_wish_02","1","0","4514","","105811","0.2","0.2","4514034"
"2","-200","0.01","","-330","4514","","105811","","","4514035"
"3","wac_birthday_idle_doya","","","1","4514","","106011","0.2","","4514036"
"2","180","0.01","","-320","4514","","106011","","","4514037"
"3","wac_birthday_idle_wish","","","1","4514","","105911","0.2","","4514038"
"2","300","0.01","","-360","4514","","105911","","","4514039"
"3","wac_birthday_idle_smile","","","1","4514","","106431","0.2","","4514040"
"2","420","0.01","","-340","4514","","106431","","","4514041"
"93","","","","","4514","","0","","","4514042"
"32","1","","","","4514","","800","","","4514043"
"93","","","","","4514","","0.7","","","4514044"
"32","1","","","","4514","","702","","","4514045"
"93","","","","","4514","","0.5","","","4514046"
"23","se_sys_login_birthday_blow_candle","","","0","4514","","se_common","","","4514047"
"32","0","","","","4514","","701","","","4514048"
"93","","","","","4514","","0.4","","","4514049"
"23","se_sys_login_birthday_cracker","","","0","4514","","se_common","","","4514050"
"32","1","","","","4514","","700","","","4514051"
"23","se_sys_login_birthday_calendar_applause","","","0","4514","","se_common","","","4514052"
"3","wac_birthday_clap","wac_birthday_idle_doya","1","0","4514","","106011","0.2","0.2","4514053"
"93","","","","","4514","","0.1","","","4514054"
"3","wac_birthday_clap_to_wish","wac_birthday_idle_wish","1","0","4514","","105911","0.2","0.2","4514055"
"93","","","","","4514","","0.1","","","4514056"
"3","wac_birthday_clap","wac_birthday_idle_smile","1","0","4514","","106431","0.2","0.2","4514057"
"93","","","","","4514","","2","","","4514058"
"131","","","","","4514","","1","","","4514059"
"21","vo_wac_04514_000","0","","0","4514","","vo_wac_04514","","","4514060"
"11","これって、誕生日ケーキですか！？\nありがとうございます♪\nとってもおいしそう……\nさっそくパクっといっちゃいますね♪","1","1","10","4514","0.5","105811","0","0","4514061"
"91","","","","","4514","","0","","","4514062"
"3","wac_birthday_idle_kyapi","","","1","4514","","105811","0.2","","4514063"
"3","wac_birthday_talk_normal","","","1","4514","","106011","0.2","","4514064"
"21","vo_wac_04514_001","0","","0","4514","","vo_wac_04514","","","4514065"
"11","ちょちょ、ストーーーップ！！\nまだろうそく外してないわよ！？\nほんと相変わらずね、あんたってば……\nふふっ、おめでと。","1","1","10","4514","0.5","106011","0","0","4514066"
"91","","","","","4514","","0","","","4514067"
"3","wac_birthday_idle_doya","","","1","4514","","106011","0.2","","4514068"
"3","wac_birthday_talk_kyapi","","","1","4514","","105811","0.2","","4514069"
"21","vo_wac_04514_002","0","","0","4514","","vo_wac_04514","","","4514070"
"11","えへへ、ありがとうございます♪\nいっぱい味わって食べますね！\nみんなに祝ってもらえて\n今日は最高の記念日です♪","1","1","10","4514","0.5","105811","0","0","4514071"
"91","","","","","4514","","0","","","4514072"
"3","wac_birthday_talk_wish","","","1","4514","","105811","0.2","","4514073"
"21","vo_wac_04514_003","0","","0","4514","","vo_wac_04514","","","4514074"
"11","今日も、明日も、この先の未来も\n素敵な食卓を囲んでいけますように♪\nもちろんあなたも一緒ですよ！\nこれからもよろしくお願いしますね！","1","1","10","4514","0.5","105811","0","0","4514075"
"91","","","","","4514","","0","","","4514076"
"22","","","","","4514","","0","","","4514077"
"25","bgm_M321_2C","","","","4814","","bgm_M321","","","4814001"
"1","102011","-1000","-70","250","4814","wac_birthday_idle_normal","1","2","0","4814002"
"1","103611","230","-270","256","4814","wac_birthday_idle_doya","1","2","1","4814003"
"1","100411","410","-310","257","4814","wac_birthday_idle_kyapi","1","2","1","4814004"
"13","300","","","","4814","","102011","","","4814005"
"13","300","","","","4814","","103611","","","4814006"
"31","600","0","1","0","4814","","600","1","","4814007"
"31","602","0","1","0","4814","","602","0","","4814008"
"31","603","0","1","0","4814","","603","0","","4814009"
"31","604","60","1","30","4814","","604","1","","4814010"
"31","611","0","1","0","4814","","611","1","","4814011"
"31","700","0","1","0","4814","","700","0","","4814012"
"31","701","0","1","0","4814","","701","0","","4814013"
"31","702","0","1","0","4814","","702","0","","4814014"
"31","800","0","1","0","4814","","800","0","","4814015"
"31","901","60","1","30","4814","","901","1","","4814016"
"93","","","","","4814","","1","","","4814017"
"3","wac_birthday_reaction_02","wac_birthday_reaction_03","1","0","4814","","100411","0.2","0.2","4814018"
"93","","","","","4814","","0.1","","","4814019"
"3","wac_birthday_reaction_01","wac_birthday_reaction_04","1","0","4814","","103611","0.2","0.2","4814020"
"93","","","","","4814","","0.3","","","4814021"
"3","wac_birthday_run_01","","","1","4814","","102011","0.2","","4814022"
"2","0","3","","-70","4814","","102011","","","4814023"
"93","","","","","4814","","2.5","","","4814024"
"32","1","","","","4814","","602","","","4814025"
"93","","","","","4814","","0.6","","","4814026"
"32","0","","","","4814","","600","","","4814027"
"32","0","","","","4814","","611","","","4814028"
"32","0","","","","4814","","604","","","4814029"
"32","1","","","","4814","","701","","","4814030"
"33","0","0.01","","0","4814","","901","","","4814031"
"3","wac_birthday_blowout_02","wac_birthday_wish_02","1","0","4814","","102011","0.2","0.2","4814032"
"2","-200","0.01","","-330","4814","","102011","","","4814033"
"3","wac_birthday_idle_doya","","","1","4814","","103611","0.2","","4814034"
"2","180","0.01","","-320","4814","","103611","","","4814035"
"3","wac_birthday_idle_kyapi","","","1","4814","","100411","0.2","","4814036"
"2","320","0.01","","-340","4814","","100411","","","4814037"
"93","","","","","4814","","0","","","4814038"
"32","1","","","","4814","","800","","","4814039"
"93","","","","","4814","","0.7","","","4814040"
