28f108b1a4e1e818958ed2788e8de1a1849d730b457eb01e074780c02f4c7e2a,e1b8f3aa63f2961a220d79251acf85f1ca2e8bafad15fc87661e399bf9610362,ada7fd754d11e733f21b98bf1eecd0bfb6b087cac35fe546966b37d359059115,f41f0388eb559476c40bc371fe3fa8d212cc64734818f8fa68f60bc9fa7f45c2,a193bebe3bc92af17f6f131b4f4a5add93b3591ad69820bd64c82adcd107b28e
"1","26999","ひよっこ","0","1"
"1","26999","未熟者","0","2"
"1","26999","稚魚","0","3"
"3","26999","ビギナーランナー","0","4"
"1","26999","赤ちゃん","0","5"
"1","26999","ベイビー","0","6"
"1","26999","小物","0","7"
"1","26999","へっぽこ","0","8"
"1","26999","素人","0","9"
"1","33999","小魚","27000","10"
"1","33999","初心者","27000","11"
"3","33999","エンジョイランナー","27000","12"
"1","33999","若輩者","27000","13"
"1","33999","ルーキー","27000","14"
"1","33999","ガール","27000","15"
"1","33999","注目株","27000","16"
"1","33999","原石","27000","17"
"2","33999","ニューホープ","27000","18"
"1","50399","探究者","34000","19"
"1","50399","暴れん坊","34000","20"
"1","50399","申し子","34000","21"
"1","50399","奇才","34000","22"
"1","50399","大物","34000","23"
"1","50399","麒麟児","34000","24"
"1","50399","ホープ","34000","25"
"1","50399","新星","34000","26"
"1","50399","逸材","34000","27"
"1","59999","マーメイド","50400","28"
"1","59999","先輩","50400","29"
"1","59999","中級者","50400","30"
"3","59999","ビーチフラッガー","50400","31"
"1","59999","魚","50400","32"
"1","59999","チーフ","50400","33"
"1","59999","キャプテン","50400","34"
"1","59999","一人前","50400","35"
"1","59999","セミプロ","50400","36"
"1","59999","大型新人","50400","37"
"1","69999","流れ星","60000","38"
"1","69999","先生","60000","39"
"1","69999","ドルフィン","60000","40"
"1","69999","職人","60000","41"
"1","69999","レーサー","60000","42"
"1","69999","トゥンヌス","60000","43"
"1","69999","中の中","60000","44"
"2","69999","ビッグネーム","60000","45"
"1","69999","異才","60000","46"
"1","69999","エリート","60000","47"
"1","69999","仕事人","60000","48"
"1","69999","玄人","60000","49"
"1","83999","オルカ","70000","50"
"1","83999","名人","70000","51"
"1","83999","魔術師","70000","52"
"1","83999","師匠","70000","53"
"1","83999","サブマリン","70000","54"
"2","83999","スプリンター","70000","55"
"1","83999","名手","70000","56"
"2","83999","エースランナー","70000","57"
"1","83999","プロ","70000","58"
"1","83999","看板選手","70000","59"
"1","83999","第一人者","70000","60"
"1","83999","ドン","70000","61"
"2","99999","スピードスター","84000","62"
"1","99999","豪傑","84000","63"
"1","99999","プリンセス","84000","64"
"1","99999","女神","84000","65"
"1","99999","マスター","84000","66"
"2","99999","ナンバーワン","84000","67"
"1","99999","寵児","84000","68"
"3","99999","ワイルドグリフォン","84000","69"
"1","99999","ワイバーン","84000","70"
"2","99999","エキスパート","84000","71"
"2","99999","トップランナー","84000","72"
"1","119999","韋駄天","100000","73"
"1","119999","クイーン","100000","74"
"2","119999","チャンピオン","100000","75"
"2","119999","天才ランナー","100000","76"
"3","119999","レコードホルダー","100000","77"
"1","119999","極致","100000","78"
"2","119999","ネプテリオン","100000","79"
"2","119999","シードレイク","100000","80"
"1","119999","女傑","100000","81"
"1","119999","革命家","100000","82"
"2","119999","ビッグスター","100000","83"
"2","999999","ファンタジスタ","120000","84"
"2","999999","スーパースター","120000","85"
"3","999999","ワールドチャンプ","120000","86"
"1","999999","レジェンド","120000","87"
"1","999999","超人","120000","88"
"1","999999","トルペドン","120000","89"
"1","999999","カルキノス","120000","90"
"2","999999","アクアリオス","120000","91"
"1","999999","至宝","120000","92"
"3","999999","グランドマスター","120000","93"
"1","999999","英雄","120000","94"
"1","999999","天下取り","120000","95"
