f5fe59679cfc354da020c91928db907698bde97ec36597b2402cd469b4a7e901,b709977df079762daf01f8880d816db939c31e26520db00c392133f36c7d970b,871427a4aee2ecd10ba65e4f507c5d71868bd53c13c2675684dbbded6189283a,d71beb3668c9e23665fd3d1fb3afd1c30237b12ba58e69e8514fd825daa37e40,6a086928e500534533e3b0ace68fd0d4a760bace4d342d48121383dd079fcb12,dbeacd0f7944ac5276f11801c4309fc0659662685b11119ac9b3427736509a71,7190877c5ae68437c2251f4fea8953c026fb9020f9e57646c017543c8b57066d,dc40d190bc59ae389fe5dcbdb417553a40852c9f1681d49981c79692cfb56bcc,47eb67c001f059599701a244c18bf6f4f149452486ee4021b537319e59b2236c,a0cfc8c023be8a8d08620dd42a2430ccbffd10815561c81571640991eb7c5a9e,86012217d0b742344d5adba799d6768db66b97efc0a5dc5ebb91fd1501dd96f2,4ad7f90178dd472b1266f67aecb099c1740be4e3c0f0fd96b98c076050469bf0
"0","vo_10020900_0001","1","0","2","vo_10020900","0","0","0","1","0","1010001"
"0","0","1","180","1","0","0","1","0","2","0.818181818181818","1010002"
"1","0","1","0","4","0","0.818181818181818","1","0","3","0","1010003"
"0","0","1","148","1","0","0","2","0","4","0.634285714285714","1010004"
"1","0","1","0","4","0","1.03428571428571","2","0","5","0","1010005"
"0","0","1","460","1","0","0","2","148","6","1.33714285714286","1010006"
"1","0","1","0","4","0","2.13714285714286","2","0","7","0","1010007"
"0","vo_10020900_0002","1","0","2","vo_10020900","0","0","0","8","0","1010008"
"0","0","1","223","1","0","0","3","0","9","1.12948051948052","1010009"
"1","0","1","0","4","0","2.12948051948052","3","0","10","0","1010010"
"0","vo_10020900_0003","1","0","2","vo_10020900","0","0","0","11","0","1010011"
"0","0","1","343","1","0","0","3","223","12","0.545454545454545","1010012"
"1","0","1","0","4","0","1.04545454545455","3","0","13","0","1010013"
"0","0","1","700","1","0","0","3","343","14","1.71545454545455","1010014"
"1","0","1","0","4","0","2.71545454545455","3","0","15","0","1010015"
"0","vo_10020900_0004","1","0","2","vo_10020900","0","0","0","16","0","1010016"
"0","0","1","275","1","0","0","4","0","17","1.67857142857143","1010017"
"1","0","1","0","4","0","2.17857142857143","4","0","18","0","1010018"
"0","vo_10020900_0005","1","0","2","vo_10020900","0","0","0","19","0","1010019"
"0","0","1","465","1","0","0","4","275","20","1.28311688311688","1010020"
"1","0","1","0","4","0","1.98311688311688","4","0","21","0","1010021"
"0","0","1","715","1","0","0","4","465","22","1.2987012987013","1010022"
"1","0","1","0","4","0","1.9987012987013","4","0","23","0","1010023"
"0","0","1","400","1","0","0","5","0","24","2.07792207792208","1010024"
"1","0","1","0","4","0","3.07792207792208","5","0","25","0","1010025"
"0","vo_10020900_0006","1","0","2","vo_10020900","0","0","0","26","0","1010026"
"0","0","1","182","1","0","0","6","0","27","1.06363636363636","1010027"
"1","0","1","0","4","0","1.56363636363636","6","0","28","0","1010028"
"0","0","1","700","1","0","0","6","182","29","2.96","1010029"
"1","0","1","0","4","0","3.96","6","0","30","0","1010030"
"0","vo_10020900_0007","1","0","2","vo_10020900","0","0","0","31","0","1010031"
"0","0","1","85","1","0","0","7","0","32","0.386363636363636","1010032"
"1","0","1","0","4","0","0.886363636363636","7","0","33","0","1010033"
"0","0","1","750","1","0","0","7","85","34","3.54090909090909","1010034"
"1","0","1","0","4","0","4.54090909090909","7","0","35","0","1010035"
"0","vo_10020900_0008","1","0","2","vo_10020900","0","0","0","36","0","1010036"
"0","0","1","95","1","0","0","8","0","37","0.431818181818182","1010037"
"1","0","1","0","4","0","1.03181818181818","8","0","38","0","1010038"
"0","vo_10020900_0009","1","0","2","vo_10020900","0","0","0","39","0","1010039"
"0","0","1","235","1","0","0","8","95","40","0.709090909090909","1010040"
"1","0","1","0","4","0","1.30909090909091","8","0","41","0","1010041"
"0","vo_10020900_0010","1","0","2","vo_10020900","0","0","0","42","0","1010042"
"0","0","1","750","1","0","0","8","235","43","3.07662337662338","1010043"
"1","0","1","0","4","0","4.07662337662338","8","0","44","0","1010044"
"0","vo_10020900_0011","1","0","2","vo_10020900","0","0","0","45","0","1010045"
"0","0","1","170","1","0","0","9","0","46","1.43506493506493","1010046"
"1","0","1","0","4","0","2.43506493506493","9","0","47","0","1010047"
"0","vo_10020900_0012","1","0","2","vo_10020900","0","0","0","48","0","1010048"
"0","0","1","720","1","0","0","9","170","49","2.75","1010049"
"1","0","1","0","4","0","3.95","9","0","50","0","1010050"
"0","vo_10020900_0013","1","0","2","vo_10020900","0","0","0","51","0","1010051"
"0","0","1","585","1","0","0","10","170","52","1.67792207792208","1010052"
"1","0","1","0","4","0","2.27792207792208","10","0","53","0","1010053"
"0","0","1","750","1","0","0","10","585","54","0.9","1010054"
