e840291e9a2be40d8b6d2dd6dc78efd27db5f00f175ff31846725489bed7aa91,bb49cbba8a9e27ea6a9f153e06712bb9b79f21b12ea9816f00115c8cb9b943bb,f88d35bff881499807be46faa34f9ded5b90eb2f2d0a64fa3f8122a1c13ea8c2,db7578b81904ebce7a34fc0d2d1d84ac47fdc68d64bb8e1ac38319a87a9d6121,a2e2a1c0bb22579c309043e28f2525b0a89736747e490ad56fd108340088f6c1,8ba24c3f311b186621e17cbe9f80bda24778e427681fa61e561a326a2f2edad2,e4c47876aa10e0786d659aa364119bb508d6437f7ec71fda6c1cc232a860f95c
"100721","-10","0.8","0","300900","0.8","31001"
"100722","-40","0.7","0","302300","0.7","31002"
"100261","-40","0.8","0","302400","0.8","31003"
"100283","-20","0.9","0","302500","0.9","31004"
"101611","-10","0.9","0","301700","0.9","31005"
"102174","-40","0.7","0","310100","0.7","31006"
"102751","-60","0.3","-80","399800","0.3","31007"
"103001","20","0.9","-20","314901","0.9","31008"
"103232","-110","0.7","30","318405","0.7","31009"
"103371","-10","1","0","320100","1","31010"
