045da5c733f68b811d5a9908c623ff371c84144bb0e9cfc4130c407b93708b6b,a0699d5d2a7e2d796e1a635c3eabf476f81ddf32b9909c1927fef285311ebe70,a0c3516351541f96442f2fa08be92fedef7def599cb379417b46d7e3c071a808,115b2b455a9152a7aad2175462a04abcaa42ab225b8665bc5d9d42b99e35c407,6f7604174fc85f94d334a8d5ac820e35df5fc1ac917ad845fccba7348c981d51,77db4e682b609f3ee49f3f4feec8e3382e505e8745fa83cd54b68219636e4ab4,435578d6a2342530cde97941c2d5d0e2c3c833370feada0778d0eaa65046acce
"250","1","1004","100","150","200","50"
"400","2","1004","160","240","320","80"
"250","3","1004","100","150","200","50"
"250","5","1004","100","150","200","50"
"400","6","1004","160","240","320","80"
"3","12","1004","1","1","2","1"
"250","1","1005","100","150","200","50"
"250","3","1005","100","150","200","50"
"400","4","1005","160","240","320","80"
"250","5","1005","100","150","200","50"
"400","7","1005","160","240","320","80"
"3","13","1005","1","1","2","1"
