77fe83f5fc0a15db3e9d04b0718874714644213c85fbdd93253085310bd98b54,586e8316c33cd1ff29c52f324d14108b3e508bc8be12e8b457ea35feb16ab1b6,4a1ea1073ab2b0fab613bfda2102649d73e8ef2e98bc1379d8f793fad5af8c60,0033d7c571b0cbca6065a6a3db1d2ed6b98750c8e51d5fa95c66463625022fe2,4b0aa28f6b7ef6bebfff6e8fc7b57e9ea9b3bcc2f65de6ccf01f0fb9d5d0c6e6
"1","25","1","101","13000001"
"1","26","1","102","40001"
"1","28","1000","103","99012"
"2","25","1","201","13000002"
"2","26","1","202","40002"
"2","28","1000","203","99012"
"3","25","1","301","13000004"
"3","26","1","302","40006"
"3","28","1000","303","99012"
"4","25","1","401","13000011"
"4","26","1","402","40008"
"4","28","1000","403","99012"
"5","25","1","501","13000007"
"5","26","1","502","40007"
"5","28","1000","503","99012"
"7","25","1","701","13000009"
"7","26","1","702","40003"
"7","28","1000","703","99012"
"9","25","1","901","13000013"
"9","26","1","902","40010"
"9","28","1000","903","99012"
"11","25","1","1101","13000008"
"11","26","1","1102","40004"
"11","28","1000","1103","99012"
"13","25","1","1301","13000012"
"13","26","1","1302","40009"
"13","28","1000","1303","99012"
"15","25","1","1501","13000003"
"15","26","1","1502","40005"
"15","28","1000","1503","99012"
