5a66837bfaf31badcdc6f947b40e46c191f6ce36e9758739886d43bfd2612424,31e506c92f593f574c2837db66c63482f4b62a7cd717327d1bc1d9faee69c324,740c33c5c4f2d5e76c2720357e1dc43e1dfe6f9a584dbbe001622b86ec9af4e1,adc8bffa41c15ef554382f83b28f91682e80e07555b0293f1037c0b87bf7ac43,b8e2fd9c0dcad7e67340933e4f2327c3dc3aa5a4cf6d6e4e624476e30316c2de,7beb7e3cdce5cde33dd66516852b446ca070c0db43905f77d7f4a4b810140e9b,4d57c8d50d5e5015cf34ce760eaf6fc9e1c5f85eab166b3cce5b6a1e8511f299
"10101","2020-08-04 12:00:00","0","1","101","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 1 封入特典"
"10102","2020-09-03 19:00:00","0","1","101","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 2 封入特典"
"10103","2020-10-01 17:00:00","0","1","101","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 3 封入特典"
"10104","2020-11-05 12:00:00","0","1","101","2023/12/31 23:59:59","アニメ プリンセスコネクト！Re:Dive 4 封入特典"
"10201","2022-03-21 00:00:00","0","1","102","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 1巻 購入特典"
"10202","2022-04-18 00:00:00","0","1","102","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 2巻 購入特典"
"10203","2022-05-16 00:00:00","0","1","102","2026/12/31 23:59:59","アニメ プリコネ！Re:Dive Season2 3巻 購入特典"
"20101","2021-05-19 00:00:00","0","1","201","2022/05/19 23:59:59","週刊ファミ通6月3日号（5月20日発売） 封入特典"
"20201","2021-07-30 00:00:00","0","1","202","2030/07/30 23:59:59","公式アートワークス Vol.3 発売記念アイテム"
"20301","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20302","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20303","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20304","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20305","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20306","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20307","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20308","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20309","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20310","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20311","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20312","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20313","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20314","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20315","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20316","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20317","2023-01-15 15:00:00","1","3","203","2024/01/31 23:59:59","プリコネフェス2023　リアルガチャ"
"20401","2024-02-14 00:00:00","0","1","204","2025/02/13 23:59:59","キャラクターソングアルバムVol.5 購入特典"
"20501","2024-02-14 00:00:00","0","1","205","2025/02/13 23:59:59","サウンドトラックVol.6 購入特典"
"20601","2024-11-29 12:00:00","0","0","206","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品"
"20602","2024-11-29 12:00:00","0","0","206","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品"
"20603","2024-11-29 12:00:00","0","0","206","2030/12/31 23:59:59","佐賀市ふるさと納税返礼品"
