52efa1f6eae6e896d422d847430eb70239c6716cfcc0a663099f85d679698931,f5a25d2edcd78b6a6f641456b868092c9f7339988ae0bc3c9106659d98d649b2,ccc7f1b2cdba69a1bcca2f3cc3e0ddaa22731b189392a8f3199f8e742e63eb28,2a7328185ece5d73478ad7682b0a1a041540dc082ac34f84e0dc601f93990648,3bbf06f6009a63f902f125d266fd271e028fa387295a3588509c8b1d8bbadda3,34ef05046c29675b9ab71c22db199c9d99d1ff9bab371ea31e45779b58006c1e,64805d489152d48f9e34c93bce040ac2ad094fe10bfc4bd653e3ea037bd5fa6e,c0802614861f08599625833e66c7d0ab94cca1f992696fba6f8f9f30b2b17a28,402a66e6a3e8054d134655f4c0fab920c7b518ac3dbc07d9c06a7e618af60946,152b6a25b9d0a9236045811430103bfb4f08cec16afd5ef68c8af9018735e51f,bd4998ccce9f8cd4f2a019200d35490d4463f6bc536d09204b3be806ec248434
"100","113511","0","2.08","-300","1007001","2","5","svd_idle_normal","-750","1007001001"
"100","113411","1","2.08","-300","1007001","1","5","svd_idle_normal","750","1007001002"
"0","333","0","1","0","1007001","3","5","svd_white_loop","0","1007001003"
"1","1","0","0","0","1007001","333","6","","1","1007001004"
"0","2","","","","1007001","113511","7","","0","1007001005"
"-300","-750","","","0","1007001","113511","2","","0.5","1007001006"
"1","1","0","0","0","1007001","113411","6","","1","1007001007"
"-140","11","","0","0.8","1007001","1","31","","-40","1007001008"
"0","2","","","","1007001","11","34","","0","1007001009"
"0","6","","","","1007001","113411","7","","0","1007001010"
"-300","750","","","0","1007001","113411","2","","0.5","1007001011"
"-250","14","","0","1","1007001","4","31","","-40","1007001012"
"250","15","","0","1","1007001","5","31","","-40","1007001013"
"","","","","","1007001","1","93","","","1007001014"
"1","1","0","0.8","0.4","1007001","333","6","","1","1007001015"
"0","svd_idle_see_pre","0","0.2","1","1007001","113511","3","","svd_idle_see","1007001016"
"-300","640","","","0","1007001","113411","2","","1.1","1007001017"
"-300","-600","","","0","1007001","113511","2","","1.1","1007001018"
"","","","","","1007001","1","93","","","1007001019"
"","1","","","","1007001","11","32","","","1007001020"
"","","","","","1007001","0","91","","","1007001021"
"260","240","","","80","1007001","113511","94","","0","1007001022"
"","0","","","","1007001","11","32","","","1007001023"
"1","svd_run","","0.2","","1007001","113511","3","","","1007001024"
"1.2","0","","","","1007001","113511","7","","0","1007001025"
"-300","-250","","","0","1007001","113511","2","","1.2","1007001026"
"1","svd_run","","0.2","","1007001","113411","3","","","1007001027"
"1.2","0","","","","1007001","113411","7","","0","1007001028"
"-300","250","","","0","1007001","113411","2","","1.2","1007001029"
"1","1","0","0.2","1","1007001","113411","6","","1","1007001030"
"","","","","","1007001","1.2","93","","","1007001031"
"","","","","","1007001","0","91","","","1007001032"
"0","svd_kime_eriko","","0.2","","1007001","113511","3","","","1007001033"
"0","svd_kime_shizuru","","0.2","","1007001","113411","3","","","1007001034"
"","","","","","1007001","1.4","93","","","1007001035"
"","1","","","","1007001","14","32","","","1007001036"
"","1","","","","1007001","15","32","","","1007001037"
"","","","","","1007001","0.6","93","","","1007001038"
"1","svd_idle_joy1","","0.2","","1007001","113411","3","","","1007001039"
"1","svd_talk_wish","","0.2","","1007001","113511","3","","","1007001040"
"0","vo_svd_0121","","","","1007001","vo_svd","21","","0","1007001041"
"6","あなた様のため…必ずや\n忘れられない最高の夏休みを\nお贈りいたしますわ…","0","0","0","1007001","113511","11","1","0","1007001042"
"","","","","","1007001","0","91","","","1007001043"
"1","svd_idle_wish","","0.2","","1007001","113511","3","","","1007001044"
"1","svd_talk_joy1","","0.2","","1007001","113411","3","","","1007001045"
"0","vo_svd_0122","","","","1007001","vo_svd","21","","0","1007001046"
"8","夏が来たら私たちのことを\n思い出しちゃうすっごい\nプロデュースをしちゃおうね！","0","0","0","1007001","113411","11","1","0","1007001047"
"","","","","","1007001","0","91","","","1007001048"
"1","svd_idle_joy1","","0.2","","1007001","113411","3","","","1007001049"
"1","svd_talk_thinking","","0.2","","1007001","113511","3","","","1007001050"
"0","vo_svd_0123","","","","1007001","vo_svd","21","","0","1007001051"
