7d8b3117ce7013d3635b494de13356f7d16e42b9154e87edfcc0383af54c211b,426e607e46329d38e63a0e2a4da628baf69470a90a760683ca813dea3e66e3f3,5da58df4bebc4dfc6066272bde04832690d1e1b1dae43a2cb119843ad698e426,006f505f5fda8185e79a266c63338e01e174e092bb4e33657ce96d3e95d86edd,a18a6576227480e2a065026a140110b6de1308f59a29d5da01933ef3e8ad6065
"100","255","10001","30","10"
"100","110","10002","34","10"
"100","185","10003","37","10"
"101","388","10004","41","10"
"100","603","10005","46","10"
"100","696","10006","51","10"
"100","478","10007","54","10"
"101","240","10008","58","10"
"100","371","10009","62","10"
"100","253","10010","67","10"
"100","408","10011","71","10"
"100","342","10012","75","10"
"101","549","10013","78","10"
"100","696","10014","82","10"
"100","468","10015","87","10"
"100","641","10016","92","10"
"100","701","10017","96","10"
"100","531","10018","101","10"
"100","387","10019","105","10"
"100","315","10020","108","10"
"100","241","10021","112","10"
"100","316","10022","117","10"
"100","741","10023","120","10"
"100","1007","10024","125","10"
"101","730","10025","129","10"
"100","647","10026","133","10"
"100","836","10027","137","10"
"100","1087","10028","140","10"
"100","818","10029","143","10"
"100","558","10030","147","10"
"101","228","10031","152","10"
"100","569","10032","155","10"
"101","724","10033","159","10"
"101","367","10034","162","10"
"100","9","10035","165","10"
"100","101","10036","170","10"
"101","509","10037","173","10"
"100","214","10038","178","10"
"400","511","10039","183","10"
"100","477","10040","188","10"
"100","739","10041","192","10"
"101","485","10042","197","10"
"100","670","10043","202","10"
"100","339","10044","205","10"
"100","193","10045","210","10"
"101","376","10046","215","10"
"100","719","10047","219","10"
"100","1012","10048","224","10"
"100","1199","10049","227","10"
"100","870","10050","232","10"
"100","521","10051","237","10"
"100","632","10052","240","10"
"100","263","10053","244","10"
"101","180","10054","247","10"
"100","295","10055","252","10"
"200","594","10056","255","10"
"100","252","10057","259","10"
"100","623","10058","262","10"
"101","219","10059","265","10"
"100","379","10060","270","10"
"101","218","10061","273","10"
"100","478","10062","277","10"
"100","415","10063","281","10"
"100","700","10064","284","10"
"100","411","10065","289","10"
"100","326","10066","292","10"
"101","763","10067","296","10"
"100","591","10068","300","10"
"300","837","10069","304","10"
"100","432","10070","307","10"
"100","379","10071","310","10"
"101","31","10072","314","10"
"100","216","10073","317","10"
"100","412","10074","321","10"
"101","183","10075","326","10"
"100","57","10076","330","10"
"100","204","10077","335","10"
"100","486","10078","340","10"
"100","858","10079","345","10"
"101","584","10080","349","10"
"100","178","10081","352","10"
"100","448","10082","357","10"
"100","793","10083","361","10"
"101","1102","10084","364","10"
"100","975","10085","369","10"
"100","1132","10086","374","10"
"101","922","10087","379","10"
"100","752","10088","383","10"
"100","457","10089","386","10"
"100","367","10090","391","10"
"101","410","10091","395","10"
"100","93","10092","398","10"
"100","425","10093","402","10"
"100","54","10094","407","10"
"100","255","10095","410","10"
"100","318","10096","414","10"
"101","535","10097","417","10"
"100","467","10098","422","10"
"100","695","10099","425","10"
"100","820","10100","429","10"
"101","676","10101","434","10"
"100","880","10102","439","10"
"100","656","10103","444","10"
"400","849","10104","447","10"
"100","1077","10105","452","10"
"100","1195","10106","456","10"
"101","1053","10107","461","10"
"100","975","10108","464","10"
"300","762","10109","467","10"
"100","1120","10110","471","10"
"101","1062","10111","476","10"
"100","815","10112","481","10"
"100","680","10113","484","10"
"100","626","10114","488","10"
"100","658","10115","492","10"
"100","804","10116","495","10"
"100","645","10117","500","10"
"200","716","10118","503","10"
"100","792","10119","506","10"
"100","891","10120","510","10"
"100","1092","10121","514","10"
"101","1181","10122","519","10"
"100","1102","10123","522","10"
"101","1042","10124","526","10"
"100","846","10125","529","10"
"100","880","10126","532","10"
"101","945","10127","537","10"
"100","892","10128","541","10"
"100","1018","10129","546","10"
"101","866","10130","551","10"
"100","630","10131","554","10"
"101","543","10132","558","10"
"100","320","10133","563","10"
"100","421","10134","566","10"
"101","483","10135","570","10"
"100","600","10136","575","10"
"100","505","10137","580","10"
"100","321","10138","583","10"
"101","268","10139","586","10"
"100","373","10140","590","10"
"100","579","10141","595","10"
"400","386","10142","599","10"
"100","511","10143","604","10"
"100","599","10144","608","10"
"101","639","10145","612","10"
"100","731","10146","615","10"
"300","689","10147","619","10"
"100","478","10148","624","10"
"101","583","10149","628","10"
"100","338","10150","633","10"
"100","142","10151","636","10"
"100","383","10152","640","10"
"100","555","10153","644","10"
"101","510","10154","649","10"
"100","751","10155","653","10"
"100","529","10156","656","10"
"100","491","10157","659","10"
"100","265","10158","662","10"
"100","440","10159","665","10"
"101","236","10160","670","10"
"100","351","10161","674","10"
"101","302","10162","677","10"
"100","150","10163","682","10"
"100","71","10164","686","10"
"101","14","10165","690","10"
"100","211","10166","694","10"
"101","127","10167","698","10"
"100","375","10168","702","10"
"100","497","10169","706","10"
"200","412","10170","710","10"
"100","638","10171","714","10"
"100","835","10172","719","10"
"100","921","10173","722","10"
"101","828","10174","727","10"
"100","882","10175","730","10"
"100","658","10176","735","10"
"101","883","10177","739","10"
