681eed24177dc142de23b36ee8150561b7b61964b7fc54f90bb0bfb4f59ecc0c,b91809ff1c4c98f51ffddc1701aeaaf962e5d621684e71a02414fa5383e780b2,c8aaf655189c12109550bc1f6952151446d415a7c7f6852b7e8a401a939d343c,c3d22c095527d8618dfc1a2e51120eac9bee50cd5a2bdb5473c43fc30f611793,f313896eb92ca0c87cdab7f75a943b51463901266742ea5f619ca7bae0bf10bc
"1","0","1","3","111011101"
"1","0","1","3","111021101"
"1","0","1","3","133011101"
"1","0","1","5","133011201"
"1","0","1","3","133020101"
"1","1","1","3","133020201"
"1","0","1","3","133030101"
"2","0","1","3","133030201"
"3","0","1","3","133030301"
"1","1","1","3","133030401"
"2","1","1","3","133030501"
"3","1","1","3","133030601"
"1","0","1","3","133040101"
"1","1","1","3","133040201"
"1","2","1","3","133040301"
"1","3","1","3","133040401"
"1","0","1","3","133051101"
"1","0","1","5","133051201"
"1","0","2","3","134010101"
"3","0","2","3","134010201"
"1","0","1","3","134021101"
"1","0","1","5","134021201"
"1","0","2","4","140010101"
"1","1","2","1","140010201"
"1","0","2","1","140010301"
"3","0","1","1","140020101"
