190fd10b00f8f6ce14ffeef7433c7eb48e6209f42c721709453d289b96e59183,84404c2ef62cb3ae010308379ec88e4a7fde5a6ae1c06d8c44129b6635394015,b2488ef70bf1de0b4f43c869fb0228f0f46de7e24e82c58ad5d54465556241d5,927398f25f218377788526194dc5bf953fe9e580a3130b62c42d6505d1c67fc6,86a0c105e7b53c95bcc036c3ae2f9243756b94b41bea425dd3c23b57cc635808
"320001011","2","25011","1000","32000101"
"320001012","2","25012","1000","32000101"
"320001021","2","25013","1000","32000102"
"320001022","2","25014","1000","32000102"
"320001031","8","91002","1000","32000103"
"320001032","12","94002","3000000","32000103"
"320001033","2","25015","1000","32000103"
"320001034","2","25021","1000","32000103"
"320001041","2","25013","1000","32000104"
"320001042","2","25014","1000","32000104"
"320001051","2","25012","1000","32000105"
"320001052","2","25015","1000","32000105"
"320001061","8","91002","1000","32000106"
"320001062","12","94002","3000000","32000106"
"320001063","2","25011","1000","32000106"
"320001064","2","25021","1000","32000106"
"320001071","2","25014","1000","32000107"
"320001072","2","25015","1000","32000107"
"320001081","2","25011","1000","32000108"
"320001082","2","25013","1000","32000108"
"320001091","8","91002","1000","32000109"
"320001092","12","94002","3000000","32000109"
"320001093","2","25012","1000","32000109"
"320001094","2","25021","1000","32000109"
"320001101","2","25011","3000","32000110"
"320001102","2","25012","3000","32000110"
"320001103","2","25013","3000","32000110"
"320001104","2","25014","3000","32000110"
"320001105","2","25015","3000","32000110"
"320001111","2","25011","3000","32000111"
"320001112","2","25012","3000","32000111"
"320001113","2","25013","3000","32000111"
"320001114","2","25014","3000","32000111"
"320001115","2","25015","3000","32000111"
"320001121","2","25011","3000","32000112"
"320001122","2","25012","3000","32000112"
"320001123","2","25013","3000","32000112"
"320001124","2","25014","3000","32000112"
"320001125","2","25015","3000","32000112"
"320001131","2","21953","1","32000113"
"320001132","2","25021","2000","32000113"
