dcade3fc78bd16fc287ceb69342a92b6aa9648a1517259e4e828fb7f2fdc0628,6726834405cbffa1ec7d69fd931a95e6718709cf4e98185ab655e495a74d5fb9,52efbe5e8ba6932ee9d16e823fad6403f82fc61e002aea1e28c24399549114bb,d32a0d3332d1dcdf7a5a0da26f98f526b3c905da7cb6d96db4e521e0c4874edf,8e9b00b85718c29b81871494c760cd1c0f2e8a21a6c111c76d28cc402a802594,bff136e6c76b0e377b033dff620f92c0b4a98fee89bb4750e7b9e02f8c88f691
"0","10036","0","5035005","5035004","0"
"0","10059","0","5058005","5058004","0"
"10062","10063","1006201","0","0","10062115"
"10084","10085","1008401","0","0","10084115"
"10086","10087","1008601","0","0","10086115"
"10110","10111","1011001","0","0","10110115"
"10112","10113","1011201","0","0","10112115"
"10136","10137","1013601","0","0","10136110"
"10138","10139","1013801","0","0","10138115"
"20033","20034","2003301","0","0","20033115"
"20046","20047","2004601","0","0","20046115"
