865dbb334ce81a05f78c3561733c5c9161c6af19b65b17713870b06f26b7b6ba,3880d56d43a3679f79ab543dc675e997dfae186970f420903f6fb251782b1538,33a570f70f4e161b83af4f2a56c94aad58821f17ee9786af5ece20cd4e0be0db,df90d7ff06b6ccb49c1293922d4a01a9255088b0c79ded58ad1159e1c32ef8cc,bf0ce5d3908a26a58d9af521c9dcc4283bbe26f71c68654f9829545e4ae5eb06,95ea03bd7ba2fea8e68ac13708d3f36ba570ce515e56e598f6a4b3c5a2053f14,05c1474f66f255cbbf450284eb0048455b2b997c8e46fdc858bbffe00b7e944b,ec25fb62890098dccee0ab9b0374954e72553a25f0ce9b6507b10d9ef2a1f9da,3193fde44b1093aa06c6a28b163a29866c5f6abfb48a3721bfd234a8180d6526,9db6969f21ba0208062ded11d1010c8db3a0048c4c974ab5b1f9f2967cf6917d,563e898bc6040b2098769bbe876592bf5b1d981782028d00b96435af45afcfd8,f53661d6c3478c6ae1dca2a194670b44c2653192a478fceb0d571beda5296bcf
"0","0","0","0","0","0","0","1","0","0","0","0"
"0","1","800","0","2","0","3","11002","0","0","1","0"
"0","1","500","0","1","0","1","12001","0","0","1","0"
"0","1","700","0","1","0","1","12002","0","0","1","0"
"0","1","600","0","2","0","1","13001","0","0","1","0"
"0","1","700","0","2","0","1","13002","0","0","1","0"
"0","1","600","0","2","0","1","14002","0","0","1","0"
"0","1","900","0","2","0","3","21001","0","0","2","0"
"0","2","0","0","0","0","0","22001","0","0","8000","0"
"0","3","1","0","1","0","99","23001","0","0","5","1"
"0","3","1","0","1","0","99","23002","0","0","7","1"
"0","5","3","0","4","0","0","25001","0","0","0","1"
"0","5","0","0","1","0","0","25002","1","0","0","0"
"0","5","3","0","4","0","0","25003","0","0","1","1"
"0","5","0","0","1","0","0","25004","1","0","1","0"
"0","6","37","0","0","0","0","26001","40","0","76","0"
"0","7","1","0","0","0","0","27001","1","0","2","0"
"0","7","1","0","0","0","0","27002","1","0","3","0"
"0","8","0","0","0","0","0","28001","0","0","0","0"
