f376eea6806be085c3f1bc7dbe8447994e7bc722f4b6c36f0efcfa3260aab7ec,5553c22978aa8ebb5174c8e746addcdf008b93b6cdab9f607ccbf7063bfef7ea,a923a3dbdd706448e6c1675a9781c0d72929590e4d06ac8e74093ebcfc823757,aecf3eb6151aab2820097bf475708fad486bb8413743921a90edd9ac5c91d8ca,089a5290879a57d167a218979f35b9e0c181baf4d447c4d9d313c02ab2de0d0b,5c8a705b35057632f4ae1e99b3c696e2979a890692d35a5d9611de47036a850e,730ca0fdc74f2f5f4b71ba0a484fdace31ebaf08fd6b09fa6a2f46881fbc36af,04496bf3157917766f5ff6d9562b7ff5fe89a9c3a0b5fb58eb7554242b4e47b4,b5ae574548ddd740f6d3bee1bf0c55c4f5f90f8ad2bc8c1219241a31638164d9,24b7bbe8cb26a3a5450cfde283cfd4ef02c31ef5015a24aec8748457c962cef1,2177c68b6f184ab9d8b56d165d5f84ad9c8779bcea9409f18fb3cc12e559e0eb,b4b72341a3ad067debacd97075884361b63e5f91ccfb3f01c2539bc8d0e8612f
"7003","1000","2022/12/16 12:00:00","1回バトルしよう","1","31000101","0","2022/12/23 11:59:59","10","0","3","31000101"
"7003","1000","2022/12/16 12:00:00","5回バトルしよう","5","31000102","0","2022/12/23 11:59:59","10","0","3","31000102"
"7003","1000","2022/12/16 12:00:00","10回バトルしよう","10","31000103","0","2022/12/23 11:59:59","10","0","3","31000103"
"7003","1000","2022/12/16 12:00:00","15回バトルしよう","15","31000104","0","2022/12/23 11:59:59","10","0","3","31000104"
"7003","1000","2022/12/16 12:00:00","20回バトルしよう","20","31000105","0","2022/12/23 11:59:59","10","0","3","31000105"
"7003","1000","2022/12/16 12:00:00","25回バトルしよう","25","31000106","0","2022/12/23 11:59:59","10","0","3","31000106"
"7003","1000","2022/12/16 12:00:00","30回バトルしよう","30","31000107","0","2022/12/23 11:59:59","10","0","3","31000107"
"7003","1000","2022/12/16 12:00:00","35回バトルしよう","35","31000108","0","2022/12/23 11:59:59","10","0","3","31000108"
"7003","1000","2022/12/16 12:00:00","40回バトルしよう","40","31000109","0","2022/12/23 11:59:59","10","0","3","31000109"
"7004","1001","2022/12/16 12:00:00","黒の王ジャバウォックに累積500万ダメージ与えよう","5000000","31001101","0","2022/12/23 11:59:59","10","3001","3","31001101"
"7004","1001","2022/12/16 12:00:00","黒の王ジャバウォックに累積750万ダメージ与えよう","7500000","31001102","0","2022/12/23 11:59:59","10","3001","3","31001102"
"7004","1001","2022/12/16 12:00:00","黒の王ジャバウォックに累積1000万ダメージ与えよう","10000000","31001103","0","2022/12/23 11:59:59","10","3001","3","31001103"
"7005","1001","2022/12/16 12:00:00","黒の王ジャバウォックに1度のバトルで250万ダメージ与えよう","1","31001111","2500000","2022/12/23 11:59:59","11","3001","3","31001111"
"7005","1001","2022/12/16 12:00:00","黒の王ジャバウォックに1度のバトルで500万ダメージ与えよう","1","31001112","5000000","2022/12/23 11:59:59","11","3001","3","31001112"
"7004","1001","2022/12/16 12:00:00","暴走のイノセントボウに累積500万ダメージ与えよう","5000000","31001201","0","2022/12/23 11:59:59","20","3002","3","31001201"
"7004","1001","2022/12/16 12:00:00","暴走のイノセントボウに累積750万ダメージ与えよう","7500000","31001202","0","2022/12/23 11:59:59","20","3002","3","31001202"
"7004","1001","2022/12/16 12:00:00","暴走のイノセントボウに累積1000万ダメージ与えよう","10000000","31001203","0","2022/12/23 11:59:59","20","3002","3","31001203"
"7005","1001","2022/12/16 12:00:00","暴走のイノセントボウに1度のバトルで250万ダメージ与えよう","1","31001211","2500000","2022/12/23 11:59:59","21","3002","3","31001211"
"7005","1001","2022/12/16 12:00:00","暴走のイノセントボウに1度のバトルで500万ダメージ与えよう","1","31001212","5000000","2022/12/23 11:59:59","21","3002","3","31001212"
"7004","1001","2022/12/16 12:00:00","ファントムバロンに累積500万ダメージ与えよう","5000000","31001301","0","2022/12/23 11:59:59","30","3003","3","31001301"
"7004","1001","2022/12/16 12:00:00","ファントムバロンに累積750万ダメージ与えよう","7500000","31001302","0","2022/12/23 11:59:59","30","3003","3","31001302"
"7004","1001","2022/12/16 12:00:00","ファントムバロンに累積1000万ダメージ与えよう","10000000","31001303","0","2022/12/23 11:59:59","30","3003","3","31001303"
"7005","1001","2022/12/16 12:00:00","ファントムバロンに1度のバトルで250万ダメージ与えよう","1","31001311","2500000","2022/12/23 11:59:59","31","3003","3","31001311"
"7005","1001","2022/12/16 12:00:00","ファントムバロンに1度のバトルで500万ダメージ与えよう","1","31001312","5000000","2022/12/23 11:59:59","31","3003","3","31001312"
"7004","1001","2022/12/16 12:00:00","テンタパスに累積500万ダメージ与えよう","5000000","31001401","0","2022/12/23 11:59:59","40","3004","3","31001401"
"7004","1001","2022/12/16 12:00:00","テンタパスに累積750万ダメージ与えよう","7500000","31001402","0","2022/12/23 11:59:59","40","3004","3","31001402"
"7004","1001","2022/12/16 12:00:00","テンタパスに累積1000万ダメージ与えよう","10000000","31001403","0","2022/12/23 11:59:59","40","3004","3","31001403"
"7005","1001","2022/12/16 12:00:00","テンタパスに1度のバトルで250万ダメージ与えよう","1","31001411","2500000","2022/12/23 11:59:59","41","3004","3","31001411"
"7005","1001","2022/12/16 12:00:00","テンタパスに1度のバトルで500万ダメージ与えよう","1","31001412","5000000","2022/12/23 11:59:59","41","3004","3","31001412"
"7004","1002","2022/12/16 12:00:00","ゴウシンに累積500万ダメージ与えよう","5000000","31002101","0","2022/12/23 11:59:59","10","3005","3","31002101"
"7004","1002","2022/12/16 12:00:00","ゴウシンに累積750万ダメージ与えよう","7500000","31002102","0","2022/12/23 11:59:59","10","3005","3","31002102"
"7004","1002","2022/12/16 12:00:00","ゴウシンに累積1000万ダメージ与えよう","10000000","31002103","0","2022/12/23 11:59:59","10","3005","3","31002103"
"7004","1002","2022/12/16 12:00:00","ゴウシンに累積1億1000万ダメージ与えよう","110000000","31002104","0","2022/12/23 11:59:59","10","3005","3","31002104"
"7005","1002","2022/12/16 12:00:00","ゴウシンに1度のバトルで250万ダメージ与えよう","1","31002111","2500000","2022/12/23 11:59:59","11","3005","3","31002111"
"7005","1002","2022/12/16 12:00:00","ゴウシンに1度のバトルで500万ダメージ与えよう","1","31002112","5000000","2022/12/23 11:59:59","11","3005","3","31002112"
"7005","1002","2022/12/16 12:00:00","ゴウシンに1度のバトルで2200万ダメージ与えよう","1","31002113","22000000","2022/12/23 11:59:59","11","3005","3","31002113"
"7004","1003","2022/12/16 12:00:00","アルマ＆オラムに累積500万ダメージ与えよう","5000000","31003101","0","2022/12/23 11:59:59","10","3006","3","31003101"
