de741a75e079d7820c2309287a82312cc3df4bce719c21ec7f6c447b7f3795e1,a31500de34170189ecc168340afe9bac77e88761636bcb7f2862081a1c9f783c,2c706f3b8e707078d99d9eeae14b5f3d269975aae33f0c861d10a1671cde5a3b,045bc86da51b2648505f9bf43b17a3d85bb76703ab67d37763bd59accd2368e8,626db1f653810f88c1a0031790f41ffc343f1f09eb31079632db6273e8e09d53,98d90dbf8d81addf167a931622e5e4e64cf56db281bb162baaf19aebd8660e8b,c4bfb716af04c2f2b86dab017c5c957c9815648af519a5e069135a931a016f69,ae8a87d1ecc2697aeed48cde91f5349c5f361ddb675ab5bf60879c28e3622a68,d408ab5b23e75de98754a69bededde00626be57d4c6c25b14e6f7055b1afcfbc,9d036bc5f1fe5befc0586315e06d1c1f89fa922e332d58639285e9b4a98415ff,3545ccc58ede09a7fd72fd692efa0c68ae1c2186655bcfda754b1bf1ff39a42d,141f8f560b9d3905c1e9b31c7c6ffde12ac8b304e2648d6ddf392f5a3114db29,4389bd116f09d09428f1ba8a44856b0bf8e8e8753bf609f114caf6c3efa1ea84,f5c6edce2b15bc265519546febc8ea66863707f6d1f14fe53269c3e9435bce10,7fd8955e9b660546429448cf9f52ad4481e9380ead0a4f3ebfe847a53edf61d4
"7001","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","7","106001","-363","キャル","0","たまには\n協力するのもいいんじゃない？\nあたしも手を貸してあげる"
"7002","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","7","105901","-363","コッコロ","0","多くの方と協力して\n戦えるようです\n主さまなら、さぞ\nご活躍なさることでしょう"
"7003","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","7","105801","-363","ペコリーヌ","0","たくさんの人と一緒に\n協力バトルです！\nがんばりましょう☆"
"10001","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","10","105801","-363","ペコリーヌ","0","ジュエルを食べ物…\nいえ、貴重品と交換できます！"
"10002","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","10","106001","-363","キャル","0","ジュエルはよく考えて\n使うことね\n無駄遣い厳禁！"
"10003","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","10","105901","-363","コッコロ","0","主さまのジュエルで\n貴重な品々を購入できます\nですが、無駄遣いは\n『めっ』でございますよ"
"10004","2104010","0","1","1","2030/12/17 14:59:59","2","2015/12/17 15:00:00","0","10","106401","-363","シェフィ","0","ジュエルがあれば\n貴重品と交換できるみたい\n大事に使いましょうね"
"12001","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","12","105801","-416.5","ペコリーヌ","0","特定の条件を達成すると\n報酬がもらえますよ！\nがんばりましょう♪　"
"13001","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","13","106001","-363","キャル","0","思い出が詰まってるって\nいろいろあったけど\n振り返るのもいいんじゃない？"
"13002","0","0","1","1","2030/12/17 14:59:59","1","2015/12/17 15:00:00","0","13","105901","-363","コッコロ","0","主さまとの楽しい日々…\nこちらで何度でも\n思い返しましょう♪"
