a05dbfc89f42190d3df0a4a0f76b02a1c652d128f43a55e58c123a6dcb9e35bb,11e2668db7d1d098f83cd053b5e42ad19013e703d2cffa9bba4325ac806b9e86,5da560b6d3407c6367a972551ae281e3f9b9358d301f1120d31f585a20698117,81d562a164d60fffd9e32b8d76325e9a701a16f5fcce82bb186b0e03c51af7ab,5837ffa79d9e91c948ddbb7f73daaf2fd62b29df3b8a256942ff8554c45e627f,78b36aa7c84f42a0af6a54c0a01eb5c41ec2d1d3707f295be3d4d81b06702bb5,a4bc0d4e6581622830bddb8cb1b0288f29b2d9e99f7a3193b0947223f30e20f9,2d7c9e16c33e46b114d05271afc515db1c10c4f5c14c120fae074a5ce3048c98,51d0972035b05659b62046995bdb76d6bd41475c6134f6a0558928daffbe851f,fe95a59c848b66c0f4f31c5e40cd7a33d361ba1848b546412fa860466df441c1,6cd94418280fb41851bfb1ba9d1aacc303549e4437b2b91d95612160fa860125
"31","2","10","8","283001001","8","25021","2","91002","25013","1"
"31","2","10","8","283001002","8","25021","2","91002","25013","2"
"32","2","10","8","283001003","8","25021","2","91002","25013","3"
"32","2","10","8","283001004","8","25021","2","91002","25013","4"
"33","2","10","8","283001005","8","25021","2","91002","25013","5"
"33","2","10","8","283001006","9","25021","2","91002","25013","6"
"34","2","10","8","283001007","9","25021","2","91002","25013","7"
"35","2","10","8","283001008","9","25021","2","91002","25013","8"
"35","2","10","8","283001009","9","25021","2","91002","25013","9"
"37","2","30","8","283001010","10","25021","2","91002","25013","10"
"41","2","10","8","283001011","10","25021","2","91002","25013","11"
"43","2","10","8","283001012","11","25021","2","91002","25013","12"
"46","2","10","8","283001013","11","25021","2","91002","25013","13"
"48","2","10","8","283001014","12","25021","2","91002","25013","14"
"50","2","10","8","283001015","12","25021","2","91002","25013","15"
"53","2","10","8","283001016","13","25021","2","91002","25013","16"
"55","2","10","8","283001017","14","25021","2","91002","25013","17"
"58","2","10","8","283001018","14","25021","2","91002","25013","18"
"60","2","10","8","283001019","15","25021","2","91002","25013","19"
"62","2","30","8","283001020","15","25021","2","91002","25013","20"
"68","2","10","8","283001021","16","25021","2","91002","25013","21"
"70","2","10","8","283001022","16","25021","2","91002","25013","22"
"72","2","10","8","283001023","16","25021","2","91002","25013","23"
"75","2","10","8","283001024","17","25021","2","91002","25013","24"
"77","2","10","8","283001025","18","25021","2","91002","25013","25"
"79","2","10","8","283001026","18","25021","2","91002","25013","26"
"82","2","10","8","283001027","19","25021","2","91002","25013","27"
"84","2","10","8","283001028","19","25021","2","91002","25013","28"
"86","2","10","8","283001029","19","25021","2","91002","25013","29"
"89","2","30","8","283001030","20","25021","2","91002","25013","30"
"94","2","10","8","283001031","20","25021","2","91002","25013","31"
"96","2","10","8","283001032","21","25021","2","91002","25013","32"
"99","2","10","8","283001033","21","25021","2","91002","25013","33"
"101","2","10","8","283001034","22","25021","2","91002","25013","34"
"103","2","10","8","283001035","22","25021","2","91002","25013","35"
"106","2","10","8","283001036","23","25021","2","91002","25013","36"
"108","2","10","8","283001037","23","25021","2","91002","25013","37"
"111","2","10","8","283001038","24","25021","2","91002","25013","38"
"113","2","10","8","283001039","25","25021","2","91002","25013","39"
"115","2","30","8","283001040","25","25021","2","91002","25013","40"
"121","2","10","8","283001041","26","25021","2","91002","25013","41"
"123","2","10","8","283001042","27","25021","2","91002","25013","42"
"125","2","10","8","283001043","28","25021","2","91002","25013","43"
"128","2","10","8","283001044","28","25021","2","91002","25013","44"
"130","2","10","8","283001045","29","25021","2","91002","25013","45"
"132","2","10","8","283001046","30","25021","2","91002","25013","46"
"135","2","10","8","283001047","30","25021","2","91002","25013","47"
"137","2","10","8","283001048","31","25021","2","91002","25013","48"
"139","2","10","8","283001049","31","25021","2","91002","25013","49"
"142","2","30","8","283001050","31","25021","2","91002","25013","50"
"144","2","10","8","283001051","32","25021","2","91002","25013","51"
"146","2","10","8","283001052","32","25021","2","91002","25013","52"
"149","2","10","8","283001053","32","25021","2","91002","25013","53"
"152","2","10","8","283001054","33","25021","2","91002","25013","54"
"155","2","10","8","283001055","33","25021","2","91002","25013","55"
"157","2","10","8","283001056","33","25021","2","91002","25013","56"
"160","2","10","8","283001057","34","25021","2","91002","25013","57"
"163","2","10","8","283001058","34","25021","2","91002","25013","58"
"166","2","10","8","283001059","34","25021","2","91002","25013","59"
"169","2","30","8","283001060","35","25021","2","91002","25013","60"
"171","2","10","8","283001061","35","25021","2","91002","25013","61"
"174","2","10","8","283001062","35","25021","2","91002","25013","62"
"177","2","10","8","283001063","36","25021","2","91002","25013","63"
"180","2","10","8","283001064","36","25021","2","91002","25013","64"
"182","2","10","8","283001065","36","25021","2","91002","25013","65"
"185","2","10","8","283001066","37","25021","2","91002","25013","66"
"187","2","10","8","283001067","37","25021","2","91002","25013","67"
"190","2","10","8","283001068","37","25021","2","91002","25013","68"
"193","2","10","8","283001069","38","25021","2","91002","25013","69"
"196","2","30","8","283001070","38","25021","2","91002","25013","70"
