2481dfd1ab142fd66523338fbe301e5fc54cdb54180d3ae7541e143575f343e1,a17eec0299caadad2656fea469dd0c22ee9295b547589cb3ae16de610958cf83,0397593e82dc60c615950676fd9a37aa4b73d1253da9a66eb501a6e24eeb72ef,35def27bd00b6ff1c83f208f14d771a33177390142f345fa32774a3f2adf846e,bab78165c6de50c758acac1fc9631a47a61e3feb82169f26afe13cf519470174,2a3d9324cdbc93d866091df57750e2e2df940aa928d71a9a1bf1a3995f86d082,00df58ae0b4bfe5d1509e2bb4b6303e5c59db7b0f21fc1f5569368f1c8cbb09b,3196fcef8e57c7e39111d7e7ad854728e0a51bcda6db3c55523bce3256361f6e,58a0bc831064e189f320ccb53a2cf747ee0d774b9b106e6328cc58f04ff4632c,4e54d8f677e7e4e21ad0609ab9481d0ae664349641d3245a08b617fae6a1fb63,87841878f1a44e1f030db83097a2c5a71301685b413c78587405314162f00b19
"","20000","1","91002","100","","0","8","0","0","1"
"","20000","1","23001","20","","0","2","0","0","2"
"","20000","2","91002","100","","0","8","0","0","3"
"","20000","2","23001","20","","0","2","0","0","4"
"","20000","3","91002","100","","0","8","0","0","5"
"","20000","3","23001","20","","0","2","0","0","6"
"","20000","4","91002","100","","0","8","0","0","7"
"","20000","4","23001","20","","0","2","0","0","8"
"","20000","5","91002","200","","0","8","0","0","9"
"","20000","5","23001","20","","0","2","0","0","10"
"","20000","6","91002","100","","0","8","0","0","11"
"","20000","6","23001","20","","0","2","0","0","12"
"","20000","7","91002","100","","0","8","0","0","13"
"","20000","7","23001","20","","0","2","0","0","14"
"","20000","8","91002","100","","0","8","0","0","15"
"","20000","8","23001","20","","0","2","0","0","16"
"","20000","9","91002","100","","0","8","0","0","17"
"","20000","9","23001","20","","0","2","0","0","18"
"","20000","10","91002","300","","0","8","0","0","19"
"","20000","10","23001","20","","0","2","0","0","20"
"","30000","1","25011","10000","","0","2","0","0","21"
"","30000","2","25012","10000","","0","2","0","0","22"
"","30000","3","25021","5000","","0","2","0","0","23"
"","30000","4","91002","50","","0","8","0","0","24"
"","30000","5","25013","10000","","0","2","0","0","25"
"","30000","6","91002","50","","0","8","0","0","26"
"","30000","7","25014","10000","","0","2","0","0","27"
"","30000","8","25021","5000","","0","2","0","0","28"
"","30000","9","91002","80","","0","8","0","0","29"
"","30000","10","24001","1","","0","2","0","0","30"
"","30000","11","91002","80","","0","8","0","0","31"
"","30000","12","25015","10000","","0","2","0","0","32"
"","30000","13","25021","5000","","0","2","0","0","33"
"","30000","14","91002","100","","0","8","0","0","34"
"","30000","15","24001","1","","0","2","0","0","35"
"","40000","1","91002","100","","0","8","0","0","36"
