87c97c8fc8a214b434db2d45f318fe059ce7227af4f508ae69095f63b5be5c78,f056aba61eeb3de84bed531b30c4a29908226b2477f2a0628bfee5a016e4da4d,d11d8b961a4713c2185d603efc6cdcdcc38b989c3000aa08f143b7f762349e89,7e0c85cd0dec3c02f1bd92e2162c2888a6e3339a55617b85b32a14d7d269ccd4,bd086841d3fa1e1204591bff2193f2398b770f0c492af0c4ea479ae7a00fc1e2
"1","1","2700","0","1"
"2","2","3600","0","1"
"3","3","5400","0","1"
"4","1","3600","1","1"
"5","2","5400","1","1"
"6","3","7200","1","1"
"7","1","1800","0","2"
"8","2","2700","0","2"
"9","3","3600","0","2"
"10","1","2700","1","2"
"11","2","4050","1","2"
"12","3","5400","1","2"
"13","1","1800","0","3"
"14","2","2700","0","3"
"15","3","3600","0","3"
"16","1","2700","1","3"
"17","2","4050","1","3"
"18","3","5400","1","3"
"19","1","1800","0","4"
"20","2","2700","0","4"
"21","3","3600","0","4"
"22","1","2700","1","4"
"23","2","4050","1","4"
"24","3","5400","1","4"
