26654ccedaf4d17349e9ef49ba3e303cb61a90828d0d4c4f07124d52dfcd125d,099745850239f01cff010e446b46a2625652716c5172ed934a611c3fc674db3e,c77ceedaf3db62f7855f66f47578d3bfccb794bcccdb1ae9f52915b50477238f,1a0e149f726702d2473db73c55ef348a40898db5b370dc75ebe0062ca033827a,ce1d37a191d9c7a404306d045c8a22d31f0784b8fd525a183a0747db5d81c6ed
"#D23232","90009","red","101","片手剣"
"#D23232","90009","red","102","両手剣"
"#D23232","90009","red","103","短剣"
"#D23232","90009","red","104","槍"
"#D23232","90009","red","105","斧"
"#D23232","90009","red","106","弓"
"#D23232","90009","red","107","拳"
"#D23232","90009","red","108","盾"
"#D23232","90009","red","109","杖"
"#D23232","90009","red","110","本"
"#476FD8","90010","blue","201","服"
"#476FD8","90010","blue","202","鎧"
"#476FD8","90010","blue","203","白ローブ"
"#476FD8","90010","blue","204","黒ローブ"
"#E5681E","90011","yellow","301","指輪"
"#E5681E","90011","yellow","302","腕輪"
"#E5681E","90011","yellow","303","ネックレス"
"#E5681E","90011","yellow","304","宝珠"
"#E5681E","90011","yellow","305","イヤリング"
