acd70a81227c9871f73a7fbc308b5cb78db59ff6b595f96910bfa0d7cfa957a8,b372966ce50b370835d9e6637802cd3aeb45be00a71a2e624e4e48c9ec58b4dd,c6a1fa16d868a9bbadbf426bb0f540206670de44c38b9537e60a4c9a6a68b105,15a681b458c57b9f72e8cff408d828f5827a09fb29072ed45886e5d79096ab37
"ＨＰ","10000","1","1"
"物理攻撃力","10000","1","2"
"物理防御力","10000","1","3"
"魔法攻撃力","10000","1","4"
"魔法防御力","10000","1","5"
"物理クリティカル","10000","1","6"
"魔法クリティカル","10000","1","7"
"回避","1","0","8"
"ＨＰ吸収","1","0","9"
"ＨＰ自動回復","1","0","10"
"ＴＰ自動回復","1","0","11"
"物理貫通ダメージ","1","0","12"
"魔法貫通ダメージ","1","0","13"
"ＴＰ上昇","1","0","14"
"回復量上昇","1","0","15"
"ＴＰ消費軽減","1","0","16"
"命中","1","0","17"
"物理クリティカルダメージ","100","1","100"
"魔法クリティカルダメージ","100","1","101"
"物理与ダメージ","100","1","102"
"魔法与ダメージ","100","1","103"
"属性ボーナス","10000","1","104"
