8822152bc4eb26702f51c4584f00113c137f7148f3e58cf2938b4d15c0a9b477,085774e8e97678522f03cd2d29decc35ee54feb2fba3674e571cd22909e82583,ee3719fc47edd8550f79addfb3ff086054bef51dd99597f8627583732b805076,a8cac9ea3deb2acedfe19f0df1e2aedbd89c84f14292381d0ab3af00f25c2fad,d442e6deaa95a3354058329d6b116a364bcb89aa9b1e4a80290c85bbb00a9567,4307217dba98859e53149f8a9f5e4b3b872617047157f4398e5dc7e3cc9456e4,28457ed4071e9c8272dc9068a377cf816ea19f31fc433ecc85d22001a68f88b6,e973c749ac3e7ab830d24c53e49ea714049b6e587f1f54153f7266e8c4700caa
"5120061","91002","10147115","10120","ボクのギルド仲間の美しさ","8","1014701","20"
"5120062","91002","10147115","10120","【美食殿】の美しさ","8","1014701","20"
"5120063","91002","10147115","10120","【トゥインクルウィッシュ】\n の美しさ","8","1014701","20"
"5120064","91002","10147115","10120","【ラビリンス】の美しさ","8","1014701","20"
"5120065","91002","10147115","10120","【カルミナ】の美しさ","8","1014701","20"
"5120066","91002","10147115","10120","【リトルリリカル】の美しさ","8","1014701","20"
"5120067","91002","10147115","10120","【フォレスティエ】の美しさ","8","1014701","20"
"5120068","91002","10147115","10120","【悪魔偽王国軍（ディアボロス）】\n の美しさ","8","1014701","20"
"5120069","91002","10147115","10120","【王宮騎士団（NIGHTMARE）】\n の美しさ","8","1014701","20"
"5120070","91002","10147115","10120","【サレンディア救護院】の美しさ","8","1014701","20"
"5120071","91002","10147115","10120","【自警団（カォン）】の美しさ","8","1014701","20"
"5120072","91002","10147115","10120","【牧場（エリザベスパーク）】\n の美しさ","8","1014701","20"
"5120073","91002","10147115","10120","【メルクリウス財団】の美しさ","8","1014701","20"
"5120074","91002","10147115","10120","【トワイライトキャラバン】\n の美しさ","8","1014701","20"
"5120075","91002","10147115","10120","【ルーセント学院】の美しさ","8","1014701","20"
"5120076","91002","10147115","10120","【聖テレサ女学院（なかよし部）】\n の美しさ","8","1014701","20"
"5120077","91002","10147115","10120","【ドラゴンズネスト】の美しさ","8","1014701","20"
"5120078","91002","10147115","10120","？？？の美しさ　その１","8","1014701","20"
"5120079","91002","10147115","10120","？？？の美しさ　その２","8","1014701","20"
"5120080","91002","10147115","10120","？？？の美しさ　その３","8","1014701","20"
