d50319ad5b4d5766a8eb88d996f23fd08d82cba18c611ca24c28c271992afb26,724dd9a659bb22dc0659ed4d549261e80c6086453cf7072b47767ac91be2ed86,0e7b524ee92983da4b6e7b7c9c3fccb4cc80638363ab931756ec78d604b40ef8,0f328d1caa81447f989935b3b5086ae562a2b6dd3ba057c870a50e1828cc2601,d8d8b6fdc7347aad73b6cd418210674f592a6e96a9e29a77655821115c55e991,5f72d79bde265673669d0123d0e56d089903161aad659e0d7c742e7c45612a9a,15dc8df5336fa0adf57a06ff44780d0f45a5d4d3d0165d5cc6f57a75b9940a1a,12b0cea1021095ddb890061823cda6d4971f9ff4dfdeb51d34b35816e40a358a,985d02061ed13a6c6ed25dd8052e4e6d5bbc66fcd0117e1303a365a12494f3a9,765149d6a83931c3fd4cef526c3f1711b1c179980e7a145f94d3a39a05bd0614,58a7a061ff9379b55cab5537eae705648769f90ba16f0da459b39539ead4b278
"1","64","-175","pkb_idle_normal","1","113511","1","100","1","1010001","1.65"
"3","","","","113511","pkb_talk_wish","","1","1","1010002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_101","","0","1","1010003",""
"11","0","0","0","113511","今日も先生と一緒に\n頑張りましょうね～","0","8","1","1010004","0"
"91","","","","0","","","","1","1010005",""
"3","","","","113511","pkb_idle_normal","","1","1","1010006","0.2"
"1","64","-175","pkb_idle_normal","1","113511","1","100","2","1020001","1.65"
"3","","","","113511","pkb_talk_wish","","1","2","1020002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_102","","0","2","1020003",""
"11","0","0","0.5","113511","みんなの力、先生は\n信じてますからね～！\nファイトですよ～♪","0","6","2","1020004","0"
"93","","","","6","","","","2","1020005",""
"3","pkb_idle_normal","1","","113511","pkb_talk_fun","","0","2","1020006","0.2"
"91","","","","1020004","","","","2","1020007",""
"3","","","","113511","pkb_idle_normal","","1","2","1020008","0.2"
"1","64","-175","pkb_idle_normal","1","113511","1","100","3","1030001","1.65"
"3","pkb_idle_normal","1","","113511","pkb_smile","0.2","0","3","1030002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_103","","0","3","1030003",""
"11","0","0","0","113511","ケガには気を付けてね\n無理は禁物ですよ～♪","0","6","3","1030004","0"
"93","","","","2","","","","3","1030005",""
"3","","","","113511","pkb_talk_wish","","1","3","1030006","0.2"
"91","","","","1030004","","","","3","1030007",""
"3","","","","113511","pkb_idle_normal","","1","3","1030008","0.2"
"5","64","-155","pkb_idle_normal_l","3","3","1","100","4","1040001","57"
"3","pkb_idle_arm_crossed_l","1","","3","pkb_talk_arm_crossed_l","0.2","0","4","1040002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_601","","0","4","1040003",""
"11","0","0","0","3","今日の練習も\n手加減しねえ！\nしっかりついてこい！","","8","4","1040004","0"
"91","","","","0","","","","4","1040005",""
"3","","","","3","pkb_idle_normal_l","","1","4","1040006","0.2"
"5","64","-155","pkb_idle_normal_l","3","3","1","100","5","1050001","57"
"3","pkb_idle_arm_crossed_l","1","","3","pkb_talk_arm_crossed_l","0.2","0","5","1050002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_602","","0","5","1050003",""
"11","0","0","0","3","おーし！\n気合いいれて\n練習すんぞー！","","8","5","1050004","0"
"93","","","","2","","","","5","1050005",""
"3","pkb_idle_normal_l","1","","3","pkb_talk_handsup_l","0.2","0","5","1050006","0.2"
"91","","","","1050004","","","","5","1050007",""
"3","","","","3","pkb_idle_normal_l","","1","5","1050008","0.2"
"5","64","-155","pkb_idle_normal_l","3","3","1","100","6","1060001","57"
"3","pkb_idle_arm_crossed_l","1","","3","pkb_talk_arm_crossed_l","0.2","0","6","1060002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_603","","0","6","1060003",""
"11","0","0","0","3","練習だからって\nだらしねえとこ\n見せるんじゃねえぞ？","","8","6","1060004","0"
"93","","","","3","","","","6","1060005",""
"3","pkb_idle_guts_l","1","","3","pkb_talk_guts_l","","0","6","1060006","0.2"
"91","","","","1060004","","","","6","1060007",""
"3","","","","3","pkb_idle_normal_l","","1","6","1060008","0.2"
"1","64","-175","pkb_idle_normal","1","113411","1","100","7","1070001","1.65"
"3","pkb_talk_joy1","1","","113411","pkb_talk_fun","0.2","0","7","1070002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_201","","0","7","1070003",""
"11","0","0","0","113411","フレーフレー！\n今日もファイトだよ！\n張り切っていこー！","0","8","7","1070004","0"
"93","","","","3.4","","","","7","1070005",""
"3","pkb_idle_normal","1","","113411","pkb_talk_handsup","0.2","0","7","1070006","0.2"
"91","","","","1070004","","","","7","1070007",""
"3","","","","113411","pkb_idle_normal","","1","7","1070008","0.2"
"1","64","-175","pkb_idle_normal","1","113411","1","100","8","1080001","1.65"
"3","","","","113411","pkb_talk_joy2","","1","8","1080002","0.2"
"21","0","","","vo_minigame_1006","vo_minigame_1006_top_202","","0","8","1080003",""
