cbcc2a11a699acb7886289b15d49024fef1a04d677dcd49fb2706c8d82fa9d7c,d180d4ee2853f4fb1509b9d244c642c2bfadf3939cc6ae919d7fce96b42a04f6,b1e16c143a22a718ed4f1769bb67bbc55d5f61cc7502baabef9d66a96afff000,13dde2c0413437e54f1952e613bf65d54f14f9ffec40861ac842dc39a81bbcd5,28dea93882c5f0bf1f9b04de3c11cecfd640c0b5cb9f9ea51abe1e9b21804cce,5ce5af8d01fb1923d2aecbd60baf1b429f8c628bb7257db0cd5ba9a81502bf87,0ae1736af21c848aae3676fc68a22b8e4e752d3f13fa5c17c58f1f09c0889569,9acd7254b14fc1d5e1e7662268c00a4e22b8bce0d4d1ce4c50b01d4a2eb1ab1c,a17c77ce2f70eb563e6a58bafa164457a135b8990147617d8a6b210d1509419c,06157df17104571aa77bbe88a9ebc3317cfd525a1b36136a97416dd4a7889003,688287669bfb4f295885db7f2e1f86fb0f5b0038da48def342a8b17e7e2d98b6
"101","1","42","1","-68","0.8","1","travel_topdrama_r_2000_idle_smile","105811","20011","1200110001"
"102","0","-42","1","-68","0.8","1","travel_topdrama_r_2000_idle_sad_shy","106011","20011","1200110002"
"110","0","0","5","-75","1","0","mana","0","20011","1200110003"
"","","","91","","","0","","","20011","1200110004"
"","","","93","","","10","","0","20011","1200110005"
"","","","101","","","1200110005","","","20011","1200110006"
"0","","","3","","0","0","","none","20011","1200110007"
"","","","91","","","0","","","20011","1200110008"
"","","","13","","","105811","","103","20012","1200120001"
"","","","13","","","106011","","104","20012","1200120002"
"0","","travel_topdrama_r_2000_talk_smile_loop","3","1","0.2","105811","","travel_topdrama_r_2000_talk_smile_in","20012","1200120003"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20001_00","20012","1200120004"
"10","0","1","11","1","0","105811","0","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","20012","1200120005"
"","","","91","","","0","","","20012","1200120006"
"1","","","3","","0.2","105811","","travel_topdrama_r_2000_idle_smile","20012","1200120007"
"1","","","3","1","0.2","106011","","travel_topdrama_r_2000_talk_anger_shy","20012","1200120008"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20001_01","20012","1200120009"
"10","0","1","11","1","0","106011","0","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","20012","1200120010"
"","","","91","","","0","","","20012","1200120011"
"1","","","3","","0.2","106011","","travel_topdrama_r_2000_idle_sad_shy","20012","1200120012"
"0","","travel_topdrama_r_2000_talk_smile_loop","3","1","0.2","105811","","travel_topdrama_r_2000_talk_smile_in","20012","1200120013"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20001_02","20012","1200120014"
"10","0","1","11","1","0","105811","0","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","20012","1200120015"
"","","","91","","","0","","","20012","1200120016"
"1","","","3","","0.2","105811","","travel_topdrama_r_2000_idle_smile","20012","1200120017"
"","","","112","","","","","","20012","1200120018"
"","","","91","","","0","","","20012","1200120019"
"101","1","42","1","-68","0.8","1","travel_topdrama_r_2000_idle_normal","100211","20021","1200210001"
"102","0","-42","1","-68","0.8","1","travel_topdrama_r_2002_sitting_loop","100111","20021","1200210002"
"100","0","-42","5","-68","0.8","3","travel_topdrama_r_2002_sitting_loop","3","20021","1200210003"
"110","0","0","5","-75","1","0","mana","0","20021","1200210004"
"","","","91","","","0","","","20021","1200210005"
"","","","93","","","10","","0","20021","1200210006"
"","","","101","","","1200210006","","","20021","1200210007"
"0","","","3","","0","0","","none","20021","1200210008"
"","","","91","","","0","","","20021","1200210009"
"","","","13","","","100211","","103","20022","1200220001"
"","","","13","","","100111","","104","20022","1200220002"
"1","","","3","1","0.2","100211","","travel_topdrama_r_2000_talk_normal","20022","1200220003"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20002_00","20022","1200220004"
"10","0","1","11","1","0","100211","0","うん、これでいいと思う。\n傷はきれいに塞がったけど、\nまだどこか痛んだりするかな？","20022","1200220005"
"","","","91","","","0","","","20022","1200220006"
"1","","","3","","0.2","100211","","travel_topdrama_r_2000_idle_normal","20022","1200220007"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20002_01","20022","1200220008"
"10","0","1","11","1","0","100111","0","もう大丈夫だよ、ありがとう！\nやっぱりこういう長旅の時には、\nユイちゃんの魔法が頼りになるね♪","20022","1200220009"
"","","","91","","","0","","","20022","1200220010"
"0","","travel_topdrama_r_2000_talk_wish_loop_joy","3","1","0.2","100211","","travel_topdrama_r_2000_talk_wish_in_joy","20022","1200220011"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20002_02","20022","1200220012"
"10","0","1","11","1","0","100211","0","どういたしまして♪\nケガはないのが一番だけど、\n困ったときは遠慮なく相談してね？","20022","1200220013"
"","","","91","","","0","","","20022","1200220014"
"1","","","3","","0.2","100211","","travel_topdrama_r_2000_idle_wish_joy","20022","1200220015"
"","","","112","","","","","","20022","1200220016"
"","","","91","","","0","","","20022","1200220017"
"101","0","-42","1","-68","0.8","1","travel_topdrama_r_2000_idle_doya","100411","20031","1200310001"
"102","1","42","1","-68","0.8","1","travel_topdrama_r_2000_idle_normal","102011","20031","1200310002"
"110","0","0","5","-75","1","0","mana","0","20031","1200310003"
"","","","91","","","0","","","20031","1200310004"
"","","","93","","","10","","0","20031","1200310005"
"","","","101","","","1200310005","","","20031","1200310006"
"0","","","3","","0","0","","none","20031","1200310007"
"","","","91","","","0","","","20031","1200310008"
"","","","13","","","100411","","103","20032","1200320001"
"","","","13","","","102011","","104","20032","1200320002"
"0","","travel_topdrama_r_2000_talk_doya_loop","3","1","0.2","100411","","travel_topdrama_r_2000_talk_doya_in","20032","1200320003"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20003_00","20032","1200320004"
"10","0","1","11","1","0","100411","0","冒険はね、準備が大事なんだよ！\nだから迷わないようにコンパスを\n持ってきたんだ～♪","20032","1200320005"
"","","","91","","","0","","","20032","1200320006"
"1","","","3","","0.2","100411","","travel_topdrama_r_2000_idle_doya","20032","1200320007"
"0","","travel_topdrama_r_2000_talk_wish_loop","3","1","0.2","102011","","travel_topdrama_r_2000_talk_wish_in","20032","1200320008"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20003_01","20032","1200320009"
"10","0","1","11","1","0","102011","0","ミソギちゃん、すご～い♪\n針がいっぱいぐるぐるしてるけど、\nどうやって使うの～？","20032","1200320010"
"","","","91","","","0","","","20032","1200320011"
"1","","","3","","0.2","102011","","travel_topdrama_r_2000_idle_wish","20032","1200320012"
"0","","travel_topdrama_r_2000_talk_sad_loop_surprise2","3","1","0.2","100411","","travel_topdrama_r_2000_talk_sad_in_surprise2","20032","1200320013"
"0","","0","21","","","vo_travel_talk","","vo_travel_talk_20003_02","20032","1200320014"
