f821240a4c6ea609d8932929515dc685143f8abaddfd1eba84e1b0a359ed23d7,9582fb46285d99c82ecaead73bfebdbe3c3c403b82a119a70d8de98b4b41152f,c349d5c8b24d7653cc1b4654a59ad6d992cea13d67391a0bde4853d826de0d66,e2857f5d847e7b498fc9223341f25ede383c58c47ec8ca07ff8e14083da85567,2f47b494f7927dfc7be9aaf02f26e4c0857ba925bff07b9ee65d426052a75682,bd87f3408d7a9fee135330c72cbd2135f3d2a63c73f7072875d3cc6f4ef8cafc,2cb9efd492fae9eb66c74c385a761db86eaf2d89172e88a594c42e5e36602d76
"300","0","10101","0","0","2","1"
"360","0","10101","1","0","2","1"
"420","0","10101","2","0","2","1"
"480","0","10101","3","0","2","1"
"540","0","10101","4","0","2","1"
"600","0","10101","5","0","2","1"
"900","0","10101","0","0","2","2"
"960","0","10101","1","0","2","2"
"1020","0","10101","2","0","2","2"
"1080","0","10101","3","0","2","2"
"1140","0","10101","4","0","2","2"
"1200","0","10101","5","0","2","2"
"1500","0","10101","0","0","2","3"
"1560","0","10101","1","0","2","3"
"1620","0","10101","2","0","2","3"
"1680","0","10101","3","0","2","3"
"1740","0","10101","4","0","2","3"
"1800","0","10101","5","0","2","3"
"2100","0","10101","0","0","2","4"
"2160","0","10101","1","0","2","4"
"2220","0","10101","2","0","2","4"
"2280","0","10101","3","0","2","4"
"2340","0","10101","4","0","2","4"
"2400","0","10101","5","0","2","4"
"2700","0","10101","0","0","2","5"
"2760","0","10101","1","0","2","5"
"2820","0","10101","2","0","2","5"
"2880","0","10101","3","0","2","5"
"2940","0","10101","4","0","2","5"
"3000","0","10101","5","0","2","5"
"150","0","10102","0","0","5","1"
"180","0","10102","1","0","5","1"
"210","0","10102","2","0","5","1"
"240","0","10102","3","0","5","1"
"270","0","10102","4","0","5","1"
"300","0","10102","5","0","5","1"
"450","0","10102","0","0","5","2"
"480","0","10102","1","0","5","2"
"510","0","10102","2","0","5","2"
"540","0","10102","3","0","5","2"
"570","0","10102","4","0","5","2"
"600","0","10102","5","0","5","2"
"750","0","10102","0","0","5","3"
"780","0","10102","1","0","5","3"
"810","0","10102","2","0","5","3"
"840","0","10102","3","0","5","3"
"870","0","10102","4","0","5","3"
"900","0","10102","5","0","5","3"
"1050","0","10102","0","0","5","4"
"1080","0","10102","1","0","5","4"
"1110","0","10102","2","0","5","4"
"1140","0","10102","3","0","5","4"
"1170","0","10102","4","0","5","4"
"1200","0","10102","5","0","5","4"
"1350","0","10102","0","0","5","5"
"1380","0","10102","1","0","5","5"
"1410","0","10102","2","0","5","5"
"1440","0","10102","3","0","5","5"
"1470","0","10102","4","0","5","5"
"1500","0","10102","5","0","5","5"
"150","0","10103","0","0","7","1"
"180","0","10103","1","0","7","1"
"210","0","10103","2","0","7","1"
"240","0","10103","3","0","7","1"
"270","0","10103","4","0","7","1"
"300","0","10103","5","0","7","1"
"450","0","10103","0","0","7","2"
"480","0","10103","1","0","7","2"
"510","0","10103","2","0","7","2"
"540","0","10103","3","0","7","2"
"570","0","10103","4","0","7","2"
"600","0","10103","5","0","7","2"
"750","0","10103","0","0","7","3"
"780","0","10103","1","0","7","3"
"810","0","10103","2","0","7","3"
"840","0","10103","3","0","7","3"
"870","0","10103","4","0","7","3"
"900","0","10103","5","0","7","3"
"1050","0","10103","0","0","7","4"
"1080","0","10103","1","0","7","4"
"1110","0","10103","2","0","7","4"
"1140","0","10103","3","0","7","4"
"1170","0","10103","4","0","7","4"
"1200","0","10103","5","0","7","4"
"1350","0","10103","0","0","7","5"
"1380","0","10103","1","0","7","5"
"1410","0","10103","2","0","7","5"
"1440","0","10103","3","0","7","5"
"1470","0","10103","4","0","7","5"
"1500","0","10103","5","0","7","5"
"300","0","10104","0","0","10","1"
"360","0","10104","1","0","10","1"
"420","0","10104","2","0","10","1"
"480","0","10104","3","0","10","1"
"540","0","10104","4","0","10","1"
"600","0","10104","5","0","10","1"
"900","0","10104","0","0","10","2"
"960","0","10104","1","0","10","2"
"1020","0","10104","2","0","10","2"
"1080","0","10104","3","0","10","2"
"1140","0","10104","4","0","10","2"
"1200","0","10104","5","0","10","2"
"1500","0","10104","0","0","10","3"
"1560","0","10104","1","0","10","3"
"1620","0","10104","2","0","10","3"
"1680","0","10104","3","0","10","3"
"1740","0","10104","4","0","10","3"
"1800","0","10104","5","0","10","3"
"2100","0","10104","0","0","10","4"
"2160","0","10104","1","0","10","4"
"2220","0","10104","2","0","10","4"
"2280","0","10104","3","0","10","4"
"2340","0","10104","4","0","10","4"
"2400","0","10104","5","0","10","4"
"2700","0","10104","0","0","10","5"
"2760","0","10104","1","0","10","5"
"2820","0","10104","2","0","10","5"
"2880","0","10104","3","0","10","5"
"2940","0","10104","4","0","10","5"
"3000","0","10104","5","0","10","5"
"300","0","10201","0","0","2","1"
"360","0","10201","1","0","2","1"
"420","0","10201","2","0","2","1"
"480","0","10201","3","0","2","1"
"540","0","10201","4","0","2","1"
"600","0","10201","5","0","2","1"
"900","0","10201","0","0","2","2"
"960","0","10201","1","0","2","2"
"1020","0","10201","2","0","2","2"
"1080","0","10201","3","0","2","2"
"1140","0","10201","4","0","2","2"
"1200","0","10201","5","0","2","2"
"1500","0","10201","0","0","2","3"
"1560","0","10201","1","0","2","3"
"1620","0","10201","2","0","2","3"
"1680","0","10201","3","0","2","3"
"1740","0","10201","4","0","2","3"
"1800","0","10201","5","0","2","3"
"2100","0","10201","0","0","2","4"
"2160","0","10201","1","0","2","4"
"2220","0","10201","2","0","2","4"
"2280","0","10201","3","0","2","4"
"2340","0","10201","4","0","2","4"
"2400","0","10201","5","0","2","4"
"2700","0","10201","0","0","2","5"
"2760","0","10201","1","0","2","5"
"2820","0","10201","2","0","2","5"
"2880","0","10201","3","0","2","5"
"2940","0","10201","4","0","2","5"
"3000","0","10201","5","0","2","5"
"150","0","10202","0","0","5","1"
"180","0","10202","1","0","5","1"
"210","0","10202","2","0","5","1"
"240","0","10202","3","0","5","1"
"270","0","10202","4","0","5","1"
"300","0","10202","5","0","5","1"
"450","0","10202","0","0","5","2"
"480","0","10202","1","0","5","2"
"510","0","10202","2","0","5","2"
"540","0","10202","3","0","5","2"
"570","0","10202","4","0","5","2"
"600","0","10202","5","0","5","2"
"750","0","10202","0","0","5","3"
"780","0","10202","1","0","5","3"
"810","0","10202","2","0","5","3"
"840","0","10202","3","0","5","3"
"870","0","10202","4","0","5","3"
"900","0","10202","5","0","5","3"
"1050","0","10202","0","0","5","4"
"1080","0","10202","1","0","5","4"
"1110","0","10202","2","0","5","4"
"1140","0","10202","3","0","5","4"
"1170","0","10202","4","0","5","4"
"1200","0","10202","5","0","5","4"
"1350","0","10202","0","0","5","5"
"1380","0","10202","1","0","5","5"
"1410","0","10202","2","0","5","5"
"1440","0","10202","3","0","5","5"
"1470","0","10202","4","0","5","5"
"1500","0","10202","5","0","5","5"
"150","0","10203","0","0","6","1"
"180","0","10203","1","0","6","1"
"210","0","10203","2","0","6","1"
"240","0","10203","3","0","6","1"
"270","0","10203","4","0","6","1"
"300","0","10203","5","0","6","1"
"450","0","10203","0","0","6","2"
"480","0","10203","1","0","6","2"
"510","0","10203","2","0","6","2"
"540","0","10203","3","0","6","2"
"570","0","10203","4","0","6","2"
"600","0","10203","5","0","6","2"
"750","0","10203","0","0","6","3"
"780","0","10203","1","0","6","3"
"810","0","10203","2","0","6","3"
"840","0","10203","3","0","6","3"
"870","0","10203","4","0","6","3"
"900","0","10203","5","0","6","3"
"1050","0","10203","0","0","6","4"
"1080","0","10203","1","0","6","4"
"1110","0","10203","2","0","6","4"
"1140","0","10203","3","0","6","4"
"1170","0","10203","4","0","6","4"
"1200","0","10203","5","0","6","4"
"1350","0","10203","0","0","6","5"
"1380","0","10203","1","0","6","5"
"1410","0","10203","2","0","6","5"
"1440","0","10203","3","0","6","5"
"1470","0","10203","4","0","6","5"
"1500","0","10203","5","0","6","5"
"300","0","10204","0","0","10","1"
"360","0","10204","1","0","10","1"
"420","0","10204","2","0","10","1"
"480","0","10204","3","0","10","1"
"540","0","10204","4","0","10","1"
"600","0","10204","5","0","10","1"
"900","0","10204","0","0","10","2"
"960","0","10204","1","0","10","2"
"1020","0","10204","2","0","10","2"
"1080","0","10204","3","0","10","2"
"1140","0","10204","4","0","10","2"
"1200","0","10204","5","0","10","2"
"1500","0","10204","0","0","10","3"
"1560","0","10204","1","0","10","3"
"1620","0","10204","2","0","10","3"
"1680","0","10204","3","0","10","3"
