b9025b34bed511c176e87a5623263c3a533ac47f8f98bf4504a22e255565e5e4,76a096a1bcb3caa957e81c5eee74a528c42c37b9b588f208f502b3d79c349d53,284d5a22f1e9652b364598f188273cf56a536d5e601e99277caf4bcf581d46c6,66799aeba7abfffd6ec07431b644b78adf47a2eb3d781aa24d6fa98e70f5845a,e84cec91c3c315bf0dbe88ea2ed567e7e8b88347c32d3a2934f1782088de58fd,6ab57fc0f9264859651606e43cec206c2bc6bb4b6877a792ec046385bd78250a,d7338c515eaaef530f3882d43bcf3120720b20ef08c8d4d388974de28692cc12,099d376bc4ebf516c6add9d3954c94c656f569be208f913c2d666361b5558a6b,e5637f7936dc484cac70befac1f007ac3a21e966c5e4d006fea45f5884998ba8,cde5b0be5d836da2e4d471f65829d2414dcd1f7c19aea06ad6712a4fa0e70de8,074e80f173ac5bc9f08f6935c413947cb95931e70aefc33f4cbf2dcef625f60d
"-68","105811","travel_topdrama_r_2000_idle_smile","42","20011","1","101","1","1","1200110001","0.8"
"-68","106011","travel_topdrama_r_2000_idle_sad_shy","-42","20011","1","102","1","0","1200110002","0.8"
"-75","0","mana","0","20011","0","110","5","0","1200110003","1"
"","","","","20011","0","","91","","1200110004",""
"","0","","","20011","10","","93","","1200110005",""
"","","","","20011","1200110005","","101","","1200110006",""
"","none","","","20011","0","0","3","","1200110007","0"
"","","","","20011","0","","91","","1200110008",""
"","103","","","20012","105811","","13","","1200120001",""
"","104","","","20012","106011","","13","","1200120002",""
"1","travel_topdrama_r_2000_talk_smile_in","","travel_topdrama_r_2000_talk_smile_loop","20012","105811","0","3","","1200120003","0.2"
"","vo_travel_talk_20001_00","","0","20012","vo_travel_talk","0","21","","1200120004",""
"1","キャルちゃんも冒険、楽しんでますか？\n調味料ならたっぷりありますし、新種の\n魔物を見かけたら教えてくださいね♪","0","1","20012","105811","10","11","0","1200120005","0"
"","","","","20012","0","","91","","1200120006",""
"","travel_topdrama_r_2000_idle_smile","","","20012","105811","1","3","","1200120007","0.2"
"1","travel_topdrama_r_2000_talk_anger_shy","","","20012","106011","1","3","","1200120008","0.2"
"","vo_travel_talk_20001_01","","0","20012","vo_travel_talk","0","21","","1200120009",""
"1","あんたね、なにもかも間違ってるわよ！\n探すのはお宝だし、魔物は食材じゃ\nないんだってば！","0","1","20012","106011","10","11","0","1200120010","0"
"","","","","20012","0","","91","","1200120011",""
"","travel_topdrama_r_2000_idle_sad_shy","","","20012","106011","1","3","","1200120012","0.2"
"1","travel_topdrama_r_2000_talk_smile_in","","travel_topdrama_r_2000_talk_smile_loop","20012","105811","0","3","","1200120013","0.2"
"","vo_travel_talk_20001_02","","0","20012","vo_travel_talk","0","21","","1200120014",""
"1","まぁまぁ、そう言わずに。\nもし新しい魔物料理が完成したら、\nキャルちゃんにも分けてあげますから♪","0","1","20012","105811","10","11","0","1200120015","0"
"","","","","20012","0","","91","","1200120016",""
"","travel_topdrama_r_2000_idle_smile","","","20012","105811","1","3","","1200120017","0.2"
"","","","","20012","","","112","","1200120018",""
"","","","","20012","0","","91","","1200120019",""
"-68","100211","travel_topdrama_r_2000_idle_normal","42","20021","1","101","1","1","1200210001","0.8"
"-68","100111","travel_topdrama_r_2002_sitting_loop","-42","20021","1","102","1","0","1200210002","0.8"
"-68","3","travel_topdrama_r_2002_sitting_loop","-42","20021","3","100","5","0","1200210003","0.8"
"-75","0","mana","0","20021","0","110","5","0","1200210004","1"
"","","","","20021","0","","91","","1200210005",""
"","0","","","20021","10","","93","","1200210006",""
"","","","","20021","1200210006","","101","","1200210007",""
"","none","","","20021","0","0","3","","1200210008","0"
"","","","","20021","0","","91","","1200210009",""
"","103","","","20022","100211","","13","","1200220001",""
