d958ebcc9ef341032cabdb9546e40608e4fc159416683ab87ed9a591af3eea9e,ba7a705ee76aea97b3c7474838fbeea8201d736ad20bfd85accbf16be954aaaf,383585c57af47d83ac69e8ff4eb38dbea42bb09352188220d73e47a81baae9bd,33ba314d53514ff65cdda7dd92dab58eb44c68da65e374740baff69ddba269a3,9d9a6c24f576e9a412b14f5c6595ec58e9f3578e30d224efec623d0250938f15,1e60b26c5d3f763dbb58fe95b47d9c12261de49b2a52614f7904056e8f010e8b
"2","0","102010201","10201","2","5201009"
"3","0","102010202","10201","2","5201010"
"502510","0","102010301","10201","3","0"
"501220","0","102020201","10202","2","0"
"501201","0","102020301","10202","3","0"
"500801","0","102030201","10203","2","0"
"500031","0","102030301","10203","3","0"
"502360","0","102040201","10204","2","0"
"500030","0","102040301","10204","3","0"
"502170","0","102050201","10205","2","0"
"502080","0","102050301","10205","3","0"
"501030","0","102060201","10206","2","0"
"500160","0","102060301","10206","3","0"
"500690","0","102070201","10207","2","0"
"500163","0","102070301","10207","3","0"
"532300","0","102080201","10208","3","0"
