80a8421c43525736c9341e90ef9b4cf15ee4e75361b9e68a78b769a35819a54d,21059888b41402412f5c506070fe4c94ee70693995b6aa1cbdbde5a89d4a9acb,1d56e88d28b43a78cdfd23a20ee47c0ff7e2a753e9671e864dc940cca638ad61,640474c468461cb3bbd5468cf1dc3ad166addee48c0f996cadc57e733599f920,e7332aa25e7752ca2ab35f9391cdae83d8e23311c814f8f347ee199f442f50e5,43d54c561f9a4d330ce2b6b02bb82fc5dc112be0ace9ae5b344b0cecc948c85c
"11101","1","vo_caravan","1","1","vo_caravan_105801_start_001"
"11102","1","vo_caravan","1","1","vo_caravan_105801_start_002"
"12101","2","vo_caravan","1","1","vo_caravan_105901_start_001"
"12102","2","vo_caravan","1","1","vo_caravan_105901_start_002"
"13101","3","vo_caravan","1","1","vo_caravan_106001_start_001"
"13102","3","vo_caravan","1","1","vo_caravan_106001_start_002"
"21101","1","vo_caravan","1","2","vo_caravan_105801_dice_001"
"21102","1","vo_caravan","1","2","vo_caravan_105801_dice_002"
"22101","2","vo_caravan","1","2","vo_caravan_105901_dice_001"
"22102","2","vo_caravan","1","2","vo_caravan_105901_dice_002"
"23101","3","vo_caravan","1","2","vo_caravan_106001_dice_001"
"23102","3","vo_caravan","1","2","vo_caravan_106001_dice_002"
"31101","1","vo_caravan","1","3","vo_caravan_105801_slot_001"
"32101","2","vo_caravan","1","3","vo_caravan_105901_slot_001"
"33101","3","vo_caravan","1","3","vo_caravan_106001_slot_001"
"41101","1","vo_caravan","1","4","vo_caravan_105801_dish_001"
"41102","1","vo_caravan","1","4","vo_caravan_105801_dish_002"
"42101","2","vo_caravan","1","4","vo_caravan_105901_dish_001"
"42102","2","vo_caravan","1","4","vo_caravan_105901_dish_002"
"42201","1","se_caravan","2","4","se_caravan_food_peko"
"42202","2","se_caravan","2","4","se_caravan_food_coccoro"
"42203","3","se_caravan","2","4","se_caravan_food_kyaru"
"42205","100","se_caravan","2","4","se_caravan_food_onigiri"
"43101","3","vo_caravan","1","4","vo_caravan_106001_dish_001"
"43102","3","vo_caravan","1","4","vo_caravan_106001_dish_002"
"45101","100","vo_caravan","1","4","vo_caravan_onigiri_dish_001"
"61101","0","vo_caravan","1","6","vo_caravan_105801_goal_001"
"61201","0","vo_caravan","1","61","vo_caravan_105801_win_001"
"61301","0","vo_caravan","1","62","vo_caravan_105801_lose_001"
"62101","0","vo_caravan","1","6","vo_caravan_105901_goal_001"
"62201","0","vo_caravan","1","61","vo_caravan_105901_win_001"
"62301","0","vo_caravan","1","62","vo_caravan_105901_lose_001"
"63101","0","vo_caravan","1","6","vo_caravan_106001_goal_001"
"63201","0","vo_caravan","1","61","vo_caravan_106001_win_001"
"63301","0","vo_caravan","1","62","vo_caravan_106001_lose_001"
"64101","0","vo_caravan","1","6","vo_caravan_118501_goal_001"
"71101","0","vo_caravan","1","7","vo_caravan_105801_appraise_001"
"72101","0","vo_caravan","1","7","vo_caravan_105901_appraise_001"
"73101","0","vo_caravan","1","7","vo_caravan_106001_appraise_001"
"81101","0","vo_caravan","1","8","vo_caravan_105801_result_001"
"82101","0","vo_caravan","1","8","vo_caravan_105901_result_001"
"83101","0","vo_caravan","1","8","vo_caravan_106001_result_001"
"211101","11","vo_caravan","1","2","vo_caravan_319700_dice_001"
"211102","11","vo_caravan","1","2","vo_caravan_319700_dice_002"
"212101","12","vo_caravan","1","2","vo_caravan_319800_dice_001"
"212102","12","vo_caravan","1","2","vo_caravan_319800_dice_002"
"213101","13","vo_caravan","1","2","vo_caravan_319900_dice_001"
"213102","13","vo_caravan","1","2","vo_caravan_319900_dice_002"
