df65f0902fd4cb49a0a96f460a4ed1a9fa0ba7e49b983d92028ac579b7dcb1ab,174676c1df1fa89901b2b54e567579384306bd57140bc51754d059f3a782112a,945b111cc164bb0add86ed7b11810183bde177cdad7f5d733d03b8893928d055,a05aa2cbe6099bf8e6093764f81e4ebe7435f9ec1a415201a42cbf593d63e68f,e7c91a85a6ee5e6e9da5243845ad6d3ee9e8a6bff85241ada059701a56da400b,31f63641136869bc8f03e817cb11e5c3dc7353dba6e42771d4f498ffc9e1968d,f6ea909b71a1f787b2d766a59e6e58bf9c81d24874a4cd2c7eeeba210bf88d87,41983b3721b367ac09e1452b04d9f502be95d10638ab71b0a04b8e3c8dd22326,e8e33468b62ab433efc700c3ac48e8175ee2ea2576367ced512895e3cd9ee0af,f3c3339197ba90338c0775eb5eab1b61202ba5ee60370d2a0d3035589c40fdac,69607722520c0af8cd3496e44d77b95f4a7bacd1406827db92346dbe1de51966,22b27df3b15a6bb9932b32319aeb3ae5de41044d4ae2af4b2eb35cc51929fcf9
"1","10201201","0","1","70","5","610201102","0","5201322","5201321","0","5.5"
"3","10201201","3","2","0","5","610201103","600","5201323","0","15","1.5"
"1","10201201","0","3","0","5","610201104","0","0","0","0","1.5"
"1","10201501","0","1","70","5","610201105","0","0","0","0","5.5"
"3","10201501","3","2","0","5","610201106","600","0","0","15","1.5"
"1","10201501","0","3","0","5","610201107","0","0","0","0","1.5"
"2","10201251","3","1","0","5","610201152","600","5201332","5201331","0","5.5"
"1","10201251","0","2","65","5","610201153","0","5201333","0","0","1.5"
"1","10201251","0","3","0","5","610201154","0","0","0","0","1.5"
"2","10201551","3","1","0","5","610201155","600","0","0","0","5.5"
"1","10201551","0","2","65","5","610201156","0","0","0","0","1.5"
"1","10201551","0","3","0","5","610201157","0","0","0","0","1.5"
"2","10202201","3","1","0","5","610202102","600","5202322","5202321","0","5.5"
"1","10202201","0","2","70","5","610202103","0","5202323","0","0","1.5"
"1","10202201","0","3","0","5","610202104","0","0","0","0","1.5"
"2","10202501","3","1","0","5","610202105","600","0","0","0","5.5"
"1","10202501","0","2","70","5","610202106","0","0","0","0","1.5"
"1","10202501","0","3","0","5","610202107","0","0","0","0","1.5"
"2","10203201","3","1","0","5","610203102","600","5203322","5203321","0","5.5"
"1","10203201","0","2","66","5","610203103","0","5203323","0","0","1.5"
"1","10203201","0","3","0","5","610203104","0","0","0","0","1.5"
"2","10203501","3","1","0","5","610203105","600","0","0","0","5.5"
"1","10203501","0","2","66","5","610203106","0","0","0","0","1.5"
"1","10203501","0","3","0","5","610203107","0","0","0","0","1.5"
"2","10204201","3","1","0","5","610204102","600","5204322","5204321","0","5.5"
"1","10204201","0","2","60","5","610204103","0","5204323","0","0","1.5"
"1","10204201","0","3","0","5","610204104","0","0","0","0","1.5"
"2","10204501","3","1","0","5","610204105","600","0","0","0","5.5"
"1","10204501","0","2","80","5","610204106","0","0","0","0","1.5"
"1","10204501","0","3","0","5","610204107","0","0","0","0","1.5"
"2","10205201","3","1","0","5","610205102","600","5205322","5205321","0","5.5"
"1","10205201","0","2","65","5","610205103","0","5205323","0","0","1.5"
"1","10205201","0","3","0","5","610205104","0","0","0","0","1.5"
"2","10205501","3","1","0","5","610205105","600","0","0","0","5.5"
"1","10205501","0","2","66","5","610205106","0","0","0","0","1.5"
"1","10205501","0","3","0","5","610205107","0","0","0","0","1.5"
"2","10206201","3","1","0","5","610206102","600","5206322","5206321","0","5.5"
"2","10206201","3","2","0","5","610206103","600","5206323","0","0","1.5"
"1","10206201","0","3","0","5","610206104","0","0","0","0","1.5"
"2","10206501","3","1","0","5","610206105","600","0","0","0","5.5"
"2","10206501","3","2","0","5","610206106","600","0","0","0","1.5"
"1","10206501","0","3","0","5","610206107","0","0","0","0","1.5"
