238e156ff80bc3f97f45018afea2b0b0cb89b8391407ea3dbdce993947887ae8,7a212f2d86483ac004687b912e6253483d67ee1180b3d123145eca33249631cd,287a487e682901305ca6c5310ef3cf71ae6c7b9c784828748c4f4e6e69c10920,0f705fcd4bbaff883319d7433695196f17638456a3cd08bc6e57044974c85fca,a5e9feaa45bb3306b8ac133449f48853f716b9f05898b09b62a86ab798f9b0cc,72b4ee2efefbca5641bf4f84a80e60d4bd6b82cd4d0239643d1a63ada4932323
"100","100","100","100","1000000","100"
"100","100","100","150","2000000","100"
"100","100","100","100","2000001","150"
"100","100","150","100","2000002","100"
"150","100","100","100","2000003","100"
"100","150","100","100","2000004","100"
"100","100","100","300","2000005","100"
"100","100","100","100","2000006","300"
"100","100","300","100","2000007","100"
"300","100","100","100","2000008","100"
"100","300","100","100","2000009","100"
"100","100","100","250","2000010","100"
"100","100","100","100","2000011","250"
"100","100","250","100","2000012","100"
"250","100","100","100","2000013","100"
"100","250","100","100","2000014","100"
"100","100","100","150","3000000","150"
"100","100","150","150","3000001","100"
"150","100","100","150","3000002","100"
"100","150","100","150","3000003","100"
"100","100","150","100","3000004","150"
"150","100","100","100","3000005","150"
"100","150","100","100","3000006","150"
"150","100","150","100","3000007","100"
"100","150","150","100","3000008","100"
"150","150","100","100","3000009","100"
"100","100","100","250","3000010","250"
"100","100","250","250","3000011","100"
"250","100","100","250","3000012","100"
"100","250","100","250","3000013","100"
"100","100","250","100","3000014","250"
"250","100","100","100","3000015","250"
"100","250","100","100","3000016","250"
"250","100","250","100","3000017","100"
"100","250","250","100","3000018","100"
"250","250","100","100","3000019","100"
"100","100","150","150","4000000","150"
"150","100","100","150","4000001","150"
"100","150","100","150","4000002","150"
"150","100","150","150","4000003","100"
"100","150","150","150","4000004","100"
"150","150","100","150","4000005","100"
"150","100","150","100","4000006","150"
"100","150","150","100","4000007","150"
"150","150","100","100","4000008","150"
"150","150","150","100","4000009","100"
"100","100","250","250","4000010","250"
"250","100","100","250","4000011","250"
"100","250","100","250","4000012","250"
"250","100","250","250","4000013","100"
"100","250","250","250","4000014","100"
"250","250","100","250","4000015","100"
"250","100","250","100","4000016","250"
"100","250","250","100","4000017","250"
"250","250","100","100","4000018","250"
"250","250","250","100","4000019","100"
"150","100","150","150","5000000","150"
"100","150","150","150","5000001","150"
"150","150","100","150","5000002","150"
"150","150","150","150","5000003","100"
"150","150","150","100","5000004","150"
"250","100","250","250","5000010","250"
"100","250","250","250","5000011","250"
"250","250","100","250","5000012","250"
"250","250","250","250","5000013","100"
"250","250","250","100","5000014","250"
