7ee60a11732babc2a06c6b3c67f797f45317c076976d37323d2b68862c429960,37b700d359d8ecc98b09fa6fbcd8536d65a6168e9460b84b2272f30b1fb27f5a,1db0150b591e95b50da3e8c95697ee55634ae7d77be7f6f3ab0584d1dfad00f2,39b05814b2a534d7092c3b4b99ea7470090f6165fd4cb643e39d75587f2dbe33,764bf42be5982b3868c3fb3c9a57e6c07e999d487d89df8e9b2de09bea210ba8
"300","1","1","1","135"
"-100","1","1","2","425"
"125","2","1","3","-100"
"-415","2","1","4","375"
"-50","3","1","5","25"
"-300","3","1","6","-25"
"-335","4","1","7","-195"
"-415","4","1","8","105"
"-160","5","1","9","135"
"-40","6","1","10","345"
"90","7","1","11","-230"
"-420","8","1","12","230"
"250","9","1","13","30"
"-245","10","1","14","280"
"-110","11","1","15","-150"
