acd47eb19b21f4b0e6463da53f35f65c37a83055e6b15a62ee537f95652f6e0a,b1853bb1b5805cd8102f87338f5a65a9e55ffbf9a1ec353209056d1f47b3173f,c60d2c0bd382c2fc5212f13e22b7dfc7ef9414d7038afe8d9af0839b43b8bacc,cda9eb84ae6845b2406373d072f2e601b5f78716d87b79b52415eb161353804d,d9bf7461f8a45733318d73e95372ee1fadbd62f045db0e4c20364a80f0779cae,77d8d20f3111201cdaf345ec108bbec8f878ff2af2826a06a341b8d03618b248,3eb7afd7d49316e72500b9755c0ee60706ccf17e37b714838fde908b81158527,dbb4b5b17c9a02707caa57d6f9620ee643a14dfb9e6ac666a99b8478b659abba,27f35ef2df2f4231a5eeeaa0f9596645ce79af18e688238c8379b0e84b16c0c0,f8e35ad50a8a5e4326eb7d1f05631d41349ec31856b247bae2b475b981790d58,9e42f157ed41aafba632c8480c471c155c7e30b85dde633469dffe8891cca1cc
"201001","0","empty","1.3","2","55","1","201","-150","118511","150"
"201002","0","empty","0.65","1","56","5","201","-150","1","150"
"201003","0","empty","1.9","3","50","5","201","-180","3","-650"
"201004","","","","201001","","91","201","","0",""
"201005","","","0","118511","0","3","201","","empty",""
"201006","","","","0","","91","201","","",""
"201007","","","","se_labyrinth","0","23","201","","se_labyrinth_event_drama_201",""
"201008","","","0","118511","0","3","201","","201_karin",""
"201009","","","0","1","0","3","201","","201_karin",""
"201010","","","0","3","0","3","201","","201_hero",""
"201011","","","","3","-180","2","201","11","-150","1.2"
"201012","","","","1.7","","93","201","","0",""
"201013","","","","vo_labyrinth_drama","0","21","201","","vo_labyrinth_drama_20101",""
"201014","","","","0.8","","93","201","","0",""
"201015","0","0","0","3","1","12","201","0","7","0"
"201016","","","","se_labyrinth","0","23","201","","se_labyrinth_event_emote_7",""
"201017","","","","1.1","","93","201","","0",""
"311001","0","empty","1.9","310","55","5","311","-213","310","-225"
"311002","0","empty","0.8","104","50","5","311","-187","104","427"
"311003","","","0","300","0","31","311","1","300","0"
"311004","","","1","303","0","31","311","1","303","0"
"311005","","","1","303","0","31","311","1","304","0"
"311006","","","0","301","0","31","311","1","301","0"
"311007","","","","311001","","91","311","","0",""
"311008","","","0","310","0","3","311","","empty",""
"311009","","","","0","","91","311","","",""
"311010","","","","se_labyrinth","0","23","311","","se_labyrinth_event_drama_311",""
"311011","","","","vo_labyrinth_drama","0","21","311","","vo_labyrinth_drama_31101",""
"311012","","","0","310","0","3","311","","311_hiyori_jankenpon_win",""
"311013","","","0","104","0","3","311","","jankenpon_lose",""
"311014","","","","300","","32","311","","1",""
"311015","","","","303","","37","311","","L_gu_WIN",""
"311016","","","","304","","37","311","","R_choki_LOSE",""
"311017","","","","3.133","","93","311","","0",""
"311018","","","","301","","32","311","","1",""
"311019","","","","vo_labyrinth_drama","0","21","311","","vo_labyrinth_drama_31102",""
"311020","","","","1.867","","93","311","","0",""
"312001","0","empty","1.9","310","55","5","312","-213","310","-225"
"312002","0","empty","0.8","105","50","5","312","-187","105","427"
"312003","","","0","300","0","31","312","1","300","0"
"312004","","","1","303","0","31","312","1","303","0"
"312005","","","1","303","0","31","312","1","304","0"
"312006","","","0","302","0","31","312","1","302","0"
"312007","","","","312001","","91","312","","0",""
"312008","","","0","310","0","3","312","","empty",""
"312009","","","","0","","91","312","","",""
"312010","","","","se_labyrinth","0","23","312","","se_labyrinth_event_drama_312",""
"312011","","","","vo_labyrinth_drama","0","21","312","","vo_labyrinth_drama_31201",""
"312012","","","0","310","0","3","312","","312_hiyori_jankenpon_lose",""
"312013","","","0","105","0","3","312","","jankenpon_win",""
"312014","","","","300","","32","312","","1",""
"312015","","","","303","","37","312","","L_gu_LOSE",""
"312016","","","","304","","37","312","","R_pa_WIN",""
"312017","","","","3","","93","312","","0",""
"312018","","","","302","","32","312","","1",""
"312019","","","","vo_labyrinth_drama","0","21","312","","vo_labyrinth_drama_31202",""
"312020","","","","2","","93","312","","0",""
"321001","0","empty","1.9","320","55","5","321","-213","320","-225"
"321002","0","empty","0.8","105","50","5","321","-187","105","427"
"321003","","","0","300","0","31","321","1","300","0"
"321004","","","1","303","0","31","321","1","303","0"
"321005","","","1","303","0","31","321","1","304","0"
"321006","","","0","301","0","31","321","1","301","0"
"321007","","","","321001","","91","321","","0",""
"321008","","","0","320","0","3","321","","empty",""
"321009","","","","0","","91","321","","",""
"321010","","","","se_labyrinth","0","23","321","","se_labyrinth_event_drama_321",""
"321011","","","","vo_labyrinth_drama","0","21","321","","vo_labyrinth_drama_32101",""
"321012","","","0","320","0","3","321","","321_rei_jankenpon_win",""
"321013","","","0","105","0","3","321","","jankenpon_lose",""
"321014","","","","300","","32","321","","1",""
"321015","","","","303","","37","321","","L_choki_WIN",""
"321016","","","","304","","37","321","","R_pa_LOSE",""
"321017","","","","3.133","","93","321","","0",""
"321018","","","","301","","32","321","","1",""
"321019","","","","vo_labyrinth_drama","0","21","321","","vo_labyrinth_drama_32102",""
"321020","","","","1.867","","93","321","","0",""
"322001","0","empty","1.9","320","55","5","322","-213","320","-225"
"322002","0","empty","0.9","103","50","5","322","-187","103","427"
"322003","","","0","300","0","31","322","1","300","0"
"322004","","","1","303","0","31","322","1","303","0"
"322005","","","1","303","0","31","322","1","304","0"
"322006","","","0","302","0","31","322","1","302","0"
"322007","","","","322001","","91","322","","0",""
"322008","","","0","320","0","3","322","","empty",""
"322009","","","","0","","91","322","","",""
"322010","","","","se_labyrinth","0","23","322","","se_labyrinth_event_drama_322",""
"322011","","","","vo_labyrinth_drama","0","21","322","","vo_labyrinth_drama_32201",""
"322012","","","0","320","0","3","322","","322_rei_jankenpon_lose",""
"322013","","","0","103","0","3","322","","jankenpon_win",""
"322014","","","","300","","32","322","","1",""
"322015","","","","303","","37","322","","L_choki_LOSE",""
"322016","","","","304","","37","322","","R_gu_WIN",""
"322017","","","","3","","93","322","","0",""
"322018","","","","302","","32","322","","1",""
"322019","","","","vo_labyrinth_drama","0","21","322","","vo_labyrinth_drama_32202",""
"322020","","","","2","","93","322","","0",""
"331001","0","empty","1.9","330","55","5","331","-213","330","-225"
"331002","0","empty","0.9","103","50","5","331","-187","103","427"
"331003","","","0","300","0","31","331","1","300","0"
"331004","","","1","303","0","31","331","1","303","0"
"331005","","","1","303","0","31","331","1","304","0"
"331006","","","0","301","0","31","331","1","301","0"
"331007","","","","331001","","91","331","","0",""
"331008","","","0","330","0","3","331","","empty",""
"331009","","","","0","","91","331","","",""
"331010","","","","se_labyrinth","0","23","331","","se_labyrinth_event_drama_331",""
"331011","","","","vo_labyrinth_drama","0","21","331","","vo_labyrinth_drama_33101",""
"331012","","","0","330","0","3","331","","331_yui_jankenpon_win",""
"331013","","","0","103","0","3","331","","jankenpon_lose",""
"331014","","","","300","","32","331","","1",""
"331015","","","","303","","37","331","","L_pa_WIN",""
"331016","","","","304","","37","331","","R_gu_LOSE",""
"331017","","","","3.133","","93","331","","0",""
"331018","","","","301","","32","331","","1",""
"331019","","","","vo_labyrinth_drama","0","21","331","","vo_labyrinth_drama_33102",""
"331020","","","","1.867","","93","331","","0",""
"332001","0","empty","1.9","330","55","5","332","-213","330","-225"
"332002","0","empty","0.8","104","50","5","332","-187","104","427"
"332003","","","0","300","0","31","332","1","300","0"
"332004","","","1","303","0","31","332","1","303","0"
"332005","","","1","303","0","31","332","1","304","0"
"332006","","","0","302","0","31","332","1","302","0"
"332007","","","","332001","","91","332","","0",""
"332008","","","0","330","0","3","332","","empty",""
"332009","","","","0","","91","332","","",""
"332010","","","","se_labyrinth","0","23","332","","se_labyrinth_event_drama_332",""
"332011","","","","vo_labyrinth_drama","0","21","332","","vo_labyrinth_drama_33201",""
"332012","","","0","330","0","3","332","","332_yui_jankenpon_lose",""
"332013","","","0","104","0","3","332","","jankenpon_win",""
"332014","","","","300","","32","332","","1",""
"332015","","","","303","","37","332","","L_pa_LOSE",""
"332016","","","","304","","37","332","","R_choki_WIN",""
"332017","","","","3","","93","332","","0",""
"332018","","","","302","","32","332","","1",""
"332019","","","","vo_labyrinth_drama","0","21","332","","vo_labyrinth_drama_33202",""
"332020","","","","2","","93","332","","0",""
"411001","0","empty","1.3","2","53","1","411","-180","100511","-250"
"411002","0","empty","0.66","100","52","5","411","-180","100","250"
"411003","0","empty","0.66","101","51","5","411","-180","101","250"
"411004","0","empty","0.66","102","50","5","411","-180","102","250"
"411005","","","1","411","0","31","411","1","411","0"
"411006","","","","411004","","91","411","","0",""
"411007","","","0","100511","0","3","411","","empty",""
"411008","","","","0","","91","411","","",""
"411009","","","","se_labyrinth","0","23","411","","se_labyrinth_event_drama_411",""
"411010","","","0","100511","0","3","411","","411_matsuri_battle",""
"411011","","","0","100","0","3","411","","411_battle",""
"411012","","","0","101","0","3","411","","411_battle",""
"411013","","","0","102","0","3","411","","411_battle",""
"411014","","","","411","","32","411","","1",""
"411015","","","","1.033","","93","411","","0",""
"411016","","","","vo_labyrinth_drama","0","21","411","","vo_labyrinth_drama_41101",""
"411017","","","","0.967","","93","411","","0",""
"421001","0","empty","1.3","2","60","1","421","-180","107111","-250"
