1784297dfd4d8bd64994f1db8891e5a35859445cc7372bb8bed7282f2bd69758,38e1674cd3faa49e37777ebcedb8f56427bf48630db41f68a773232874c2572f,f17fbfb9c70fa49a95ebf6d331522d5ffc4deb844303939a4db6cf9fef65eb78,4c712a1594b894759383d1718f3f0fba3b76567ddca6ba63d6068b8262deb7dd,fa8095ad3f161d4b825a498427eb4147239af4ed823c5e70c96a04d4578a34d3,4a3b8b7c31eaf92fb89a2affb89585e908ea6f86fb5d503ddd7afd37fb9e14ab,95412758fb969d3d9a787dd346086b1d103615393ad300e2c2b45fcb31f9f53d,0baa10550ba33479735881529a232c86bd47029c3075c8bd0efba78fa1cd274e,0a2b8d0c4641083fe491f3f665d017525c6285e5cc5c4d1329d7b289e8d443d1,6b37b9995796ffdc9cdade04b2e1b28c01d2b7f9e2f3564f5a64f6debc510baa,94bc72cf922e31f924a62c2b3e7aebebc04c3d4dd108eecb1760e334afd80393
"1","61001","100","idle_normal","1","-225","0","5146061","1.8","-278","105811"
"6","61002","101","idle_normal","5","-225","0","5146061","1.8","-278","1058"
"1","61003","103","kokkoro_idle_normal","1","-385","0","5146061","1.8","-288","105911"
"3","61004","104","kokkoro_idle_normal","5","-385","0","5146061","1.8","-288","1059"
"1","61005","106","idle_normal","1","290","1","5146061","1.8","-278","106011"
"4","61006","107","idle_normal","5","290","1","5146061","1.8","-278","1060"
"105811","61007","","","13","","","5146061","","","200"
"105911","61008","","","13","","","5146061","","","203"
"106011","61009","","","13","","","5146061","","","206"
"7","61010","15","idle","5","0","0","5146061","0.85","-174","7"
"20","61011","210","empty","5","290","0","5146061","1","8","201"
"20","61012","211","empty","5","0","0","5146061","1","-78","202"
"20","61013","210","empty","5","-315","0","5146061","1","16","203"
"21","61014","60","empty","5","0","0","5146061","1","153","21"
"1","61015","0","","31","0","","5146061","1","1","1"
"2","61016","0","","31","-57.7","","5146061","0","1","2"
"10","61017","0","","31","0","","5146061","0","1","10"
"11","61018","0","","31","0","","5146061","0","1","11"
"0","61019","","","91","","","5146061","","","0"
"0","61020","0","","102","","","5146061","","","0"
"1","61021","","","93","","","5146061","","","0"
"106011","61022","0","","3","doya_talk_shy","0","5146061","0.2","1","doya_in_shy"
"1060","61023","0","","3","doya_talk_shy","0","5146061","0.2","1","doya_in_shy"
"vo_apg","61024","0","","21","0","","5146061","","","vo_apg_0101"
"106011","61025","10","0","11","1","0","5146061","0","1","ジェットコースター乗車中の\n魔法の写真撮影サービス？\nフン、人の無防備な写真勝手に撮って、\n後で売り付けよーとかくだらないわ！"
"0","61026","","","91","","","5146061","","",""
"2","61027","","","32","","","5146061","","","1"
"2","61028","","","37","","","5146061","","","fade105_in"
"106011","61029","","","4","","","5146061","","","0"
