8af3d598f8fd970c1c741b7f6861ecf104456a2edfbdb41e911730de148825c3,28d37490adec47b6122989ba452de173a17c36f9a74ecc8a8d565a01678e23cc,6c02048b7332da7012b78acd1d636007e48a634017613584a0da9ad9f0e9c05e,aa4df096ade0251a4929be07ad6e744cbcc91fefe28050caee31674ef9007929,73a00526a2c05100e661017261850776ea175c9df7c6075eb9be4d708dde0d58,5bbfc6cf502856961d6c09ba83a2378e2844bea17fb0677fa0a86b01559c050b,61c1933b67ae71cf91673e51aa2962007b9ffc332ba5cf5a98f1ddf0b6549ce4
"10064","0","4","開会式","0","20036104","1006401"
"10064","0","3","開会式","0","20036104","1006402"
"10064","0","1","徒競走","1006402","20036104","1006403"
"10064","0","4","徒競走","1006402","20036104","1006404"
"10064","0","2","徒競走","1006402","20036104","1006405"
"10064","0","2","騎馬戦","1006405","20036104","1006406"
"10064","0","4","騎馬戦","1006405","20036104","1006407"
"10064","0","3","昼休憩","1006406","20036106","1006408"
"10064","0","4","昼休憩","1006406","20036106","1006409"
"10064","0","3","学術文化出展各種","1006408","20036106","1006410"
"10064","0","4","学術文化出展各種","1006408","20036106","1006411"
"10064","0","1","学術文化出展各種","1006408","20036106","1006412"
"10064","0","4","侍女風給仕喫茶","1006410","20036108","1006413"
"10064","0","3","侍女風給仕喫茶","1006410","20036108","1006414"
"10064","0","3","総合リレー","1006414","20036113","1006415"
"10064","0","4","総合リレー","1006414","20036113","1006416"
"10064","2003601","1","セレモニーステージ","1006415","0","1006417"
"10064","2003601","4","セレモニーステージ","1006415","0","1006418"
"10064","2003601","2","セレモニーステージ","1006415","0","1006419"
"10064","2003601","3","閉会式","1006419","0","1006420"
"10064","2003601","4","閉会式","1006419","0","1006421"
"10064","2003601","4","コンプリート演出","1006420","0","1006422"
