e67c18b94717f8dff136d674ae2200af8f5b3fda43ce49d2ad3e2b2b934c0f51,c21b4cca20531cfaaeb3ae1600454c8aab4fc0d0ccea1991c120b5652cdd0028,5c532332e43379c88f80830bc8c55efcc675073cc72eec6117fc1f88ae92cee3,a7a31f592c433989b5cbfff7df0c37a50a5506056dd9610d151426d8526b90cf,4164267eaacd2740057fb53eac4b103167448ed28baf918d347c53bc9fa2dc14,dd8c687b9325897d3476c3fa5a83f4337de2c1fb673eb46ff4f3660232407438,551da3588db5ff15445f0c73567eb99d9faa88fee3fecfba6275b15a0486d2a1
"11011","0","1101","ギルド管理協会です！どんなお仲間をお探しですか？","2","11012","2"
"11021","0","1102","ギルド管理協会です！どんなお仲間をお探しですか？","2","11022","2"
"11031","0","1103","ギルド管理協会です！どんなお仲間をお探しですか？","2","11032","2"
"11041","0","1104","ギルド管理協会です！どんなお仲間をお探しですか？","2","11042","2"
"11051","0","1105","魔物たちが集まる闘技場を見つけた！","4","11052","4"
"11073","11071","1107","不思議な石板を発見！どうする？","7","11072","7"
"11082","0","1108","ダンジョンで迷った！どっちに進む？","8","11081","8"
"11091","0","1109","魔物たちが集まる闘技場を見つけた！","4","11092","4"
"11101","11103","1110","じゃんけん……ぽん！","3","11102","3"
"11111","0","1111","箱の中から声が聞こえる……","10","11112","10"
"11121","0","1112","イベント会場に魔物が現れた！","11","11122","11"
"11131","0","1113","魔物たちが集まる闘技場を見つけた！","4","11132","4"
"11171","0","1117","魔物たちが集まる闘技場を見つけた！","4","11172","4"
"11181","0","1118","魔物たちが集まる闘技場を見つけた！","4","11182","4"
"11191","0","1119","魔物たちが集まる闘技場を見つけた！","4","11192","4"
"11201","0","1120","魔物たちが集まる闘技場を見つけた！","4","11202","4"
"11211","0","1121","魔物たちが集まる闘技場を見つけた！","4","11212","4"
"11221","0","1122","魔物たちが集まる闘技場を見つけた！","4","11222","4"
"11231","0","1123","魔物たちが集まる闘技場を見つけた！","4","11232","4"
"11241","0","1124","魔物たちが集まる闘技場を見つけた！","4","11242","4"
"11251","0","1125","魔物たちが集まる闘技場を見つけた！","4","11252","4"
"11261","0","1126","魔物たちが集まる闘技場を見つけた！","4","11262","4"
"11271","0","1127","魔物たちが集まる闘技場を見つけた！","4","11272","4"
"11281","0","1128","魔物たちが集まる闘技場を見つけた！","4","11282","4"
"11291","0","1129","魔物たちが集まる闘技場を見つけた！","4","11292","4"
"11301","0","1130","魔物たちが集まる闘技場を見つけた！","4","11302","4"
"11311","0","1131","魔物たちが集まる闘技場を見つけた！","4","11312","4"
"11321","0","1132","魔物たちが集まる闘技場を見つけた！","4","11322","4"
"11331","0","1133","魔物たちが集まる闘技場を見つけた！","4","11332","4"
"11341","0","1134","魔物たちが集まる闘技場を見つけた！","4","11342","4"
"11351","0","1135","魔物たちが集まる闘技場を見つけた！","4","11352","4"
"11361","0","1136","魔物たちが集まる闘技場を見つけた！","4","11362","4"
"11371","0","1137","魔物たちが集まる闘技場を見つけた！","4","11372","4"
"13141","0","1314","釣りスポットを発見！","5","0","5"
"13151","0","1315","絶好のピクニック日和だ！","9","0","9"
"13161","0","1316","スロットマシンだ！挑戦する？","6","0","6"
"23141","0","2314","ラッキー！もう一回釣れるぞ！","5","0","5"
"23152","0","2315","料理ができた！でも、まだ材料はあるぞ！","9","23151","9"
"23162","0","2316","もう一勝負だ！","6","23161","6"
"33141","0","3314","ラストもう一回！","5","0","5"
"33152","0","3315","完璧！でも、まだまだ材料はあるぞ！","9","33151","9"
"33162","0","3316","ラスト一発！","6","33161","6"
