7f3b5b9f60a834ddf94c31a5b0cb3800f1212832afccbb0f95cb76d7fe3ed152,b7aa04548dbea9c31260580036bea22576b1dca613d5c05aff312b3645cb51e8,60202117cd5dcc26d5470a2368126bc17445209424d4ccda931c585874558cf0,a43b8cac9c3961bd7866da7adb9ba6ac1a8aa1af17980f3461069d24bf57e5e6
"10146","0","0","1014601"
"10148","0","0","1014801"
"10150","0","0","1015001"
"10152","0","0","1015201"
"10154","0","5154007","0"
"10169","0","0","1016901"
"10170","0","0","1017001"
"10171","0","0","1017101"
"10172","0","0","1017201"
"10173","0","5154007","0"
