c708b6f7783ff37ba92368cc183d3f143360833e2206ac03039274675da48616,0f5b82aec3d57a1bca301d5a3cb97fe85db00aca435e2f6841fcf3d0e373f6ac,7b748e372555db860c19bdac3c2c71e5ab3010bdca37f5d3401aafeaee229f37,5d6fa7ab4f93a8522526e68b9b21b1897eef31c373e675b341e867b505cdf706,230c3fbd245c114df6ebefbee8bbe82b7da4648de4bf422f7c2e9fc76c3d1fd1,f093776680fc9e6af6f865cd0fe4fd3221a4af267a6c1885f8618ad6a00f571d,c86b8b929e95668dd9de6d8a65ec63355c829c555d6c8489117d6beae16b0966,e14e68027e349022be0fec4192afa0ae648b7eea3289c398b6c989d49aa768c1,6a80ca89ef7f0a441fcd5f0a960f4e577642d7f5c92efcf8d4d1fa10bdb3bfad,74a9707f71e9493856bd902cc3f7dda03ed22af00c485d796ca470cc44d6d6eb,4db1bddae8e81c83fe4603bb8e8c5088bbee41a3b77e854f0e025b95802989d7,6c486e7a2df3033f8c565324d3d49b2fe0cc052485e163b5d0df0ead2fc5908e
"5","1","610201102","5201322","10201201","0","5.5","0","1","70","5201321","0"
"5","2","610201103","5201323","10201201","600","1.5","3","3","0","0","15"
"5","3","610201104","0","10201201","0","1.5","0","1","0","0","0"
"5","1","610201105","0","10201501","0","5.5","0","1","70","0","0"
"5","2","610201106","0","10201501","600","1.5","3","3","0","0","15"
"5","3","610201107","0","10201501","0","1.5","0","1","0","0","0"
"5","1","610201152","5201332","10201251","600","5.5","3","2","0","5201331","0"
"5","2","610201153","5201333","10201251","0","1.5","0","1","65","0","0"
"5","3","610201154","0","10201251","0","1.5","0","1","0","0","0"
"5","1","610201155","0","10201551","600","5.5","3","2","0","0","0"
"5","2","610201156","0","10201551","0","1.5","0","1","65","0","0"
"5","3","610201157","0","10201551","0","1.5","0","1","0","0","0"
"5","1","610202102","5202322","10202201","600","5.5","3","2","0","5202321","0"
"5","2","610202103","5202323","10202201","0","1.5","0","1","70","0","0"
"5","3","610202104","0","10202201","0","1.5","0","1","0","0","0"
"5","1","610202105","0","10202501","600","5.5","3","2","0","0","0"
"5","2","610202106","0","10202501","0","1.5","0","1","70","0","0"
"5","3","610202107","0","10202501","0","1.5","0","1","0","0","0"
"5","1","610203102","5203322","10203201","600","5.5","3","2","0","5203321","0"
"5","2","610203103","5203323","10203201","0","1.5","0","1","66","0","0"
"5","3","610203104","0","10203201","0","1.5","0","1","0","0","0"
"5","1","610203105","0","10203501","600","5.5","3","2","0","0","0"
"5","2","610203106","0","10203501","0","1.5","0","1","66","0","0"
"5","3","610203107","0","10203501","0","1.5","0","1","0","0","0"
"5","1","610204102","5204322","10204201","600","5.5","3","2","0","5204321","0"
"5","2","610204103","5204323","10204201","0","1.5","0","1","60","0","0"
"5","3","610204104","0","10204201","0","1.5","0","1","0","0","0"
"5","1","610204105","0","10204501","600","5.5","3","2","0","0","0"
"5","2","610204106","0","10204501","0","1.5","0","1","80","0","0"
"5","3","610204107","0","10204501","0","1.5","0","1","0","0","0"
"5","1","610205102","5205322","10205201","600","5.5","3","2","0","5205321","0"
"5","2","610205103","5205323","10205201","0","1.5","0","1","65","0","0"
"5","3","610205104","0","10205201","0","1.5","0","1","0","0","0"
"5","1","610205105","0","10205501","600","5.5","3","2","0","0","0"
"5","2","610205106","0","10205501","0","1.5","0","1","66","0","0"
"5","3","610205107","0","10205501","0","1.5","0","1","0","0","0"
"5","1","610206102","5206322","10206201","600","5.5","3","2","0","5206321","0"
"5","2","610206103","5206323","10206201","600","1.5","3","2","0","0","0"
"5","3","610206104","0","10206201","0","1.5","0","1","0","0","0"
"5","1","610206105","0","10206501","600","5.5","3","2","0","0","0"
"5","2","610206106","0","10206501","600","1.5","3","2","0","0","0"
"5","3","610206107","0","10206501","0","1.5","0","1","0","0","0"
"5","1","610207102","5207322","10207201","600","5.5","3","2","0","5207321","0"
"5","2","610207103","5207323","10207201","0","1.5","0","1","66","0","0"
"5","3","610207104","0","10207201","0","1.5","0","1","0","0","0"
"5","1","610207105","0","10207501","600","5.5","3","2","0","0","0"
"5","2","610207106","0","10207501","0","1.5","0","1","66","0","0"
"5","3","610207107","0","10207501","0","1.5","0","1","0","0","0"
"5","1","610208102","5208322","10208201","600","5.5","3","2","0","5208321","0"
"5","2","610208103","5208323","10208201","0","1.5","0","1","70","0","0"
"5","3","610208104","0","10208201","0","1.5","0","1","0","0","0"
"5","1","610208105","0","10208501","600","5.5","3","2","0","0","0"
"5","2","610208106","0","10208501","0","1.5","0","1","70","0","0"
"5","3","610208107","0","10208501","0","1.5","0","1","0","0","0"
