da24950f02a7baa0c7aa790bd4b84f9998bf2254e481e1a9f5903b3586c53aa6,f9ad997f6061cd72a0bb68ea2b97d818da402f659f3f3218bf4f58fe1c4046a4,f0a029664681dd5f33584f2b9956c2180c9c3f7b75602a6ca047dec367581b67,f02a40f349a035d9793431045abe7677f7b23cea830eb9514c3df54c69bf91f3,c9fafe25c3cebb16cde8983f185f7673b712e3effe57676edf2f68b56cd86d6b,0cd94ad8c4bc0c5cb18a4394256c28343cc77802714ad899d9df8eb2c045a070,e2b629a5d0e7dcb53f759ccfe1006693581e45a2ffbb2118048d7b1fba13fb2c
"0","1","10008101","0","1","10008111",""
"0","2","10008112","0","1","10008115",""
"0","3","10008101","0","3","10008103",""
"0","4","10008105","0","3","10008115",""
"0","5","10008112","0","4","150",""
"0","6","10028101","0","1","10028111",""
"0","7","10028112","0","1","10028115",""
"0","8","10028101","0","3","10028103",""
"0","9","10028105","0","3","10028115",""
"0","10","10028112","0","4","150",""
"0","11","20012104","20012107","11","20012104",""
"0","12","20012108","20012109","11","20012108",""
"0","13","20012110","20012114","11","20012110",""
"0","14","20012115","20012115","11","20012115",""
"0","15","20012110","0","4","120",""
"0","16","20008101","0","1","20008111",""
"0","17","20008112","0","1","20008115",""
"0","18","20008101","0","3","20008103",""
"0","19","20008105","0","3","20008115",""
"0","20","20008112","0","4","150",""
