2eb4a28d07fdf22535482e984e9971af68288ec018bbe7682af6b284b775f69f,c0040a36050e25c553047097670c85b9d1828cac1ae485468fafec7354aea31f,5896989d57673161531bcac7fec6ebe083f249bbfac82df461a7a9579554f705,23ff6bcecc99754bd9f832c0539c943ec5eeaba2c77e02ef0293122bf0146958,33264c20d0c248d518bc2bb8d4ba2532ed524049b51e2fd0dcbe379a21f78a6c,54be3c20424bc19b39ab67a2a44bedcca711d00e04bc0ab34c6e0efdd735d332,9edea87fae0abbc645ab98fa486450a10145e8c9bf608c733deac94ae8fcb9ac,b1e121a7467fd6f490b3dd263975f89adb3d984959e819f4ea3e9b951fc6774f,c9cb2b2daa812e6ebf8c0479e9749b9834c90683c568845b5325d10156eb236a,84b47460cd66ffd88b8a1fd59b57cafd20df4002b7cb60b69988356fdb1cb5fa
"0","0","0","0","2019/02/15 14:59:59","2018/01/01 15:00:00","0","0","0","10001"
"1001","1001","0","1","2019/02/28 11:59:59","2019/02/15 15:00:00","0","1","1001","10002"
"0","1001","0","1","2020/02/15 14:59:59","2019/02/28 12:00:00","0","1","0","10003"
"1002","1001","0","1","2020/02/29 11:59:59","2020/02/15 15:00:00","1002","1","1002","10004"
"1002","1002","2015009","2","2020/02/29 11:59:59","2020/02/15 15:00:00","1002","2","1002","10005"
"0","1001","0","1","2020/08/15 14:59:59","2020/02/29 12:00:00","0","1","0","10006"
"0","1002","2015009","2","2020/08/15 14:59:59","2020/02/29 12:00:00","0","2","0","10007"
"0","1001","0","1","2020/08/31 11:59:59","2020/08/15 15:00:00","1003","1","0","10008"
"0","1002","2015009","2","2020/08/31 11:59:59","2020/08/15 15:00:00","1003","2","0","10009"
"0","1001","0","1","2021/02/15 14:59:59","2020/08/31 12:00:00","0","1","0","10010"
"0","1002","2015009","2","2021/02/15 14:59:59","2020/08/31 12:00:00","0","2","0","10011"
"1003","1001","0","1","2021/02/28 11:59:59","2021/02/15 15:00:00","1004","1","1003","10012"
"1003","1002","2015009","2","2021/02/28 11:59:59","2021/02/15 15:00:00","1004","2","1003","10013"
"0","1001","0","1","2021/08/15 14:59:59","2021/02/28 12:00:00","0","1","0","10014"
"0","1002","2015009","2","2021/08/15 14:59:59","2021/02/28 12:00:00","0","2","0","10015"
"0","1001","0","1","2021/08/31 11:59:59","2021/08/15 15:00:00","1005","1","0","10016"
"0","1002","2015009","2","2021/08/31 11:59:59","2021/08/15 15:00:00","1005","2","0","10017"
"0","1001","0","1","2030/02/15 14:59:59","2021/08/31 12:00:00","0","1","0","10018"
"0","1002","2015009","2","2030/02/15 14:59:59","2021/08/31 12:00:00","0","2","0","10019"
"1004","1001","0","1","2022/02/28 11:59:59","2022/02/15 15:00:00","1006","1","1004","10020"
"1004","1002","2015009","2","2022/02/28 11:59:59","2022/02/15 15:00:00","1006","2","1004","10021"
"0","1001","0","1","2022/08/15 14:59:59","2022/02/28 12:00:00","0","1","0","10022"
"0","1002","2015009","2","2022/08/15 14:59:59","2022/02/28 12:00:00","0","2","0","10023"
"0","1001","0","1","2022/08/31 11:59:59","2022/08/15 15:00:00","1007","1","0","10024"
"0","1002","2015009","2","2022/08/31 11:59:59","2022/08/15 15:00:00","1007","2","0","10025"
"0","1001","0","1","2023/02/15 14:59:59","2022/08/31 12:00:00","0","1","0","10026"
"0","1002","2015009","2","2023/02/15 14:59:59","2022/08/31 12:00:00","0","2","0","10027"
"1005","1001","0","1","2023/02/28 11:59:59","2023/02/15 15:00:00","1008","1","1005","10028"
"1005","1002","2015009","2","2023/02/28 11:59:59","2023/02/15 15:00:00","1008","2","1005","10029"
"0","1001","0","1","2023/08/15 14:59:59","2023/02/28 12:00:00","0","1","0","10030"
"0","1002","2015009","2","2023/08/15 14:59:59","2023/02/28 12:00:00","0","2","0","10031"
"0","1003","2201005","3","2023/08/15 14:59:59","2023/03/15 12:00:00","0","2","0","10032"
"0","1001","0","1","2023/08/31 11:59:59","2023/08/15 15:00:00","1009","1","0","10033"
