9e21b6d597704a25043d95a94061beebdcbeb1c8859b6bfa77b7fed0988ac856,73eaf5868ef0be1d58989fe19f357c3c7375231676084f91aa53e24cd6e9d47e,9ae35e21212bdaf0ff1b49f1156adf9921008e34e738db7aa637efa4a24f0735,5cf9e156de7ed51932cfa64b8e46cec320801a1f1fc39756ffb7a086c2def372
"1","ＨＰ","1","10000"
"2","物理攻撃力","1","10000"
"3","物理防御力","1","10000"
"4","魔法攻撃力","1","10000"
"5","魔法防御力","1","10000"
"6","物理クリティカル","1","10000"
"7","魔法クリティカル","1","10000"
"8","回避","0","1"
"9","ＨＰ吸収","0","1"
"10","ＨＰ自動回復","0","1"
"11","ＴＰ自動回復","0","1"
"12","物理貫通ダメージ","0","1"
"13","魔法貫通ダメージ","0","1"
"14","ＴＰ上昇","0","1"
"15","回復量上昇","0","1"
"16","ＴＰ消費軽減","0","1"
"17","命中","0","1"
"100","物理クリティカルダメージ","1","100"
"101","魔法クリティカルダメージ","1","100"
"102","物理与ダメージ","1","100"
"103","魔法与ダメージ","1","100"
"104","属性ボーナス","1","10000"
